Subject,University,Description
Basic Electrical Engineering,AKTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-ee</i>; <strong>Password</strong>: <i>v2lbt-ee</i>

<strong>KEE101 and KEE201</strong> paper code(s) are comprehensively covered in <strong>AKTU-Basic Electrical Engineering</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=KEE101/KEE201]

AKTU offers this course under the name Basic electrical  engineering.
<ul><li><strong>158 Video Learning Outcomes</strong> attained across<strong> 70 topics</strong> taught over <strong>52 hours</strong> of instruction.</li><li>Total duration of course: <strong>52 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Basic Electrical Engineering,DBATU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-ee</i>; <strong>Password</strong>: <i>v2lbt-ee</i>

<strong>BTES106 and BTES206</strong> paper code(s) are comprehensively covered in <strong>DBATU-Basic Electrical Engineering</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTES106/BTES206]

DBATU offers this course under the name Basic electrical and electronics engineering.
<ul><li><strong>144 Video Learning Outcomes</strong> attained across<strong> 66 topics</strong> taught over <strong>43 hours</strong> of instruction.</li><li>Total duration of course: <strong>43 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Basic Electrical Engineering,GGSIPU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-ee</i>; <strong>Password</strong>: <i>v2lbt-ee</i>

<strong>ETEE-107</strong> paper code(s) are comprehensively covered in <strong>GGSIPU-Basic Electrical Engineering</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=ETEE-107]

GGSIPU offers this course under the name Electrical technology.
<ul><li><strong>200 Video Learning Outcomes</strong> attained across<strong> 78 topics</strong> taught over <strong>66 hours</strong> of instruction.</li><li>Total duration of course: <strong>66 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Basic Electrical Engineering,GTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-ee</i>; <strong>Password</strong>: <i>v2lbt-ee</i>

<strong>3110005</strong> paper code(s) are comprehensively covered in <strong>GTU-Basic Electrical Engineering</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=3110005]

GTU offers this course under the name Basic electrical engineering .
<ul><li><strong>131 Video Learning Outcomes</strong> attained across<strong> 62 topics</strong> taught over <strong>44 hours</strong> of instruction.</li><li>Total duration of course: <strong>44 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Basic Electrical Engineering,IKGPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-ee</i>; <strong>Password</strong>: <i>v2lbt-ee</i>

<strong>BTEE101-18 and UC-BTECE-101-19</strong> paper code(s) are comprehensively covered in <strong>IKGPTU-Basic Electrical Engineering</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTEE101-18]

IKGPTU offers this course under the name Basic electrical engineering .
<ul><li><strong>149 Video Learning Outcomes</strong> attained across<strong> 71 topics</strong> taught over <strong>55 hours</strong> of instruction.</li><li>Total duration of course: <strong>55 hours</strong></li></ul>[tabby title=UC-BTECE-101-19]

IKGPTU offers this course under the name Basics of electronics.
<ul><li><strong>217 Video Learning Outcomes</strong> attained across<strong> 81 topics</strong> taught over <strong>68 hours</strong> of instruction.</li><li>Total duration of course: <strong>68 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Basic Electrical Engineering,JCBUST,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-ee</i>; <strong>Password</strong>: <i>v2lbt-ee</i>

<strong>ESC101</strong> paper code(s) are comprehensively covered in <strong>JCBUST-Basic Electrical Engineering</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=ESC101]

JCBUST offers this course under the name Basic electrical engineering .
<ul><li><strong>149 Video Learning Outcomes</strong> attained across<strong> 74 topics</strong> taught over <strong>55 hours</strong> of instruction.</li><li>Total duration of course: <strong>55 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Basic Electrical Engineering,MAKAUT,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-ee</i>; <strong>Password</strong>: <i>v2lbt-ee</i>

<strong>ES-EE101</strong> paper code(s) are comprehensively covered in <strong>MAKAUT-Basic Electrical Engineering</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=ES-EE101]

MAKAUT offers this course under the name Basic electrical engineering.
<ul><li><strong>149 Video Learning Outcomes</strong> attained across<strong> 74 topics</strong> taught over <strong>55 hours</strong> of instruction.</li><li>Total duration of course: <strong>55 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Basic Electrical Engineering,MRSPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-ee</i>; <strong>Password</strong>: <i>v2lbt-ee</i>

<strong>BELEE0-101</strong> paper code(s) are comprehensively covered in <strong>MRSPTU-Basic Electrical Engineering</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BELEE0-101]

MRSPTU offers this course under the name Basic electrical engineering.
<ul><li><strong>140 Video Learning Outcomes</strong> attained across<strong> 59 topics</strong> taught over <strong>42 hours</strong> of instruction.</li><li>Total duration of course: <strong>42 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Basic Electrical Engineering,RGPV,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-ee</i>; <strong>Password</strong>: <i>v2lbt-ee</i>

<strong>BT104</strong> paper code(s) are comprehensively covered in <strong>RGPV-Basic Electrical Engineering</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BT104]

RGPV offers this course under the name Basic electrical & electronics engineering .
<ul><li><strong>239 Video Learning Outcomes</strong> attained across<strong> 88 topics</strong> taught over <strong>77 hours</strong> of instruction.</li><li>Total duration of course: <strong>77 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Basic Electrical Engineering,RTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-ee</i>; <strong>Password</strong>: <i>v2lbt-ee</i>

<strong>1FY3-08 and 2FY3-08</strong> paper code(s) are comprehensively covered in <strong>RTU-Basic Electrical Engineering</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=1FY3-08/2FY3-08]

RTU offers this course under the name Basic electrical engineering.
<ul><li><strong>192 Video Learning Outcomes</strong> attained across<strong> 87 topics</strong> taught over <strong>69 hours</strong> of instruction.</li><li>Total duration of course: <strong>69 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
