Subject,University,Description
Digital Electronics,AKTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-digital</i>; <strong>Password</strong>: <i>v2lbt-digital</i>

<strong>KEC302 and KEE401</strong> paper code(s) are comprehensively covered in <strong>AKTU-Digital Electronics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=KEC302]

AKTU offers this course under the name Digital system design.
<ul><li><strong>126 Video Learning Outcomes</strong> attained across<strong> 56 topics</strong> taught over <strong>37 hours</strong> of instruction.</li><li>Total duration of course: <strong>37 hours</strong></li></ul>[tabby title=KEE401]

AKTU offers this course under the name Digital electronics.
<ul><li><strong>139 Video Learning Outcomes</strong> attained across<strong> 50 topics</strong> taught over <strong>38 hours</strong> of instruction.</li><li>Total duration of course: <strong>38 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Digital Electronics,DBATU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-digital</i>; <strong>Password</strong>: <i>v2lbt-digital</i>

<strong>BTEXC305, BTEXC305S, BTEEE405B, BTINC401 and BTCOC305</strong> paper code(s) are comprehensively covered in <strong>DBATU-Digital Electronics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTEXC305]

DBATU offers this course under the name Digital logic design.
<ul><li><strong>113 Video Learning Outcomes</strong> attained across<strong> 50 topics</strong> taught over <strong>33 hours</strong> of instruction.</li><li>Total duration of course: <strong>33 hours</strong></li></ul>[tabby title=BTEXC305S]

DBATU offers this course under the name Digital circuits and microprocessors.
<ul><li><strong>113 Video Learning Outcomes</strong> attained across<strong> 63 topics</strong> taught over <strong>33 hours</strong> of instruction.</li><li>Total duration of course: <strong>33 hours</strong></li></ul>[tabby title=BTEEE405B]

DBATU offers this course under the name Analog and digital electronics.
<ul><li><strong>174 Video Learning Outcomes</strong> attained across<strong> 65 topics</strong> taught over <strong>49 hours</strong> of instruction.</li><li>Total duration of course: <strong>49 hours</strong></li></ul>[tabby title=BTINC401]

DBATU offers this course under the name Digital electronics.
<ul><li><strong>123 Video Learning Outcomes</strong> attained across<strong> 46 topics</strong> taught over <strong>35 hours</strong> of instruction.</li><li>Total duration of course: <strong>35 hours</strong></li></ul>[tabby title=BTCOC305]

DBATU offers this course under the name Digital electronics & microprocessor.
<ul><li><strong>109 Video Learning Outcomes</strong> attained across<strong> 56 topics</strong> taught over <strong>27 hours</strong> of instruction.</li><li>Total duration of course: <strong>27 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Digital Electronics,GGSIPU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-digital</i>; <strong>Password</strong>: <i>v2lbt-digital</i>

<strong>ETEC-205 and ETEE-307</strong> paper code(s) are comprehensively covered in <strong>GGSIPU-Digital Electronics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=ETEC-205/ETEE-307]

GGSIPU offers this course under the name Switching theory and logic design.
<ul><li><strong>140 Video Learning Outcomes</strong> attained across<strong> 55 topics</strong> taught over <strong>39 hours</strong> of instruction.</li><li>Total duration of course: <strong>39 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Digital Electronics,GTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-digital</i>; <strong>Password</strong>: <i>v2lbt-digital</i>

<strong>3131102 and 3130907</strong> paper code(s) are comprehensively covered in <strong>GTU-Digital Electronics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=3131102]

GTU offers this course under the name Digital system design.
<ul><li><strong>132 Video Learning Outcomes</strong> attained across<strong> 51 topics</strong> taught over <strong>38 hours</strong> of instruction.</li><li>Total duration of course: <strong>38 hours</strong></li></ul>[tabby title=3130907]

GTU offers this course under the name Analog and digital electronics.
<ul><li><strong>166 Video Learning Outcomes</strong> attained across<strong> 69 topics</strong> taught over <strong>42 hours</strong> of instruction.</li><li>Total duration of course: <strong>42 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Digital Electronics,IKGPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-digital</i>; <strong>Password</strong>: <i>v2lbt-digital</i>

<strong>BTEC-302-18, BTEEE-401-18, BTEE-401-18, BTEIC-401-18 and BTES301-18</strong> paper code(s) are comprehensively covered in <strong>IKGPTU-Digital Electronics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTEC-302-18]

IKGPTU offers this course under the name Digital system design.
<ul><li><strong>124 Video Learning Outcomes</strong> attained across<strong> 57 topics</strong> taught over <strong>37 hours</strong> of instruction.</li><li>Total duration of course: <strong>37 hours</strong></li></ul>[tabby title=BTEEE-401-18/BTEE-401-18/BTEIC-401-18]

IKGPTU offers this course under the name Digital electronics.
<ul><li><strong>139 Video Learning Outcomes</strong> attained across<strong> 55 topics</strong> taught over <strong>40 hours</strong> of instruction.</li><li>Total duration of course: <strong>40 hours</strong></li></ul>[tabby title=BTES301-18]

IKGPTU offers this course under the name Digital electronics.
<ul><li><strong>123 Video Learning Outcomes</strong> attained across<strong> 44 topics</strong> taught over <strong>31 hours</strong> of instruction.</li><li>Total duration of course: <strong>31 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Digital Electronics,JCBUST,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-digital</i>; <strong>Password</strong>: <i>v2lbt-digital</i>

<strong>EC302, ELPC401 and ESC-302</strong> paper code(s) are comprehensively covered in <strong>JCBUST-Digital Electronics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=EC302]

JCBUST offers this course under the name Digital system design.
<ul><li><strong>121 Video Learning Outcomes</strong> attained across<strong> 56 topics</strong> taught over <strong>35 hours</strong> of instruction.</li><li>Total duration of course: <strong>35 hours</strong></li></ul>[tabby title=ELPC401/ESC-302]

JCBUST offers this course under the name Digital electronics.
<ul><li><strong>127 Video Learning Outcomes</strong> attained across<strong> 52 topics</strong> taught over <strong>32 hours</strong> of instruction.</li><li>Total duration of course: <strong>32 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Digital Electronics,MAKAUT,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-digital</i>; <strong>Password</strong>: <i>v2lbt-digital</i>

<strong>EC302, PC-EI304, PC-IC303, PC-EE-402, PC-EEE-402 and ESC-301</strong> paper code(s) are comprehensively covered in <strong>MAKAUT-Digital Electronics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=EC302]

MAKAUT offers this course under the name Digital system design.
<ul><li><strong>135 Video Learning Outcomes</strong> attained across<strong> 56 topics</strong> taught over <strong>39 hours</strong> of instruction.</li><li>Total duration of course: <strong>39 hours</strong></li></ul>[tabby title=PC-EI304]

MAKAUT offers this course under the name Digital electronic circuits.
<ul><li><strong>138 Video Learning Outcomes</strong> attained across<strong> 52 topics</strong> taught over <strong>40 hours</strong> of instruction.</li><li>Total duration of course: <strong>40 hours</strong></li></ul>[tabby title=PC-IC303]

MAKAUT offers this course under the name Digital electronic circuits.
<ul><li><strong>144 Video Learning Outcomes</strong> attained across<strong> 57 topics</strong> taught over <strong>41 hours</strong> of instruction.</li><li>Total duration of course: <strong>41 hours</strong></li></ul>[tabby title=PC-EE-402/PC-EEE-402]

MAKAUT offers this course under the name Digital electronics.
<ul><li><strong>144 Video Learning Outcomes</strong> attained across<strong> 59 topics</strong> taught over <strong>41 hours</strong> of instruction.</li><li>Total duration of course: <strong>41 hours</strong></li></ul>[tabby title=ESC-301]

MAKAUT offers this course under the name Analog & digital electronics.
<ul><li><strong>147 Video Learning Outcomes</strong> attained across<strong> 54 topics</strong> taught over <strong>41 hours</strong> of instruction.</li><li>Total duration of course: <strong>41 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Digital Electronics,MRSPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-digital</i>; <strong>Password</strong>: <i>v2lbt-digital</i>

<strong>BECE2-411, BECE3-302, BECES1-302, BEEES1-401, BELES1-401, BCSES1-303 and BITES1-303</strong> paper code(s) are comprehensively covered in <strong>MRSPTU-Digital Electronics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BECE2-411/BECE3-302]

MRSPTU offers this course under the name Digital electronics.
<ul><li><strong>137 Video Learning Outcomes</strong> attained across<strong> 55 topics</strong> taught over <strong>40 hours</strong> of instruction.</li><li>Total duration of course: <strong>40 hours</strong></li></ul>[tabby title=BECES1-302]

MRSPTU offers this course under the name Digital electronic circuits & design.
<ul><li><strong>140 Video Learning Outcomes</strong> attained across<strong> 55 topics</strong> taught over <strong>39 hours</strong> of instruction.</li><li>Total duration of course: <strong>39 hours</strong></li></ul>[tabby title=BEEES1-401/BELES1-401]

MRSPTU offers this course under the name Digital electronics.
<ul><li><strong>127 Video Learning Outcomes</strong> attained across<strong> 52 topics</strong> taught over <strong>32 hours</strong> of instruction.</li><li>Total duration of course: <strong>32 hours</strong></li></ul>[tabby title=BCSES1-303/BITES1-303]

MRSPTU offers this course under the name Digital electronics.
<ul><li><strong>144 Video Learning Outcomes</strong> attained across<strong> 59 topics</strong> taught over <strong>41 hours</strong> of instruction.</li><li>Total duration of course: <strong>41 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Digital Electronics,RGPV,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-digital</i>; <strong>Password</strong>: <i>v2lbt-digital</i>

<strong>EC-303, EI404, EE403, EX403, CS304, CSIT304 and IT305</strong> paper code(s) are comprehensively covered in <strong>RGPV-Digital Electronics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=EC-303]

RGPV offers this course under the name Digital system design.
<ul><li><strong>138 Video Learning Outcomes</strong> attained across<strong> 55 topics</strong> taught over <strong>39 hours</strong> of instruction.</li><li>Total duration of course: <strong>39 hours</strong></li></ul>[tabby title=EI404]

RGPV offers this course under the name Digital electronics.
<ul><li><strong>110 Video Learning Outcomes</strong> attained across<strong> 45 topics</strong> taught over <strong>32 hours</strong> of instruction.</li><li>Total duration of course: <strong>32 hours</strong></li></ul>[tabby title=EE403/EX403]

RGPV offers this course under the name Digital electronics logic design.
<ul><li><strong>122 Video Learning Outcomes</strong> attained across<strong> 45 topics</strong> taught over <strong>31 hours</strong> of instruction.</li><li>Total duration of course: <strong>31 hours</strong></li></ul>[tabby title=CS304/CSIT304]

RGPV offers this course under the name Digital systems.
<ul><li><strong>207 Video Learning Outcomes</strong> attained across<strong> 77 topics</strong> taught over <strong>57 hours</strong> of instruction.</li><li>Total duration of course: <strong>57 hours</strong></li></ul>[tabby title=IT305]

RGPV offers this course under the name Digital circuits and systems.
<ul><li><strong>140 Video Learning Outcomes</strong> attained across<strong> 50 topics</strong> taught over <strong>39 hours</strong> of instruction.</li><li>Total duration of course: <strong>39 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Digital Electronics,RTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-digital</i>; <strong>Password</strong>: <i>v2lbt-digital</i>

<strong>3EC4-04, 3EI4-04, 4EE4-08, 4EX4-08 and 3IT3-04</strong> paper code(s) are comprehensively covered in <strong>RTU-Digital Electronics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=3EC4-04/3EI4-04]

RTU offers this course under the name Digital system design.
<ul><li><strong>109 Video Learning Outcomes</strong> attained across<strong> 52 topics</strong> taught over <strong>32 hours</strong> of instruction.</li><li>Total duration of course: <strong>32 hours</strong></li></ul>[tabby title=4EE4-08/4EX4-08]

RTU offers this course under the name Digital electronics.
<ul><li><strong>144 Video Learning Outcomes</strong> attained across<strong> 59 topics</strong> taught over <strong>41 hours</strong> of instruction.</li><li>Total duration of course: <strong>41 hours</strong></li></ul>[tabby title=3IT3-04]

RTU offers this course under the name Digital electronics.
<ul><li><strong>116 Video Learning Outcomes</strong> attained across<strong> 42 topics</strong> taught over <strong>34 hours</strong> of instruction.</li><li>Total duration of course: <strong>34 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
