Subject,University,Description
Electrical Machines,AKTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-em</i>; <strong>Password</strong>: <i>v2lbt-em</i>

<strong>KEE402, RIC053, REE064 and REE501</strong> paper code(s) are comprehensively covered in <strong>AKTU-Electrical Machines</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=KEE402]

AKTU offers this course under the name Electrical machines-i.
<ul><li><strong>100 Video Learning Outcomes</strong> attained across<strong> 44 topics</strong> taught over <strong>43 hours</strong> of instruction.</li><li>Total duration of course: <strong>43 hours</strong></li></ul>[tabby title=RIC053]

AKTU offers this course under the name Electrical machines.
<ul><li><strong>110 Video Learning Outcomes</strong> attained across<strong> 51 topics</strong> taught over <strong>41 hours</strong> of instruction.</li><li>Total duration of course: <strong>41 hours</strong></li></ul>[tabby title=REE064]

AKTU offers this course under the name Special electrical machines.
<ul><li><strong>42 Video Learning Outcomes</strong> attained across<strong> 21 topics</strong> taught over <strong>11 hours</strong> of instruction.</li><li>Total duration of course: <strong>11 hours</strong></li></ul>[tabby title=REE501]

AKTU offers this course under the name Electrical machines.
<ul><li><strong>102 Video Learning Outcomes</strong> attained across<strong> 46 topics</strong> taught over <strong>28 hours</strong> of instruction.</li><li>Total duration of course: <strong>28 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Electrical Machines,DBATU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-em</i>; <strong>Password</strong>: <i>v2lbt-em</i>

<strong>BTEEC401, BTEXC401, BTESC401 and BTEEC501</strong> paper code(s) are comprehensively covered in <strong>DBATU-Electrical Machines</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTEEC401]

DBATU offers this course under the name Electrical machines-i.
<ul><li><strong>95 Video Learning Outcomes</strong> attained across<strong> 43 topics</strong> taught over <strong>40 hours</strong> of instruction.</li><li>Total duration of course: <strong>40 hours</strong></li></ul>[tabby title=BTEXC401/BTESC401]

DBATU offers this course under the name Electrical machines and instruments.
<ul><li><strong>97 Video Learning Outcomes</strong> attained across<strong> 54 topics</strong> taught over <strong>35 hours</strong> of instruction.</li><li>Total duration of course: <strong>35 hours</strong></li></ul>[tabby title=BTEEC501]

DBATU offers this course under the name Electrical machine-ii.
<ul><li><strong>102 Video Learning Outcomes</strong> attained across<strong> 50 topics</strong> taught over <strong>28 hours</strong> of instruction.</li><li>Total duration of course: <strong>28 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Electrical Machines,GGSIPU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-em</i>; <strong>Password</strong>: <i>v2lbt-em</i>

<strong>ETEE-211, ETEE-202, ETEE-414 and ETEL-308</strong> paper code(s) are comprehensively covered in <strong>GGSIPU-Electrical Machines</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=ETEE-211]

GGSIPU offers this course under the name Electrical machines-i.
<ul><li><strong>110 Video Learning Outcomes</strong> attained across<strong> 45 topics</strong> taught over <strong>42 hours</strong> of instruction.</li><li>Total duration of course: <strong>42 hours</strong></li></ul>[tabby title=ETEE-202]

GGSIPU offers this course under the name Electrical machines-ii.
<ul><li><strong>102 Video Learning Outcomes</strong> attained across<strong> 44 topics</strong> taught over <strong>28 hours</strong> of instruction.</li><li>Total duration of course: <strong>28 hours</strong></li></ul>[tabby title=ETEE-414/ETEL-308]

GGSIPU offers this course under the name Electrical machines-iii.
<ul><li><strong>29 Video Learning Outcomes</strong> attained across<strong> 21 topics</strong> taught over <strong>6 hours</strong> of instruction.</li><li>Total duration of course: <strong>6 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Electrical Machines,GTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-em</i>; <strong>Password</strong>: <i>v2lbt-em</i>

<strong>3140913 and 3150910</strong> paper code(s) are comprehensively covered in <strong>GTU-Electrical Machines</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=3140913]

GTU offers this course under the name Electrical machines-i.
<ul><li><strong>79 Video Learning Outcomes</strong> attained across<strong> 36 topics</strong> taught over <strong>39 hours</strong> of instruction.</li><li>Total duration of course: <strong>39 hours</strong></li></ul>[tabby title=3150910]

GTU offers this course under the name Electrical machines-ii.
<ul><li><strong>102 Video Learning Outcomes</strong> attained across<strong> 49 topics</strong> taught over <strong>28 hours</strong> of instruction.</li><li>Total duration of course: <strong>28 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Electrical Machines,IKGPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-em</i>; <strong>Password</strong>: <i>v2lbt-em</i>

<strong>BTEE-303-18, BTEEE-303-18, BTEIC-303-18, BTEE-402-18, BTEEE-402-18 and BTEIC-402-18</strong> paper code(s) are comprehensively covered in <strong>IKGPTU-Electrical Machines</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTEE-303-18/BTEEE-303-18/BTEIC-303-18]

IKGPTU offers this course under the name Electrical machines-i.
<ul><li><strong>75 Video Learning Outcomes</strong> attained across<strong> 34 topics</strong> taught over <strong>37 hours</strong> of instruction.</li><li>Total duration of course: <strong>37 hours</strong></li></ul>[tabby title=BTEE-402-18/BTEEE-402-18/BTEIC-402-18]

IKGPTU offers this course under the name Electrical machines-ii.
<ul><li><strong>81 Video Learning Outcomes</strong> attained across<strong> 44 topics</strong> taught over <strong>25 hours</strong> of instruction.</li><li>Total duration of course: <strong>25 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Electrical Machines,JCBUST,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-em</i>; <strong>Password</strong>: <i>v2lbt-em</i>

<strong>ELPC303 and ELPC402</strong> paper code(s) are comprehensively covered in <strong>JCBUST-Electrical Machines</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=ELPC303]

JCBUST offers this course under the name Electrical machines-i.
<ul><li><strong>79 Video Learning Outcomes</strong> attained across<strong> 36 topics</strong> taught over <strong>39 hours</strong> of instruction.</li><li>Total duration of course: <strong>39 hours</strong></li></ul>[tabby title=ELPC402]

JCBUST offers this course under the name Electrical machines-ii.
<ul><li><strong>81 Video Learning Outcomes</strong> attained across<strong> 44 topics</strong> taught over <strong>25 hours</strong> of instruction.</li><li>Total duration of course: <strong>25 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Electrical Machines,MAKAUT,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-em</i>; <strong>Password</strong>: <i>v2lbt-em</i>

<strong>PC-EE-401, PC-EEE-401, PC-EE-501 and PC-EEE-501</strong> paper code(s) are comprehensively covered in <strong>MAKAUT-Electrical Machines</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=PC-EE-401/PC-EEE-401]

MAKAUT offers this course under the name Electrical machine-i.
<ul><li><strong>79 Video Learning Outcomes</strong> attained across<strong> 36 topics</strong> taught over <strong>39 hours</strong> of instruction.</li><li>Total duration of course: <strong>39 hours</strong></li></ul>[tabby title=PC-EE-501/PC-EEE-501]

MAKAUT offers this course under the name Electrical machine-ii.
<ul><li><strong>87 Video Learning Outcomes</strong> attained across<strong> 48 topics</strong> taught over <strong>27 hours</strong> of instruction.</li><li>Total duration of course: <strong>27 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Electrical Machines,MRSPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-em</i>; <strong>Password</strong>: <i>v2lbt-em</i>

<strong>BEEES1-302, BELES1-304, BEEES1-403 and BELES1-403</strong> paper code(s) are comprehensively covered in <strong>MRSPTU-Electrical Machines</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BEEES1-302/BELES1-304]

MRSPTU offers this course under the name Electrical machines-i.
<ul><li><strong>75 Video Learning Outcomes</strong> attained across<strong> 34 topics</strong> taught over <strong>37 hours</strong> of instruction.</li><li>Total duration of course: <strong>37 hours</strong></li></ul>[tabby title=BEEES1-403/BELES1-403]

MRSPTU offers this course under the name Electrical machines-ii.
<ul><li><strong>81 Video Learning Outcomes</strong> attained across<strong> 44 topics</strong> taught over <strong>25 hours</strong> of instruction.</li><li>Total duration of course: <strong>25 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Electrical Machines,RGPV,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-em</i>; <strong>Password</strong>: <i>v2lbt-em</i>

<strong>EE402, EE501 and EX501</strong> paper code(s) are comprehensively covered in <strong>RGPV-Electrical Machines</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=EE402]

RGPV offers this course under the name Electrical machines-i.
<ul><li><strong>100 Video Learning Outcomes</strong> attained across<strong> 41 topics</strong> taught over <strong>32 hours</strong> of instruction.</li><li>Total duration of course: <strong>32 hours</strong></li></ul>[tabby title=EE501/EX501]

RGPV offers this course under the name Electrical machine-ii.
<ul><li><strong>86 Video Learning Outcomes</strong> attained across<strong> 47 topics</strong> taught over <strong>32 hours</strong> of instruction.</li><li>Total duration of course: <strong>32 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Electrical Machines,RTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-em</i>; <strong>Password</strong>: <i>v2lbt-em</i>

<strong>3EE4-07, 3EX4-07, 4EE4-05 and 4EX4-05</strong> paper code(s) are comprehensively covered in <strong>RTU-Electrical Machines</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=3EE4-07/3EX4-07]

RTU offers this course under the name Electrical machine-i.
<ul><li><strong>79 Video Learning Outcomes</strong> attained across<strong> 36 topics</strong> taught over <strong>39 hours</strong> of instruction.</li><li>Total duration of course: <strong>39 hours</strong></li></ul>[tabby title=4EE4-05/4EX4-05]

RTU offers this course under the name Electrical machines-ii.
<ul><li><strong>81 Video Learning Outcomes</strong> attained across<strong> 44 topics</strong> taught over <strong>25 hours</strong> of instruction.</li><li>Total duration of course: <strong>25 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
