Subject,University,Description
Fluid Mechanics,AKTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-fluid</i>; <strong>Password</strong>: <i>v2lbt-fluid</i>

<strong>KCE303 and KME302</strong> paper code(s) are comprehensively covered in <strong>AKTU-Fluid Mechanics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=KCE303]

AKTU offers this course under the name Fluid mechanics .
<ul><li><strong>160 Video Learning Outcomes</strong> attained across<strong> 53 topics</strong> taught over <strong>59 hours</strong> of instruction.</li><li>Total duration of course: <strong>59 hours</strong></li></ul>[tabby title=KME302]

AKTU offers this course under the name Fluid mechanics & fluid machines.
<ul><li><strong>167 Video Learning Outcomes</strong> attained across<strong> 54 topics</strong> taught over <strong>56 hours</strong> of instruction.</li><li>Total duration of course: <strong>56 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Fluid Mechanics,DBATU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-fluid</i>; <strong>Password</strong>: <i>v2lbt-fluid</i>

<strong>BTAMC303, BTCVC303 and BTMEC303</strong> paper code(s) are comprehensively covered in <strong>DBATU-Fluid Mechanics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTAMC303]

DBATU offers this course under the name Fluid mechanics and machines.
<ul><li><strong>156 Video Learning Outcomes</strong> attained across<strong> 57 topics</strong> taught over <strong>58 hours</strong> of instruction.</li><li>Total duration of course: <strong>58 hours</strong></li></ul>[tabby title=BTCVC303]

DBATU offers this course under the name Hydraulics-i.
<ul><li><strong>149 Video Learning Outcomes</strong> attained across<strong> 56 topics</strong> taught over <strong>60 hours</strong> of instruction.</li><li>Total duration of course: <strong>60 hours</strong></li></ul>[tabby title=BTMEC303]

DBATU offers this course under the name Fluid mechanics .
<ul><li><strong>153 Video Learning Outcomes</strong> attained across<strong> 51 topics</strong> taught over <strong>57 hours</strong> of instruction.</li><li>Total duration of course: <strong>57 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Fluid Mechanics,GGSIPU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-fluid</i>; <strong>Password</strong>: <i>v2lbt-fluid</i>

<strong>ETCE-205, ETME-201 and ETME-212</strong> paper code(s) are comprehensively covered in <strong>GGSIPU-Fluid Mechanics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=ETCE-205]

GGSIPU offers this course under the name Fluid mechanics .
<ul><li><strong>118 Video Learning Outcomes</strong> attained across<strong> 39 topics</strong> taught over <strong>64 hours</strong> of instruction.</li><li>Total duration of course: <strong>64 hours</strong></li></ul>[tabby title=ETME-201/ETME-212]

GGSIPU offers this course under the name Fluid mechanics .
<ul><li><strong>150 Video Learning Outcomes</strong> attained across<strong> 53 topics</strong> taught over <strong>67 hours</strong> of instruction.</li><li>Total duration of course: <strong>67 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Fluid Mechanics,GTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-fluid</i>; <strong>Password</strong>: <i>v2lbt-fluid</i>

<strong>2130101, 2130602, 2141906, 2152003 and 3331903</strong> paper code(s) are comprehensively covered in <strong>GTU-Fluid Mechanics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=2130101]

GTU offers this course under the name Fundamentals of fluid mechanics .
<ul><li><strong>131 Video Learning Outcomes</strong> attained across<strong> 47 topics</strong> taught over <strong>49 hours</strong> of instruction.</li><li>Total duration of course: <strong>49 hours</strong></li></ul>[tabby title=2130602]

GTU offers this course under the name Fluid mechanics .
<ul><li><strong>100 Video Learning Outcomes</strong> attained across<strong> 33 topics</strong> taught over <strong>58 hours</strong> of instruction.</li><li>Total duration of course: <strong>58 hours</strong></li></ul>[tabby title=2141906]

GTU offers this course under the name Fluid mechanics .
<ul><li><strong>141 Video Learning Outcomes</strong> attained across<strong> 50 topics</strong> taught over <strong>51 hours</strong> of instruction.</li><li>Total duration of course: <strong>51 hours</strong></li></ul>[tabby title=2152003]

GTU offers this course under the name Fluid mechanics and machines.
<ul><li><strong>161 Video Learning Outcomes</strong> attained across<strong> 56 topics</strong> taught over <strong>52 hours</strong> of instruction.</li><li>Total duration of course: <strong>52 hours</strong></li></ul>[tabby title=3331903]

GTU offers this course under the name Fluid mechanics and hydraulic machines.
<ul><li><strong>106 Video Learning Outcomes</strong> attained across<strong> 36 topics</strong> taught over <strong>50 hours</strong> of instruction.</li><li>Total duration of course: <strong>50 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Fluid Mechanics,IKGPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-fluid</i>; <strong>Password</strong>: <i>v2lbt-fluid</i>

<strong>BTAE303-18, BTANE302-18, BTASE304-18, BTCE303-18, BTME301-18, BTME-403 and BTPE-402</strong> paper code(s) are comprehensively covered in <strong>IKGPTU-Fluid Mechanics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTAE303-18]

IKGPTU offers this course under the name Fluid mechanics .
<ul><li><strong>110 Video Learning Outcomes</strong> attained across<strong> 39 topics</strong> taught over <strong>62 hours</strong> of instruction.</li><li>Total duration of course: <strong>62 hours</strong></li></ul>[tabby title=BTANE302-18/BTASE304-18]

IKGPTU offers this course under the name Fluid mechanics .
<ul><li><strong>134 Video Learning Outcomes</strong> attained across<strong> 45 topics</strong> taught over <strong>61 hours</strong> of instruction.</li><li>Total duration of course: <strong>61 hours</strong></li></ul>[tabby title=BTCE303-18]

IKGPTU offers this course under the name Fluid mechanics .
<ul><li><strong>127 Video Learning Outcomes</strong> attained across<strong> 41 topics</strong> taught over <strong>62 hours</strong> of instruction.</li><li>Total duration of course: <strong>62 hours</strong></li></ul>[tabby title=BTME301-18/BTME-403]

IKGPTU offers this course under the name Fluid mechanics .
<ul><li><strong>134 Video Learning Outcomes</strong> attained across<strong> 45 topics</strong> taught over <strong>61 hours</strong> of instruction.</li><li>Total duration of course: <strong>61 hours</strong></li></ul>[tabby title=BTPE-402]

IKGPTU offers this course under the name Fluid mechanics & fluid machinery .
<ul><li><strong>138 Video Learning Outcomes</strong> attained across<strong> 48 topics</strong> taught over <strong>62 hours</strong> of instruction.</li><li>Total duration of course: <strong>62 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Fluid Mechanics,JCBUST,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-fluid</i>; <strong>Password</strong>: <i>v2lbt-fluid</i>

<strong>PCC-AE-205, PCCCE204, PCC-MAE-205 and PCC-ME-205</strong> paper code(s) are comprehensively covered in <strong>JCBUST-Fluid Mechanics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=PCC-AE-205]

JCBUST offers this course under the name Fluid mechanics and fluid machines .
<ul><li><strong>144 Video Learning Outcomes</strong> attained across<strong> 49 topics</strong> taught over <strong>66 hours</strong> of instruction.</li><li>Total duration of course: <strong>66 hours</strong></li></ul>[tabby title=PCCCE204]

JCBUST offers this course under the name Introduction to fluid mechanics.
<ul><li><strong>109 Video Learning Outcomes</strong> attained across<strong> 36 topics</strong> taught over <strong>63 hours</strong> of instruction.</li><li>Total duration of course: <strong>63 hours</strong></li></ul>[tabby title=PCC-MAE-205/PCC-ME-205]

JCBUST offers this course under the name Fluid mechanics and fluid machines .
<ul><li><strong>144 Video Learning Outcomes</strong> attained across<strong> 49 topics</strong> taught over <strong>66 hours</strong> of instruction.</li><li>Total duration of course: <strong>66 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Fluid Mechanics,MAKAUT,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-fluid</i>; <strong>Password</strong>: <i>v2lbt-fluid</i>

<strong>CE-ES-401, ME-401, PC-AUE402 and PC-ME402</strong> paper code(s) are comprehensively covered in <strong>MAKAUT-Fluid Mechanics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=CE-ES-401]

MAKAUT offers this course under the name Introduction to fluid mechanics.
<ul><li><strong>121 Video Learning Outcomes</strong> attained across<strong> 46 topics</strong> taught over <strong>61 hours</strong> of instruction.</li><li>Total duration of course: <strong>61 hours</strong></li></ul>[tabby title=ME-401]

MAKAUT offers this course under the name Fluid mechanics & hydraulic machines .
<ul><li><strong>162 Video Learning Outcomes</strong> attained across<strong> 56 topics</strong> taught over <strong>60 hours</strong> of instruction.</li><li>Total duration of course: <strong>60 hours</strong></li></ul>[tabby title=PC-AUE402/PC-ME402]

MAKAUT offers this course under the name Fluid mechanics & hydraulic machines .
<ul><li><strong>142 Video Learning Outcomes</strong> attained across<strong> 46 topics</strong> taught over <strong>59 hours</strong> of instruction.</li><li>Total duration of course: <strong>59 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Fluid Mechanics,MRSPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-fluid</i>; <strong>Password</strong>: <i>v2lbt-fluid</i>

<strong>BAEE2-301, BCIE3-413, BCIES1-404, BMECS1-302, BMEE3-413 and BMEE4-413</strong> paper code(s) are comprehensively covered in <strong>MRSPTU-Fluid Mechanics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BAEE2-301]

MRSPTU offers this course under the name Fluid mechanics .
<ul><li><strong>160 Video Learning Outcomes</strong> attained across<strong> 53 topics</strong> taught over <strong>64 hours</strong> of instruction.</li><li>Total duration of course: <strong>64 hours</strong></li></ul>[tabby title=BCIE3-413]

MRSPTU offers this course under the name Fluid mechanics .
<ul><li><strong>132 Video Learning Outcomes</strong> attained across<strong> 46 topics</strong> taught over <strong>63 hours</strong> of instruction.</li><li>Total duration of course: <strong>63 hours</strong></li></ul>[tabby title=BCIES1-404]

MRSPTU offers this course under the name Introduction to fluid mechanics.
<ul><li><strong>130 Video Learning Outcomes</strong> attained across<strong> 47 topics</strong> taught over <strong>63 hours</strong> of instruction.</li><li>Total duration of course: <strong>63 hours</strong></li></ul>[tabby title=BMECS1-302/BMEE3-413]

MRSPTU offers this course under the name Fluid mechanics .
<ul><li><strong>132 Video Learning Outcomes</strong> attained across<strong> 46 topics</strong> taught over <strong>63 hours</strong> of instruction.</li><li>Total duration of course: <strong>63 hours</strong></li></ul>[tabby title=BMEE4-413]

MRSPTU offers this course under the name Fluid mechanics .
<ul><li><strong>135 Video Learning Outcomes</strong> attained across<strong> 46 topics</strong> taught over <strong>65 hours</strong> of instruction.</li><li>Total duration of course: <strong>65 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Fluid Mechanics,RGPV,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-fluid</i>; <strong>Password</strong>: <i>v2lbt-fluid</i>

<strong>AU404, CE501, IP404 and ME404</strong> paper code(s) are comprehensively covered in <strong>RGPV-Fluid Mechanics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=AU404]

RGPV offers this course under the name Fluid mechanics .
<ul><li><strong>142 Video Learning Outcomes</strong> attained across<strong> 48 topics</strong> taught over <strong>58 hours</strong> of instruction.</li><li>Total duration of course: <strong>58 hours</strong></li></ul>[tabby title=CE501]

RGPV offers this course under the name Fluid mechanics-i.
<ul><li><strong>122 Video Learning Outcomes</strong> attained across<strong> 41 topics</strong> taught over <strong>61 hours</strong> of instruction.</li><li>Total duration of course: <strong>61 hours</strong></li></ul>[tabby title=IP404/ME404]

RGPV offers this course under the name Fluid mechanics .
<ul><li><strong>142 Video Learning Outcomes</strong> attained across<strong> 48 topics</strong> taught over <strong>58 hours</strong> of instruction.</li><li>Total duration of course: <strong>58 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Fluid Mechanics,RTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-fluid</i>; <strong>Password</strong>: <i>v2lbt-fluid</i>

<strong>3AN4-04, 3CE4-06, 4AE4-05, 4ME4-05, 4MH4-05 and 4MI3-04</strong> paper code(s) are comprehensively covered in <strong>RTU-Fluid Mechanics</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=3AN4-04]

RTU offers this course under the name Incompressible fluid mechanics .
<ul><li><strong>140 Video Learning Outcomes</strong> attained across<strong> 46 topics</strong> taught over <strong>52 hours</strong> of instruction.</li><li>Total duration of course: <strong>52 hours</strong></li></ul>[tabby title=3CE4-06]

RTU offers this course under the name Fluid mechanics .
<ul><li><strong>105 Video Learning Outcomes</strong> attained across<strong> 34 topics</strong> taught over <strong>58 hours</strong> of instruction.</li><li>Total duration of course: <strong>58 hours</strong></li></ul>[tabby title=4AE4-05/4ME4-05]

RTU offers this course under the name Fluid mechanics and fluid machines.
<ul><li><strong>159 Video Learning Outcomes</strong> attained across<strong> 56 topics</strong> taught over <strong>53 hours</strong> of instruction.</li><li>Total duration of course: <strong>53 hours</strong></li></ul>[tabby title=4MH4-05]

RTU offers this course under the name Fluid mechanics .
<ul><li><strong>160 Video Learning Outcomes</strong> attained across<strong> 53 topics</strong> taught over <strong>55 hours</strong> of instruction.</li><li>Total duration of course: <strong>55 hours</strong></li></ul>[tabby title=4MI3-04]

RTU offers this course under the name Fluid mechanics .
<ul><li><strong>159 Video Learning Outcomes</strong> attained across<strong> 56 topics</strong> taught over <strong>53 hours</strong> of instruction.</li><li>Total duration of course: <strong>53 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
