Subject,University,Description
Heat & Mass Transfer,AKTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 Username:v2lbt-heat; Password:v2lbt-heat

<strong>RME502 and RME502A</strong> paper code(s) are comprehensively covered in <strong>AKTU-Heat & Mass Transfer</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=RME502]

AKTU offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>117 Video Learning Outcomes</strong> attained across<strong> 42.0 topics</strong> taught over <strong>38.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>38.0 hours</strong></li></ul>[tabby title=RME502A]

AKTU offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>nan Video Learning Outcomes</strong> attained across<strong> nan topics</strong> taught over <strong>nan hours</strong> of instruction.</li><li>Total duration of course: <strong>nan hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Heat & Mass Transfer,DBATU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 Username:v2lbt-heat; Password:v2lbt-heat

<strong>BTAMC601 and BTMEC501</strong> paper code(s) are comprehensively covered in <strong>DBATU-Heat & Mass Transfer</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTAMC601/BTMEC501]

DBATU offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>107 Video Learning Outcomes</strong> attained across<strong> 36.0 topics</strong> taught over <strong>37.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>37.0 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Heat & Mass Transfer,GGSIPU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 Username:v2lbt-heat; Password:v2lbt-heat

<strong>ETME-303</strong> paper code(s) are comprehensively covered in <strong>GGSIPU-Heat & Mass Transfer</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=ETME-303]

GGSIPU offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>95 Video Learning Outcomes</strong> attained across<strong> 32.0 topics</strong> taught over <strong>34.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>34.0 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Heat & Mass Transfer,GTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 Username:v2lbt-heat; Password:v2lbt-heat

<strong>2151909 and 2170102</strong> paper code(s) are comprehensively covered in <strong>GTU-Heat & Mass Transfer</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=2151909]

GTU offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>102 Video Learning Outcomes</strong> attained across<strong> 37.0 topics</strong> taught over <strong>35.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>35.0 hours</strong></li></ul>[tabby title=2170102]

GTU offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>137 Video Learning Outcomes</strong> attained across<strong> 50.0 topics</strong> taught over <strong>43.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>43.0 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Heat & Mass Transfer,IKGPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 Username:v2lbt-heat; Password:v2lbt-heat

<strong>BTAE403-18 and BTME-602</strong> paper code(s) are comprehensively covered in <strong>IKGPTU-Heat & Mass Transfer</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTAE403-18]

IKGPTU offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>73 Video Learning Outcomes</strong> attained across<strong> 27.0 topics</strong> taught over <strong>26.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>26.0 hours</strong></li></ul>[tabby title=BTME-602]

IKGPTU offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>95 Video Learning Outcomes</strong> attained across<strong> 32.0 topics</strong> taught over <strong>34.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>34.0 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Heat & Mass Transfer,JCBUST,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 Username:v2lbt-heat; Password:v2lbt-heat

<strong>PCC-AE-301, PCC-MAE-301 and PCC-ME-301</strong> paper code(s) are comprehensively covered in <strong>JCBUST-Heat & Mass Transfer</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=PCC-AE-301/PCC-MAE-301/PCC-ME-301]

JCBUST offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>104 Video Learning Outcomes</strong> attained across<strong> 36.0 topics</strong> taught over <strong>35.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>35.0 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Heat & Mass Transfer,MAKAUT,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 Username:v2lbt-heat; Password:v2lbt-heat

<strong>ME-502, PC-AUE503 and PC-ME501</strong> paper code(s) are comprehensively covered in <strong>MAKAUT-Heat & Mass Transfer</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=ME-502]

MAKAUT offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>95 Video Learning Outcomes</strong> attained across<strong> 34.0 topics</strong> taught over <strong>34.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>34.0 hours</strong></li></ul>[tabby title=PC-AUE503/PC-ME501]

MAKAUT offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>95 Video Learning Outcomes</strong> attained across<strong> 35.0 topics</strong> taught over <strong>34.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>34.0 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Heat & Mass Transfer,MRSPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 Username:v2lbt-heat; Password:v2lbt-heat

<strong>BMEE3-521 and BMEEI-629</strong> paper code(s) are comprehensively covered in <strong>MRSPTU-Heat & Mass Transfer</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BMEE3-521]

MRSPTU offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>71 Video Learning Outcomes</strong> attained across<strong> 28.0 topics</strong> taught over <strong>25.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>25.0 hours</strong></li></ul>[tabby title=BMEEI-629]

MRSPTU offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>104 Video Learning Outcomes</strong> attained across<strong> 36.0 topics</strong> taught over <strong>37.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>37.0 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Heat & Mass Transfer,RGPV,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 Username:v2lbt-heat; Password:v2lbt-heat

<strong>AU704 and IP-604-B</strong> paper code(s) are comprehensively covered in <strong>RGPV-Heat & Mass Transfer</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=AU704/IP-604-B]

RGPV offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>116 Video Learning Outcomes</strong> attained across<strong> 40.0 topics</strong> taught over <strong>37.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>37.0 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Heat & Mass Transfer,RTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 Username:v2lbt-heat; Password:v2lbt-heat

<strong>4AN3-03, 5AE4-02 and 5ME4-02</strong> paper code(s) are comprehensively covered in <strong>RTU-Heat & Mass Transfer</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=4AN3-03/5AE4-02/5ME4-02]

RTU offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>104 Video Learning Outcomes</strong> attained across<strong> 36.0 topics</strong> taught over <strong>37.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>37.0 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
