Subject,University,Description
Maths-I,AKTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 Username:v2lbt-math1; Password:v2lbt-math1

<strong>KAS103</strong> paper code(s) are comprehensively covered in <strong>AKTU-Maths-I</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=KAS103]

AKTU offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>134.0 Video Learning Outcomes</strong> attained across<strong> 51.0 topics</strong> taught over <strong>31.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>31.0 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Maths-I,DBATU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 Username:v2lbt-math1; Password:v2lbt-math1

<strong>BTBS101</strong> paper code(s) are comprehensively covered in <strong>DBATU-Maths-I</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTBS101]

DBATU offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>107.0 Video Learning Outcomes</strong> attained across<strong> 41.0 topics</strong> taught over <strong>25.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>25.0 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Maths-I,GGSIPU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 Username:v2lbt-math1; Password:v2lbt-math1

<strong>ETMA-101</strong> paper code(s) are comprehensively covered in <strong>GGSIPU-Maths-I</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=ETMA-101]

GGSIPU offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>122.0 Video Learning Outcomes</strong> attained across<strong> 44.0 topics</strong> taught over <strong>28.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>28.0 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Maths-I,GTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 Username:v2lbt-math1; Password:v2lbt-math1

<strong>3110014</strong> paper code(s) are comprehensively covered in <strong>GTU-Maths-I</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=3110014]

GTU offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>137.0 Video Learning Outcomes</strong> attained across<strong> 52.0 topics</strong> taught over <strong>32.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>32.0 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Maths-I,IKGPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 Username:v2lbt-math1; Password:v2lbt-math1

<strong>BTAM104-18</strong> paper code(s) are comprehensively covered in <strong>IKGPTU-Maths-I</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTAM104-18]

IKGPTU offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>108.0 Video Learning Outcomes</strong> attained across<strong> 41.0 topics</strong> taught over <strong>27.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>27.0 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Maths-I,JCBUST,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 Username:v2lbt-math1; Password:v2lbt-math1

<strong>BSC103A, BSC103B, BSC103C, BSC103D and BSC103E</strong> paper code(s) are comprehensively covered in <strong>JCBUST-Maths-I</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BSC103A/BSC103B]

JCBUST offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>165.0 Video Learning Outcomes</strong> attained across<strong> 62.0 topics</strong> taught over <strong>37.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>37.0 hours</strong></li></ul>[tabby title=BSC103C]

JCBUST offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>246.0 Video Learning Outcomes</strong> attained across<strong> 96.0 topics</strong> taught over <strong>63.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>63.0 hours</strong></li></ul>[tabby title=BSC103D]

JCBUST offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>153.0 Video Learning Outcomes</strong> attained across<strong> 58.0 topics</strong> taught over <strong>35.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>35.0 hours</strong></li></ul>[tabby title=BSC103E]

JCBUST offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>165.0 Video Learning Outcomes</strong> attained across<strong> 62.0 topics</strong> taught over <strong>37.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>37.0 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Maths-I,MAKAUT,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 Username:v2lbt-math1; Password:v2lbt-math1

<strong>BS-M101 and BS-M102</strong> paper code(s) are comprehensively covered in <strong>MAKAUT-Maths-I</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BS-M101]

MAKAUT offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>101.0 Video Learning Outcomes</strong> attained across<strong> 38.0 topics</strong> taught over <strong>23.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>23.0 hours</strong></li></ul>[tabby title=BS-M102]

MAKAUT offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>165.0 Video Learning Outcomes</strong> attained across<strong> 62.0 topics</strong> taught over <strong>37.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>37.0 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Maths-I,MRSPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 Username:v2lbt-math1; Password:v2lbt-math1

<strong>BMAT0-101</strong> paper code(s) are comprehensively covered in <strong>MRSPTU-Maths-I</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BMAT0-101]

MRSPTU offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>148.0 Video Learning Outcomes</strong> attained across<strong> 54.0 topics</strong> taught over <strong>33.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>33.0 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Maths-I,RGPV,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 Username:v2lbt-math1; Password:v2lbt-math1

<strong>BT102</strong> paper code(s) are comprehensively covered in <strong>RGPV-Maths-I</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BT102]

RGPV offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>106.0 Video Learning Outcomes</strong> attained across<strong> 38.0 topics</strong> taught over <strong>24.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>24.0 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Maths-I,RTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 Username:v2lbt-math1; Password:v2lbt-math1

<strong>1FY2-01</strong> paper code(s) are comprehensively covered in <strong>RTU-Maths-I</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=1FY2-01]

RTU offers this course for <strong><u>test</u></strong> branches.
<ul><li><strong>106.0 Video Learning Outcomes</strong> attained across<strong> 39.0 topics</strong> taught over <strong>25.0 hours</strong> of instruction.</li><li>Total duration of course: <strong>25.0 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
