Subject,University,Description
Production Engineering,AKTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-prod</i>; <strong>Password</strong>: <i>v2lbt-prod</i>

<strong>KAE402, KME403, RME503 and RME505</strong> paper code(s) are comprehensively covered in <strong>AKTU-Production Engineering</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=KAE402]

AKTU offers this course under the name Fundamental of manufacturing process.
<ul><li><strong>149 Video Learning Outcomes</strong> attained across<strong> 41 topics</strong> taught over <strong>39 hours</strong> of instruction.</li><li>Total duration of course: <strong>39 hours</strong></li></ul>[tabby title=KME403]

AKTU offers this course under the name Manufacturing process.
<ul><li><strong>172 Video Learning Outcomes</strong> attained across<strong> 47 topics</strong> taught over <strong>45 hours</strong> of instruction.</li><li>Total duration of course: <strong>45 hours</strong></li></ul>[tabby title=RME503]

AKTU offers this course under the name Manufacturing science and technology ii.
<ul><li><strong>85 Video Learning Outcomes</strong> attained across<strong> 29 topics</strong> taught over <strong>23 hours</strong> of instruction.</li><li>Total duration of course: <strong>23 hours</strong></li></ul>[tabby title=RME505]

AKTU offers this course under the name Manufacturing science and technology ii.
<ul><li><strong>59 Video Learning Outcomes</strong> attained across<strong> 18 topics</strong> taught over <strong>15 hours</strong> of instruction.</li><li>Total duration of course: <strong>15 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Production Engineering,DBATU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-prod</i>; <strong>Password</strong>: <i>v2lbt-prod</i>

<strong>BTAMC504, BTMEC401 and BTMEC601</strong> paper code(s) are comprehensively covered in <strong>DBATU-Production Engineering</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTAMC504]

DBATU offers this course under the name Manufacturing process.
<ul><li><strong>111 Video Learning Outcomes</strong> attained across<strong> 36 topics</strong> taught over <strong>25 hours</strong> of instruction.</li><li>Total duration of course: <strong>25 hours</strong></li></ul>[tabby title=BTMEC401]

DBATU offers this course under the name Manufacturing process-i.
<ul><li><strong>137 Video Learning Outcomes</strong> attained across<strong> 39 topics</strong> taught over <strong>35 hours</strong> of instruction.</li><li>Total duration of course: <strong>35 hours</strong></li></ul>[tabby title=BTMEC601]

DBATU offers this course under the name Manufacturing processes - ii .
<ul><li><strong>46 Video Learning Outcomes</strong> attained across<strong> 16 topics</strong> taught over <strong>10 hours</strong> of instruction.</li><li>Total duration of course: <strong>10 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Production Engineering,GGSIPU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-prod</i>; <strong>Password</strong>: <i>v2lbt-prod</i>

<strong>ETME-105 and ETME-205</strong> paper code(s) are comprehensively covered in <strong>GGSIPU-Production Engineering</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=ETME-105]

GGSIPU offers this course under the name Manufacturing process.
<ul><li><strong>113 Video Learning Outcomes</strong> attained across<strong> 35 topics</strong> taught over <strong>31 hours</strong> of instruction.</li><li>Total duration of course: <strong>31 hours</strong></li></ul>[tabby title=ETME-205]

GGSIPU offers this course under the name Production technology.
<ul><li><strong>104 Video Learning Outcomes</strong> attained across<strong> 28 topics</strong> taught over <strong>29 hours</strong> of instruction.</li><li>Total duration of course: <strong>29 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Production Engineering,GTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-prod</i>; <strong>Password</strong>: <i>v2lbt-prod</i>

<strong>2131903, 2132501, 2133404, 2141908, 3142509, 3332001, 3341901 and 3342101</strong> paper code(s) are comprehensively covered in <strong>GTU-Production Engineering</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=2131903/2132501]

GTU offers this course under the name Manufacturing process-i.
<ul><li><strong>41 Video Learning Outcomes</strong> attained across<strong> 13 topics</strong> taught over <strong>9 hours</strong> of instruction.</li><li>Total duration of course: <strong>9 hours</strong></li></ul>[tabby title=2133404]

GTU offers this course under the name Basic manufacturing processes.
<ul><li><strong>19 Video Learning Outcomes</strong> attained across<strong> 6 topics</strong> taught over <strong>5 hours</strong> of instruction.</li><li>Total duration of course: <strong>5 hours</strong></li></ul>[tabby title=2141908]

GTU offers this course under the name Manufacturing processes-ii.
<ul><li><strong>113 Video Learning Outcomes</strong> attained across<strong> 34 topics</strong> taught over <strong>30 hours</strong> of instruction.</li><li>Total duration of course: <strong>30 hours</strong></li></ul>[tabby title=3142509]

GTU offers this course under the name Manufacturing technology-i.
<ul><li><strong>52 Video Learning Outcomes</strong> attained across<strong> 14 topics</strong> taught over <strong>12 hours</strong> of instruction.</li><li>Total duration of course: <strong>12 hours</strong></li></ul>[tabby title=3332001]

GTU offers this course under the name Manufacturing engineering-i.
<ul><li><strong>108 Video Learning Outcomes</strong> attained across<strong> 29 topics</strong> taught over <strong>30 hours</strong> of instruction.</li><li>Total duration of course: <strong>30 hours</strong></li></ul>[tabby title=3341901]

GTU offers this course under the name Manufacturing engineering-ii.
<ul><li><strong>55 Video Learning Outcomes</strong> attained across<strong> 15 topics</strong> taught over <strong>12 hours</strong> of instruction.</li><li>Total duration of course: <strong>12 hours</strong></li></ul>[tabby title=3342101]

GTU offers this course under the name Foundary technology.
<ul><li><strong>40 Video Learning Outcomes</strong> attained across<strong> 9 topics</strong> taught over <strong>11 hours</strong> of instruction.</li><li>Total duration of course: <strong>11 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Production Engineering,IKGPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-prod</i>; <strong>Password</strong>: <i>v2lbt-prod</i>

<strong>BTAE401-18, BTME-305, BTME-405 and BTPE-305</strong> paper code(s) are comprehensively covered in <strong>IKGPTU-Production Engineering</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTAE401-18]

IKGPTU offers this course under the name Manufacturing process.
<ul><li><strong>143 Video Learning Outcomes</strong> attained across<strong> 44 topics</strong> taught over <strong>40 hours</strong> of instruction.</li><li>Total duration of course: <strong>40 hours</strong></li></ul>[tabby title=BTME-305]

IKGPTU offers this course under the name Manufacturing process-i.
<ul><li><strong>71 Video Learning Outcomes</strong> attained across<strong> 23 topics</strong> taught over <strong>19 hours</strong> of instruction.</li><li>Total duration of course: <strong>19 hours</strong></li></ul>[tabby title=BTME-405]

IKGPTU offers this course under the name Manufacturing processes-ii.
<ul><li><strong>97 Video Learning Outcomes</strong> attained across<strong> 28 topics</strong> taught over <strong>24 hours</strong> of instruction.</li><li>Total duration of course: <strong>24 hours</strong></li></ul>[tabby title=BTPE-305]

IKGPTU offers this course under the name Manufacturing process-i.
<ul><li><strong>68 Video Learning Outcomes</strong> attained across<strong> 19 topics</strong> taught over <strong>19 hours</strong> of instruction.</li><li>Total duration of course: <strong>19 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Production Engineering,JCBUST,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-prod</i>; <strong>Password</strong>: <i>v2lbt-prod</i>

<strong>PCC-AE208, PCC-MAE-206 and PCC-ME210</strong> paper code(s) are comprehensively covered in <strong>JCBUST-Production Engineering</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=PCC-AE208/PCC-MAE-206/PCC-ME210]

JCBUST offers this course under the name Manufacturing process.
<ul><li><strong>128 Video Learning Outcomes</strong> attained across<strong> 41 topics</strong> taught over <strong>35 hours</strong> of instruction.</li><li>Total duration of course: <strong>35 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Production Engineering,MAKAUT,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-prod</i>; <strong>Password</strong>: <i>v2lbt-prod</i>

<strong>ME403, PC-AUE302 and PC-ME302</strong> paper code(s) are comprehensively covered in <strong>MAKAUT-Production Engineering</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=ME403]

MAKAUT offers this course under the name Primary manufacturing process.
<ul><li><strong>108 Video Learning Outcomes</strong> attained across<strong> 29 topics</strong> taught over <strong>30 hours</strong> of instruction.</li><li>Total duration of course: <strong>30 hours</strong></li></ul>[tabby title=PC-AUE302]

MAKAUT offers this course under the name Manufacturing methods.
<ul><li><strong>118 Video Learning Outcomes</strong> attained across<strong> 33 topics</strong> taught over <strong>35 hours</strong> of instruction.</li><li>Total duration of course: <strong>35 hours</strong></li></ul>[tabby title=PC-ME302]

MAKAUT offers this course under the name Manufacturing process.
<ul><li><strong>128 Video Learning Outcomes</strong> attained across<strong> 34 topics</strong> taught over <strong>35 hours</strong> of instruction.</li><li>Total duration of course: <strong>35 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Production Engineering,MRSPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-prod</i>; <strong>Password</strong>: <i>v2lbt-prod</i>

<strong>BMEE1-305 and BMEE3-304</strong> paper code(s) are comprehensively covered in <strong>MRSPTU-Production Engineering</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BMEE1-305]

MRSPTU offers this course under the name Manufacturing process.
<ul><li><strong>170 Video Learning Outcomes</strong> attained across<strong> 45 topics</strong> taught over <strong>42 hours</strong> of instruction.</li><li>Total duration of course: <strong>42 hours</strong></li></ul>[tabby title=BMEE3-304]

MRSPTU offers this course under the name Manufacturing process.
<ul><li><strong>172 Video Learning Outcomes</strong> attained across<strong> 48 topics</strong> taught over <strong>45 hours</strong> of instruction.</li><li>Total duration of course: <strong>45 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Production Engineering,RGPV,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-prod</i>; <strong>Password</strong>: <i>v2lbt-prod</i>

<strong>AU305, AU405, IP305, IP405, ME305 and ME405</strong> paper code(s) are comprehensively covered in <strong>RGPV-Production Engineering</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=AU305]

RGPV offers this course under the name Manufacturing process.
<ul><li><strong>137 Video Learning Outcomes</strong> attained across<strong> 35 topics</strong> taught over <strong>35 hours</strong> of instruction.</li><li>Total duration of course: <strong>35 hours</strong></li></ul>[tabby title=AU405]

RGPV offers this course under the name Manufacturing technology.
<ul><li><strong>65 Video Learning Outcomes</strong> attained across<strong> 23 topics</strong> taught over <strong>20 hours</strong> of instruction.</li><li>Total duration of course: <strong>20 hours</strong></li></ul>[tabby title=IP305]

RGPV offers this course under the name Manufacturing process-i.
<ul><li><strong>137 Video Learning Outcomes</strong> attained across<strong> 35 topics</strong> taught over <strong>35 hours</strong> of instruction.</li><li>Total duration of course: <strong>35 hours</strong></li></ul>[tabby title=IP405]

RGPV offers this course under the name Manufacturing process-ii.
<ul><li><strong>54 Video Learning Outcomes</strong> attained across<strong> 14 topics</strong> taught over <strong>12 hours</strong> of instruction.</li><li>Total duration of course: <strong>12 hours</strong></li></ul>[tabby title=ME305]

RGPV offers this course under the name Manufacturing process.
<ul><li><strong>137 Video Learning Outcomes</strong> attained across<strong> 35 topics</strong> taught over <strong>35 hours</strong> of instruction.</li><li>Total duration of course: <strong>35 hours</strong></li></ul>[tabby title=ME405]

RGPV offers this course under the name Manufacturing technology.
<ul><li><strong>65 Video Learning Outcomes</strong> attained across<strong> 23 topics</strong> taught over <strong>20 hours</strong> of instruction.</li><li>Total duration of course: <strong>20 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Production Engineering,RTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-prod</i>; <strong>Password</strong>: <i>v2lbt-prod</i>

<strong>4AE4-06, 4ME4-06, 5AE4-03 and 5ME4-03</strong> paper code(s) are comprehensively covered in <strong>RTU-Production Engineering</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=4AE4-06/4ME4-06]

RTU offers this course under the name Manufacturing process.
<ul><li><strong>113 Video Learning Outcomes</strong> attained across<strong> 31 topics</strong> taught over <strong>31 hours</strong> of instruction.</li><li>Total duration of course: <strong>31 hours</strong></li></ul>[tabby title=5AE4-03]

RTU offers this course under the name Manufacturing technology.
<ul><li><strong>45 Video Learning Outcomes</strong> attained across<strong> 17 topics</strong> taught over <strong>14 hours</strong> of instruction.</li><li>Total duration of course: <strong>14 hours</strong></li></ul>[tabby title=5ME4-03]

RTU offers this course under the name Manufacturing technology.
<ul><li><strong>62 Video Learning Outcomes</strong> attained across<strong> 17 topics</strong> taught over <strong>14 hours</strong> of instruction.</li><li>Total duration of course: <strong>14 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
