Subject,University,Description
Strength of Material,AKTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-strength</i>; <strong>Password</strong>: <i>v2lbt-strength</i>

<strong>KAE403, KCE402 and RME303</strong> paper code(s) are comprehensively covered in <strong>AKTU-Strength of Material</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=KAE403]

AKTU offers this course under the name Strength of materials .
<ul><li><strong>143 Video Learning Outcomes</strong> attained across<strong> 66 topics</strong> taught over <strong>32 hours</strong> of instruction.</li><li>Total duration of course: <strong>32 hours</strong></li></ul>[tabby title=KCE402]

AKTU offers this course under the name Introduction to solid mechanics.
<ul><li><strong>144 Video Learning Outcomes</strong> attained across<strong> 61 topics</strong> taught over <strong>41 hours</strong> of instruction.</li><li>Total duration of course: <strong>41 hours</strong></li></ul>[tabby title=RME303]

AKTU offers this course under the name Mechanics of solid.
<ul><li><strong>120 Video Learning Outcomes</strong> attained across<strong> 56 topics</strong> taught over <strong>32 hours</strong> of instruction.</li><li>Total duration of course: <strong>32 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Strength of Material,DBATU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-strength</i>; <strong>Password</strong>: <i>v2lbt-strength</i>

<strong>BTCVC302 and BTMEC403</strong> paper code(s) are comprehensively covered in <strong>DBATU-Strength of Material</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTCVC302]

DBATU offers this course under the name Mechanics of solid.
<ul><li><strong>139 Video Learning Outcomes</strong> attained across<strong> 54 topics</strong> taught over <strong>35 hours</strong> of instruction.</li><li>Total duration of course: <strong>35 hours</strong></li></ul>[tabby title=BTMEC403]

DBATU offers this course under the name Strength of materials.
<ul><li><strong>135 Video Learning Outcomes</strong> attained across<strong> 53 topics</strong> taught over <strong>37 hours</strong> of instruction.</li><li>Total duration of course: <strong>37 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Strength of Material,GGSIPU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-strength</i>; <strong>Password</strong>: <i>v2lbt-strength</i>

<strong>ETAT-203, ETCE-203, ETME-211 and ETTE-211</strong> paper code(s) are comprehensively covered in <strong>GGSIPU-Strength of Material</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=ETAT-203]

GGSIPU offers this course under the name Strength of materials.
<ul><li><strong>128 Video Learning Outcomes</strong> attained across<strong> 56 topics</strong> taught over <strong>34 hours</strong> of instruction.</li><li>Total duration of course: <strong>34 hours</strong></li></ul>[tabby title=ETCE-203]

GGSIPU offers this course under the name Strength of materials.
<ul><li><strong>136 Video Learning Outcomes</strong> attained across<strong> 56 topics</strong> taught over <strong>37 hours</strong> of instruction.</li><li>Total duration of course: <strong>37 hours</strong></li></ul>[tabby title=ETME-211/ETTE-211]

GGSIPU offers this course under the name Strength of materials.
<ul><li><strong>128 Video Learning Outcomes</strong> attained across<strong> 56 topics</strong> taught over <strong>34 hours</strong> of instruction.</li><li>Total duration of course: <strong>34 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Strength of Material,GTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-strength</i>; <strong>Password</strong>: <i>v2lbt-strength</i>

<strong>2130003 and 3130608</strong> paper code(s) are comprehensively covered in <strong>GTU-Strength of Material</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=2130003]

GTU offers this course under the name Mechanics of solid.
<ul><li><strong>132 Video Learning Outcomes</strong> attained across<strong> 52 topics</strong> taught over <strong>38 hours</strong> of instruction.</li><li>Total duration of course: <strong>38 hours</strong></li></ul>[tabby title=3130608]

GTU offers this course under the name Mechanics of solid.
<ul><li><strong>127 Video Learning Outcomes</strong> attained across<strong> 54 topics</strong> taught over <strong>39 hours</strong> of instruction.</li><li>Total duration of course: <strong>39 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Strength of Material,IKGPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-strength</i>; <strong>Password</strong>: <i>v2lbt-strength</i>

<strong>BTAE301-18, BTANE305-18, BTASE304-18, BTCE302-18, BTME-301, BTME304-18 and BTPE-301</strong> paper code(s) are comprehensively covered in <strong>IKGPTU-Strength of Material</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTAE301-18]

IKGPTU offers this course under the name Strength of materials.
<ul><li><strong>125 Video Learning Outcomes</strong> attained across<strong> 42 topics</strong> taught over <strong>34 hours</strong> of instruction.</li><li>Total duration of course: <strong>34 hours</strong></li></ul>[tabby title=BTANE305-18/BTASE304-18]

IKGPTU offers this course under the name Strength of materials.
<ul><li><strong>125 Video Learning Outcomes</strong> attained across<strong> 50 topics</strong> taught over <strong>34 hours</strong> of instruction.</li><li>Total duration of course: <strong>34 hours</strong></li></ul>[tabby title=BTCE302-18]

IKGPTU offers this course under the name Solid mechanics.
<ul><li><strong>142 Video Learning Outcomes</strong> attained across<strong> 57 topics</strong> taught over <strong>57 hours</strong> of instruction.</li><li>Total duration of course: <strong>57 hours</strong></li></ul>[tabby title=BTME-301/BTME304-18/BTPE-301]

IKGPTU offers this course under the name Strength of materials.
<ul><li><strong>125 Video Learning Outcomes</strong> attained across<strong> 50 topics</strong> taught over <strong>34 hours</strong> of instruction.</li><li>Total duration of course: <strong>34 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Strength of Material,JCBUST,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-strength</i>; <strong>Password</strong>: <i>v2lbt-strength</i>

<strong>PCC-AE-203, PCCCE205, PCC-ME-203 and PCC-MAE-203</strong> paper code(s) are comprehensively covered in <strong>JCBUST-Strength of Material</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=PCC-AE-203]

JCBUST offers this course under the name Strength of materials.
<ul><li><strong>122 Video Learning Outcomes</strong> attained across<strong> 52 topics</strong> taught over <strong>34 hours</strong> of instruction.</li><li>Total duration of course: <strong>34 hours</strong></li></ul>[tabby title=PCCCE205]

JCBUST offers this course under the name Introduction to solid mechanics.
<ul><li><strong>139 Video Learning Outcomes</strong> attained across<strong> 57 topics</strong> taught over <strong>38 hours</strong> of instruction.</li><li>Total duration of course: <strong>38 hours</strong></li></ul>[tabby title=PCC-ME-203/PCC-MAE-203]

JCBUST offers this course under the name Strength of materials.
<ul><li><strong>120 Video Learning Outcomes</strong> attained across<strong> 50 topics</strong> taught over <strong>33 hours</strong> of instruction.</li><li>Total duration of course: <strong>33 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Strength of Material,MAKAUT,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-strength</i>; <strong>Password</strong>: <i>v2lbt-strength</i>

<strong>CE-ES-402, ME-302, PC-AUE401 and PC-ME403</strong> paper code(s) are comprehensively covered in <strong>MAKAUT-Strength of Material</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=CE-ES-402]

MAKAUT offers this course under the name Introduction to solid mechanics.
<ul><li><strong>146 Video Learning Outcomes</strong> attained across<strong> 57 topics</strong> taught over <strong>39 hours</strong> of instruction.</li><li>Total duration of course: <strong>39 hours</strong></li></ul>[tabby title=ME-302/PC-AUE401/PC-ME403]

MAKAUT offers this course under the name Strength of materials.
<ul><li><strong>130 Video Learning Outcomes</strong> attained across<strong> 53 topics</strong> taught over <strong>33 hours</strong> of instruction.</li><li>Total duration of course: <strong>33 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Strength of Material,MRSPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-strength</i>; <strong>Password</strong>: <i>v2lbt-strength</i>

<strong>BAEE2-303, BANES1-304, BCIES1-405, BMECS1-301 and BMEE3-301</strong> paper code(s) are comprehensively covered in <strong>MRSPTU-Strength of Material</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BAEE2-303]

MRSPTU offers this course under the name Strength of materials.
<ul><li><strong>104 Video Learning Outcomes</strong> attained across<strong> 48 topics</strong> taught over <strong>27 hours</strong> of instruction.</li><li>Total duration of course: <strong>27 hours</strong></li></ul>[tabby title=BANES1-304]

MRSPTU offers this course under the name Strength of materials.
<ul><li><strong>137 Video Learning Outcomes</strong> attained across<strong> 56 topics</strong> taught over <strong>36 hours</strong> of instruction.</li><li>Total duration of course: <strong>36 hours</strong></li></ul>[tabby title=BCIES1-405]

MRSPTU offers this course under the name Introduction to solid mechanics.
<ul><li><strong>133 Video Learning Outcomes</strong> attained across<strong> 56 topics</strong> taught over <strong>37 hours</strong> of instruction.</li><li>Total duration of course: <strong>37 hours</strong></li></ul>[tabby title=BMECS1-301]

MRSPTU offers this course under the name Strength of materials-i.
<ul><li><strong>126 Video Learning Outcomes</strong> attained across<strong> 49 topics</strong> taught over <strong>35 hours</strong> of instruction.</li><li>Total duration of course: <strong>35 hours</strong></li></ul>[tabby title=BMEE3-301]

MRSPTU offers this course under the name Mechanics of materials.
<ul><li><strong>126 Video Learning Outcomes</strong> attained across<strong> 50 topics</strong> taught over <strong>32 hours</strong> of instruction.</li><li>Total duration of course: <strong>32 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Strength of Material,RGPV,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-strength</i>; <strong>Password</strong>: <i>v2lbt-strength</i>

<strong>AU304, CR305, IP304 and ME304</strong> paper code(s) are comprehensively covered in <strong>RGPV-Strength of Material</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=AU304]

RGPV offers this course under the name Strength of materials.
<ul><li><strong>124 Video Learning Outcomes</strong> attained across<strong> 53 topics</strong> taught over <strong>35 hours</strong> of instruction.</li><li>Total duration of course: <strong>35 hours</strong></li></ul>[tabby title=CR305]

RGPV offers this course under the name Strength of materials.
<ul><li><strong>140 Video Learning Outcomes</strong> attained across<strong> 57 topics</strong> taught over <strong>37 hours</strong> of instruction.</li><li>Total duration of course: <strong>37 hours</strong></li></ul>[tabby title=IP304/ME304]

RGPV offers this course under the name Strength of materials.
<ul><li><strong>124 Video Learning Outcomes</strong> attained across<strong> 53 topics</strong> taught over <strong>35 hours</strong> of instruction.</li><li>Total duration of course: <strong>35 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Strength of Material,RTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-strength</i>; <strong>Password</strong>: <i>v2lbt-strength</i>

<strong>3ME4-07, 3AE4-07, 3AN4-06, 3MH4-05, 3MI3-04 and 4CE4-05</strong> paper code(s) are comprehensively covered in <strong>RTU-Strength of Material</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=3ME4-07/3AE4-07]

RTU offers this course under the name Mechanics of solid.
<ul><li><strong>118 Video Learning Outcomes</strong> attained across<strong> 49 topics</strong> taught over <strong>31 hours</strong> of instruction.</li><li>Total duration of course: <strong>31 hours</strong></li></ul>[tabby title=3AN4-06]

RTU offers this course under the name Mechanics of solid.
<ul><li><strong>123 Video Learning Outcomes</strong> attained across<strong> 48 topics</strong> taught over <strong>33 hours</strong> of instruction.</li><li>Total duration of course: <strong>33 hours</strong></li></ul>[tabby title=3MH4-05]

RTU offers this course under the name Mechanics of solid.
<ul><li><strong>114 Video Learning Outcomes</strong> attained across<strong> 45 topics</strong> taught over <strong>31 hours</strong> of instruction.</li><li>Total duration of course: <strong>31 hours</strong></li></ul>[tabby title=3MI3-04]

RTU offers this course under the name Strength of material.
<ul><li><strong>103 Video Learning Outcomes</strong> attained across<strong> 45 topics</strong> taught over <strong>30 hours</strong> of instruction.</li><li>Total duration of course: <strong>30 hours</strong></li></ul>[tabby title=4CE4-05]

RTU offers this course under the name Strength of materials.
<ul><li><strong>116 Video Learning Outcomes</strong> attained across<strong> 49 topics</strong> taught over <strong>34 hours</strong> of instruction.</li><li>Total duration of course: <strong>34 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
