Subject,University,Description
Surveying,AKTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-survey</i>; <strong>Password</strong>: <i>v2lbt-survey</i>

<strong>KCE302 and RCE402</strong> paper code(s) are comprehensively covered in <strong>AKTU-Surveying</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=KCE302]

AKTU offers this course under the name Surveying & geomatics.
<ul><li><strong>128 Video Learning Outcomes</strong> attained across<strong> 49 topics</strong> taught over <strong>61 hours</strong> of instruction.</li><li>Total duration of course: <strong>61 hours</strong></li></ul>[tabby title=RCE402]

AKTU offers this course under the name Geoinformatics.
<ul><li><strong>37 Video Learning Outcomes</strong> attained across<strong> 15 topics</strong> taught over <strong>51 hours</strong> of instruction.</li><li>Total duration of course: <strong>51 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Surveying,DBATU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-survey</i>; <strong>Password</strong>: <i>v2lbt-survey</i>

<strong>BTCVC304 and BTCVC402</strong> paper code(s) are comprehensively covered in <strong>DBATU-Surveying</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTCVC304]

DBATU offers this course under the name Surveying-i.
<ul><li><strong>106 Video Learning Outcomes</strong> attained across<strong> 42 topics</strong> taught over <strong>62 hours</strong> of instruction.</li><li>Total duration of course: <strong>62 hours</strong></li></ul>[tabby title=BTCVC402]

DBATU offers this course under the name Surveying-ii.
<ul><li><strong>90 Video Learning Outcomes</strong> attained across<strong> 37 topics</strong> taught over <strong>51 hours</strong> of instruction.</li><li>Total duration of course: <strong>51 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Surveying,GGSIPU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-survey</i>; <strong>Password</strong>: <i>v2lbt-survey</i>

<strong>ETCE-208, ETCE-209 and ETEN-209</strong> paper code(s) are comprehensively covered in <strong>GGSIPU-Surveying</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=ETCE-208]

GGSIPU offers this course under the name Advance surveying.
<ul><li><strong>74 Video Learning Outcomes</strong> attained across<strong> 34 topics</strong> taught over <strong>53 hours</strong> of instruction.</li><li>Total duration of course: <strong>53 hours</strong></li></ul>[tabby title=ETCE-209/ETEN-209]

GGSIPU offers this course under the name Surveying.
<ul><li><strong>130 Video Learning Outcomes</strong> attained across<strong> 50 topics</strong> taught over <strong>67 hours</strong> of instruction.</li><li>Total duration of course: <strong>67 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Surveying,GTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-survey</i>; <strong>Password</strong>: <i>v2lbt-survey</i>

<strong>3330605 and 3340602</strong> paper code(s) are comprehensively covered in <strong>GTU-Surveying</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=3330605]

GTU offers this course under the name Surveying.
<ul><li><strong>80 Video Learning Outcomes</strong> attained across<strong> 30 topics</strong> taught over <strong>59 hours</strong> of instruction.</li><li>Total duration of course: <strong>59 hours</strong></li></ul>[tabby title=3340602]

GTU offers this course under the name Advance surveying.
<ul><li><strong>64 Video Learning Outcomes</strong> attained across<strong> 31 topics</strong> taught over <strong>51 hours</strong> of instruction.</li><li>Total duration of course: <strong>51 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Surveying,IKGPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-survey</i>; <strong>Password</strong>: <i>v2lbt-survey</i>

<strong>BTCE301-18 and BTCE-401</strong> paper code(s) are comprehensively covered in <strong>IKGPTU-Surveying</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTCE301-18]

IKGPTU offers this course under the name Surveying & geomatics.
<ul><li><strong>117 Video Learning Outcomes</strong> attained across<strong> 45 topics</strong> taught over <strong>64 hours</strong> of instruction.</li><li>Total duration of course: <strong>64 hours</strong></li></ul>[tabby title=BTCE-401]

IKGPTU offers this course under the name Geomatics engineering.
<ul><li><strong>43 Video Learning Outcomes</strong> attained across<strong> 17 topics</strong> taught over <strong>52 hours</strong> of instruction.</li><li>Total duration of course: <strong>52 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Surveying,JCBUST,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-survey</i>; <strong>Password</strong>: <i>v2lbt-survey</i>

<strong>PCCCE206</strong> paper code(s) are comprehensively covered in <strong>JCBUST-Surveying</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=PCCCE206]

JCBUST offers this course under the name Surveying & geomatics.
<ul><li><strong>160 Video Learning Outcomes</strong> attained across<strong> 62 topics</strong> taught over <strong>66 hours</strong> of instruction.</li><li>Total duration of course: <strong>66 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Surveying,MAKAUT,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-survey</i>; <strong>Password</strong>: <i>v2lbt-survey</i>

<strong>CE302 and CE-PC-403</strong> paper code(s) are comprehensively covered in <strong>MAKAUT-Surveying</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=CE302]

MAKAUT offers this course under the name Surveying.
<ul><li><strong>120 Video Learning Outcomes</strong> attained across<strong> 46 topics</strong> taught over <strong>64 hours</strong> of instruction.</li><li>Total duration of course: <strong>64 hours</strong></li></ul>[tabby title=CE-PC-403]

MAKAUT offers this course under the name Surveying & geomatics.
<ul><li><strong>114 Video Learning Outcomes</strong> attained across<strong> 44 topics</strong> taught over <strong>63 hours</strong> of instruction.</li><li>Total duration of course: <strong>63 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Surveying,MRSPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-survey</i>; <strong>Password</strong>: <i>v2lbt-survey</i>

<strong>BCIES1-303 and BCIES1-406</strong> paper code(s) are comprehensively covered in <strong>MRSPTU-Surveying</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BCIES1-303]

MRSPTU offers this course under the name Surveying.
<ul><li><strong>117 Video Learning Outcomes</strong> attained across<strong> 45 topics</strong> taught over <strong>65 hours</strong> of instruction.</li><li>Total duration of course: <strong>65 hours</strong></li></ul>[tabby title=BCIES1-406]

MRSPTU offers this course under the name Geomatic engineering.
<ul><li><strong>37 Video Learning Outcomes</strong> attained across<strong> 14 topics</strong> taught over <strong>52 hours</strong> of instruction.</li><li>Total duration of course: <strong>52 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Surveying,RGPV,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-survey</i>; <strong>Password</strong>: <i>v2lbt-survey</i>

<strong>CE303</strong> paper code(s) are comprehensively covered in <strong>RGPV-Surveying</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=CE303]

RGPV offers this course under the name Surveying.
<ul><li><strong>101 Video Learning Outcomes</strong> attained across<strong> 37 topics</strong> taught over <strong>62 hours</strong> of instruction.</li><li>Total duration of course: <strong>62 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Surveying,RTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-survey</i>; <strong>Password</strong>: <i>v2lbt-survey</i>

<strong>3CE4-05</strong> paper code(s) are comprehensively covered in <strong>RTU-Surveying</strong> course.
Check out your complete syllabus coverage in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=3CE4-05]

RTU offers this course under the name Surveying.
<ul><li><strong>104 Video Learning Outcomes</strong> attained across<strong> 42 topics</strong> taught over <strong>60 hours</strong> of instruction.</li><li>Total duration of course: <strong>60 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
