Subject,University,Description
Engineering Mechanics,AKTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-mechanics</i>; <strong>Password</strong>: <i>v2lbt-mechanics</i>

<strong>KME402</strong> paper code(s) are comprehensively covered in <strong>AKTU-Engineering Mechanics</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=KME402]

AKTU offers this course.
<ul><li><strong>125 Video Learning Outcomes</strong> attained across<strong> 49 topics</strong> taught over <strong>34 hours</strong> of instruction.</li><li>Total duration of course: <strong>34 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Engineering Mechanics,DBATU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-mechanics</i>; <strong>Password</strong>: <i>v2lbt-mechanics</i>

<strong>ME202</strong> paper code(s) are comprehensively covered in <strong>DBATU-Engineering Mechanics</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=ME202]

DBATU offers this course.
<ul><li><strong>78 Video Learning Outcomes</strong> attained across<strong> 32 topics</strong> taught over <strong>22 hours</strong> of instruction.</li><li>Total duration of course: <strong>22 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Engineering Mechanics,GGSIPU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-mechanics</i>; <strong>Password</strong>: <i>v2lbt-mechanics</i>

<strong>ETME-110</strong> paper code(s) are comprehensively covered in <strong>GGSIPU-Engineering Mechanics</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=ETME-110]

GGSIPU offers this course.
<ul><li><strong>68 Video Learning Outcomes</strong> attained across<strong> 27 topics</strong> taught over <strong>19 hours</strong> of instruction.</li><li>Total duration of course: <strong>19 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Engineering Mechanics,GTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-mechanics</i>; <strong>Password</strong>: <i>v2lbt-mechanics</i>

<strong>3132005</strong> paper code(s) are comprehensively covered in <strong>GTU-Engineering Mechanics</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=3132005]

GTU offers this course.
<ul><li><strong>118 Video Learning Outcomes</strong> attained across<strong> 46 topics</strong> taught over <strong>34 hours</strong> of instruction.</li><li>Total duration of course: <strong>34 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Engineering Mechanics,JCBUST,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-mechanics</i>; <strong>Password</strong>: <i>v2lbt-mechanics</i>

<strong>ESC-202</strong> paper code(s) are comprehensively covered in <strong>JCBUST-Engineering Mechanics</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=ESC-202]

JCBUST offers this course.
<ul><li><strong>79 Video Learning Outcomes</strong> attained across<strong> 31 topics</strong> taught over <strong>22 hours</strong> of instruction.</li><li>Total duration of course: <strong>22 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Engineering Mechanics,MAKAUT,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-mechanics</i>; <strong>Password</strong>: <i>v2lbt-mechanics</i>

<strong>ES-AUE301 and ES-ME301</strong> paper code(s) are comprehensively covered in <strong>MAKAUT-Engineering Mechanics</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=ES-AUE301/ES-ME301]

MAKAUT offers this course.
<ul><li><strong>79 Video Learning Outcomes</strong> attained across<strong> 31 topics</strong> taught over <strong>22 hours</strong> of instruction.</li><li>Total duration of course: <strong>22 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Engineering Mechanics,MRSPTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-mechanics</i>; <strong>Password</strong>: <i>v2lbt-mechanics</i>

<strong>BMECE0-001</strong> paper code(s) are comprehensively covered in <strong>MRSPTU-Engineering Mechanics</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BMECE0-001]

MRSPTU offers this course.
<ul><li><strong>80 Video Learning Outcomes</strong> attained across<strong> 32 topics</strong> taught over <strong>23 hours</strong> of instruction.</li><li>Total duration of course: <strong>23 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Engineering Mechanics,RTU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-mechanics</i>; <strong>Password</strong>: <i>v2lbt-mechanics</i>

<strong>3AE3-04 and 3ME3-04</strong> paper code(s) are comprehensively covered in <strong>RTU-Engineering Mechanics</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=3AE3-04/3ME3-04]

RTU offers this course.
<ul><li><strong>83 Video Learning Outcomes</strong> attained across<strong> 33 topics</strong> taught over <strong>23 hours</strong> of instruction.</li><li>Total duration of course: <strong>23 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Numerical Methods,DBATU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-num</i>; <strong>Password</strong>: <i>v2lbt-num</i>

<strong>BTBSC406, BTCOE405-A, BTCVE404A and BTMEC404</strong> paper code(s) are comprehensively covered in <strong>DBATU-Numerical Methods</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=BTBSC406]

DBATU offers this course.
<ul><li><strong>70 Video Learning Outcomes</strong> attained across<strong> 28 topics</strong> taught over <strong>21 hours</strong> of instruction.</li><li>Total duration of course: <strong>21 hours</strong></li></ul>[tabby title=BTCOE405-A]

DBATU offers this course.
<ul><li><strong>68 Video Learning Outcomes</strong> attained across<strong> 27 topics</strong> taught over <strong>21 hours</strong> of instruction.</li><li>Total duration of course: <strong>21 hours</strong></li></ul>[tabby title=BTCVE404A]

DBATU offers this course.
<ul><li><strong>78 Video Learning Outcomes</strong> attained across<strong> 33 topics</strong> taught over <strong>25 hours</strong> of instruction.</li><li>Total duration of course: <strong>25 hours</strong></li></ul>[tabby title=BTMEC404]

DBATU offers this course.
<ul><li><strong>70 Video Learning Outcomes</strong> attained across<strong> 28 topics</strong> taught over <strong>21 hours</strong> of instruction.</li><li>Total duration of course: <strong>21 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Numerical Methods,GGSIPU,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2lbt-num</i>; <strong>Password</strong>: <i>v2lbt-num</i>

<strong>ETMA-203</strong> paper code(s) are comprehensively covered in <strong>GGSIPU-Numerical Methods</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=ETMA-203]

GGSIPU offers this course.
<ul><li><strong>76 Video Learning Outcomes</strong> attained across<strong> 31 topics</strong> taught over <strong>24 hours</strong> of instruction.</li><li>Total duration of course: <strong>24 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
