Subject,University,Description
Applied Math I,DLBTE,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2ldt-am1</i>; <strong>Password</strong>: <i>v2ldt-am1</i>

<strong>1.2</strong> paper code(s) are comprehensively covered in <strong>DLBTE-Applied Math I</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=1.2]

DLBTE offers this course.
<ul><li><strong>79 Video Learning Outcomes</strong> attained across<strong> 30 topics</strong> taught over <strong>19 hours</strong> of instruction.</li><li>Total duration of course: <strong>19 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Applied Math I,GJBTE,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2ldt-am1</i>; <strong>Password</strong>: <i>v2ldt-am1</i>

<strong>C300001</strong> paper code(s) are comprehensively covered in <strong>GJBTE-Applied Math I</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=C300001]

GJBTE offers this course.
<ul><li><strong>81 Video Learning Outcomes</strong> attained across<strong> 30 topics</strong> taught over <strong>19 hours</strong> of instruction.</li><li>Total duration of course: <strong>19 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Applied Math I,HRBTE,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2ldt-am1</i>; <strong>Password</strong>: <i>v2ldt-am1</i>

<strong>1.2</strong> paper code(s) are comprehensively covered in <strong>HRBTE-Applied Math I</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=1.2]

HRBTE offers this course.
<ul><li><strong>125 Video Learning Outcomes</strong> attained across<strong> 52 topics</strong> taught over <strong>33 hours</strong> of instruction.</li><li>Total duration of course: <strong>33 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Applied Math I,MHBTE,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2ldt-am1</i>; <strong>Password</strong>: <i>v2ldt-am1</i>

<strong>22103</strong> paper code(s) are comprehensively covered in <strong>MHBTE-Applied Math I</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=22103]

MHBTE offers this course.
<ul><li><strong>54 Video Learning Outcomes</strong> attained across<strong> 25 topics</strong> taught over <strong>15 hours</strong> of instruction.</li><li>Total duration of course: <strong>15 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Applied Math I,MPBTE,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2ldt-am1</i>; <strong>Password</strong>: <i>v2ldt-am1</i>

<strong>104</strong> paper code(s) are comprehensively covered in <strong>MPBTE-Applied Math I</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=104]

MPBTE offers this course.
<ul><li><strong>99 Video Learning Outcomes</strong> attained across<strong> 41 topics</strong> taught over <strong>25 hours</strong> of instruction.</li><li>Total duration of course: <strong>25 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Applied Math I,PBBTE,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2ldt-am1</i>; <strong>Password</strong>: <i>v2ldt-am1</i>

<strong>1.2</strong> paper code(s) are comprehensively covered in <strong>PBBTE-Applied Math I</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=1.2]

PBBTE offers this course.
<ul><li><strong>99 Video Learning Outcomes</strong> attained across<strong> 38 topics</strong> taught over <strong>25 hours</strong> of instruction.</li><li>Total duration of course: <strong>25 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Applied Math I,RJBTE,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2ldt-am1</i>; <strong>Password</strong>: <i>v2ldt-am1</i>

<strong>104</strong> paper code(s) are comprehensively covered in <strong>RJBTE-Applied Math I</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=104]

RJBTE offers this course.
<ul><li><strong>137 Video Learning Outcomes</strong> attained across<strong> 53 topics</strong> taught over <strong>34 hours</strong> of instruction.</li><li>Total duration of course: <strong>34 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Applied Math I,UPBTE,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2ldt-am1</i>; <strong>Password</strong>: <i>v2ldt-am1</i>

<strong>1.2</strong> paper code(s) are comprehensively covered in <strong>UPBTE-Applied Math I</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=1.2]

UPBTE offers this course.
<ul><li><strong>89 Video Learning Outcomes</strong> attained across<strong> 31 topics</strong> taught over <strong>22 hours</strong> of instruction.</li><li>Total duration of course: <strong>22 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Applied Math I,WBBTE,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2ldt-am1</i>; <strong>Password</strong>: <i>v2ldt-am1</i>

<strong>4</strong> paper code(s) are comprehensively covered in <strong>WBBTE-Applied Math I</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=4]

WBBTE offers this course.
<ul><li><strong>103 Video Learning Outcomes</strong> attained across<strong> 39 topics</strong> taught over <strong>26 hours</strong> of instruction.</li><li>Total duration of course: <strong>26 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
Applied Math II,DLBTE,"<button class=""single_add_to_cart_button button alt"" style=""font-family: 'Open Sans'; font-size: .8em;"" onclick=""window.open('https://enlp.in/login/index.php', '_blank'); return false;"">View Sample Course</button>
 <strong>Username</strong>: <i>v2ldt-am2</i>; <strong>Password</strong>: <i>v2ldt-am2</i>

<strong>2.1</strong> paper code(s) are comprehensively covered in <strong>DLBTE-Applied Math II</strong> course.
The Topic-wise syllabus coverage for each paper code is detailed in <a href=""https://cc.2learn.in/btech"" target=""_blank"">Curriculum Coverage Plan (CCP)</a>.

[tabby title=2.1]

DLBTE offers this course.
<ul><li><strong>40 Video Learning Outcomes</strong> attained across<strong> 17 topics</strong> taught over <strong>10 hours</strong> of instruction.</li><li>Total duration of course: <strong>10 hours</strong></li></ul>[tabbyending]

V2L courses enjoy a finely granulated hierarchy organised by Units, Sections, Topics, Video Learning Modules (VLM) and Concept Learning Outcomes (CLO).

A CLO is a statement of what a student should expect to recall, solve or perform upon its completion.

Course Faculty carry several years of teaching and industry experience. The lessons are taught systematically, and delivered in simple, lucid language and manner. Courses are designed to inculcate a clear understanding of subject-concepts and enable students to gain theoretical and practical insights.
"
