S.N,Subject Name_ES,Password,BTE short name,Paper code,Group Name,Subject NameBTE,# Topics,# CLOs,CLO time,# PLOs,PLO Time,LABEL FORMULA,CLUSTER,CLUSTER
1,Data Structure,v2ldt-data,UPBTE,3.5,UPBTE_3.5,Data Structures Using C,52,155,47,121,23,{ifingroup UPBTE_3.5}This Course is designed according to the syllabus of paper code '3.5: Data Structures Using C' of UPBTE. This Course comprises of 52 Topics. 155 Outcomes are taught in approx 47 hours.{/ifingroup},{ifingroup UPBTE_3.5}This Course is designed according to the syllabus of paper code '3.5: Data Structures Using C' of UPBTE. This Course comprises of 52 Topics. 155 Outcomes are taught in approx 47 hours.{/ifingroup}{ifingroup DLBTE_3.3}This Course is designed according to the syllabus of paper code '3.3: Data Structures Using C' of DLBTE. This Course comprises of 40 Topics. 118 Outcomes are taught in approx 36 hours.{/ifingroup}{ifingroup HRBTE_4.1}This Course is designed according to the syllabus of paper code '4.1: Data Structures Using C' of HRBTE. This Course comprises of 36 Topics. 111 Outcomes are taught in approx 35 hours.{/ifingroup}{ifingroup PBBTE_4.2}This Course is designed according to the syllabus of paper code '4.2: Data Structures' of PBBTE. This Course comprises of 45 Topics. 136 Outcomes are taught in approx 42 hours.{/ifingroup}{ifingroup RJBTE_CS301}This Course is designed according to the syllabus of paper code 'CS301: Data Structure and Algorithm' of RJBTE. This Course comprises of 44 Topics. 132 Outcomes are taught in approx 41 hours.{/ifingroup}{ifingroup MPBTE_304}This Course is designed according to the syllabus of paper code '304: Data Structure and Algorithm' of MPBTE. This Course comprises of 54 Topics. 162 Outcomes are taught in approx 51 hours.{/ifingroup}{ifingroup WBBTE_4}This Course is designed according to the syllabus of paper code '4: Data Structure' of WBBTE. This Course comprises of 42 Topics. 130 Outcomes are taught in approx 40 hours.{/ifingroup}{ifingroup MHBTE_22317}This Course is designed according to the syllabus of paper code '22317: Data Structures using C' of MHBTE. This Course comprises of 35 Topics. 112 Outcomes are taught in approx 34 hours.{/ifingroup}{ifingroup GJBTE_330701}This Course is designed according to the syllabus of paper code '330701: Data Structure and Management' of GJBTE. This Course comprises of 48 Topics. 134 Outcomes are taught in approx 41 hours.{/ifingroup}{ifingroup GJBTE_330701}This Course is designed according to the syllabus of paper code '330701: Data Structure and Management' of GJBTE. This Course comprises of 48 Topics. 134 Outcomes are taught in approx 41 hours.{/ifingroup},{ifingroup UPBTE_3.5}This Course is designed according to the syllabus of paper code '3.5: Data Structures Using C' of UPBTE. This Course comprises of 52 Topics. 155 Outcomes are taught in approx 47 hours.{/ifingroup}{ifingroup DLBTE_3.3}This Course is designed according to the syllabus of paper code '3.3: Data Structures Using C' of DLBTE. This Course comprises of 40 Topics. 118 Outcomes are taught in approx 36 hours.{/ifingroup}{ifingroup HRBTE_4.1}This Course is designed according to the syllabus of paper code '4.1: Data Structures Using C' of HRBTE. This Course comprises of 36 Topics. 111 Outcomes are taught in approx 35 hours.{/ifingroup}{ifingroup PBBTE_4.2}This Course is designed according to the syllabus of paper code '4.2: Data Structures' of PBBTE. This Course comprises of 45 Topics. 136 Outcomes are taught in approx 42 hours.{/ifingroup}{ifingroup RJBTE_CS301}This Course is designed according to the syllabus of paper code 'CS301: Data Structure and Algorithm' of RJBTE. This Course comprises of 44 Topics. 132 Outcomes are taught in approx 41 hours.{/ifingroup}{ifingroup MPBTE_304}This Course is designed according to the syllabus of paper code '304: Data Structure and Algorithm' of MPBTE. This Course comprises of 54 Topics. 162 Outcomes are taught in approx 51 hours.{/ifingroup}{ifingroup WBBTE_4}This Course is designed according to the syllabus of paper code '4: Data Structure' of WBBTE. This Course comprises of 42 Topics. 130 Outcomes are taught in approx 40 hours.{/ifingroup}{ifingroup MHBTE_22317}This Course is designed according to the syllabus of paper code '22317: Data Structures using C' of MHBTE. This Course comprises of 35 Topics. 112 Outcomes are taught in approx 34 hours.{/ifingroup}{ifingroup GJBTE_330701}This Course is designed according to the syllabus of paper code '330701: Data Structure and Management' of GJBTE. This Course comprises of 48 Topics. 134 Outcomes are taught in approx 41 hours.{/ifingroup}{ifingroup GJBTE_330701}This Course is designed according to the syllabus of paper code '330701: Data Structure and Management' of GJBTE. This Course comprises of 48 Topics. 134 Outcomes are taught in approx 41 hours.{/ifingroup}
,,,DLBTE,3.3,DLBTE_3.3,Data Structures Using C,40,118,36,90,17,{ifingroup DLBTE_3.3}This Course is designed according to the syllabus of paper code '3.3: Data Structures Using C' of DLBTE. This Course comprises of 40 Topics. 118 Outcomes are taught in approx 36 hours.{/ifingroup},,
,,,HRBTE,4.1,HRBTE_4.1,Data Structures Using C,36,111,35,82,14,{ifingroup HRBTE_4.1}This Course is designed according to the syllabus of paper code '4.1: Data Structures Using C' of HRBTE. This Course comprises of 36 Topics. 111 Outcomes are taught in approx 35 hours.{/ifingroup},,
,,,PBBTE,4.2,PBBTE_4.2,Data Structures,45,136,42,103,19,{ifingroup PBBTE_4.2}This Course is designed according to the syllabus of paper code '4.2: Data Structures' of PBBTE. This Course comprises of 45 Topics. 136 Outcomes are taught in approx 42 hours.{/ifingroup},,
,,,RJBTE,CS301,RJBTE_CS301,Data Structure and Algorithm,44,132,41,103,18,{ifingroup RJBTE_CS301}This Course is designed according to the syllabus of paper code 'CS301: Data Structure and Algorithm' of RJBTE. This Course comprises of 44 Topics. 132 Outcomes are taught in approx 41 hours.{/ifingroup},,
,,,MPBTE,304,MPBTE_304,Data Structure and Algorithm,54,162,51,125,24,{ifingroup MPBTE_304}This Course is designed according to the syllabus of paper code '304: Data Structure and Algorithm' of MPBTE. This Course comprises of 54 Topics. 162 Outcomes are taught in approx 51 hours.{/ifingroup},,
,,,WBBTE,4,WBBTE_4,Data Structure,42,130,40,101,18,{ifingroup WBBTE_4}This Course is designed according to the syllabus of paper code '4: Data Structure' of WBBTE. This Course comprises of 42 Topics. 130 Outcomes are taught in approx 40 hours.{/ifingroup},,
,,,MHBTE,22317,MHBTE_22317,Data Structures using C,35,112,34,85,14,{ifingroup MHBTE_22317}This Course is designed according to the syllabus of paper code '22317: Data Structures using C' of MHBTE. This Course comprises of 35 Topics. 112 Outcomes are taught in approx 34 hours.{/ifingroup},,
,,,GJBTE,330701,GJBTE_330701,Data Structure and Management,48,134,41,102,18,{ifingroup GJBTE_330701}This Course is designed according to the syllabus of paper code '330701: Data Structure and Management' of GJBTE. This Course comprises of 48 Topics. 134 Outcomes are taught in approx 41 hours.{/ifingroup},,
2,Database management System ,v2ldt-database,UPBTE,4.2,UPBTE_4.2,Database Management System,36,65,28,64,10,{ifingroup UPBTE_4.2}This Course is designed according to the syllabus of paper code '4.2: Database Management System' of UPBTE. This Course comprises of 36 Topics. 65 Outcomes are taught in approx 28 hours.{/ifingroup},{ifingroup UPBTE_4.2}This Course is designed according to the syllabus of paper code '4.2: Database Management System' of UPBTE. This Course comprises of 36 Topics. 65 Outcomes are taught in approx 28 hours.{/ifingroup}{ifingroup DLBTE_4.4}This Course is designed according to the syllabus of paper code '4.4: Database Management System' of DLBTE. This Course comprises of 28 Topics. 52 Outcomes are taught in approx 23 hours.{/ifingroup}{ifingroup HRBTE_4.5}This Course is designed according to the syllabus of paper code '4.5: Database Management System' of HRBTE. This Course comprises of 35 Topics. 71 Outcomes are taught in approx 29 hours.{/ifingroup}{ifingroup PBBTE_4.5}This Course is designed according to the syllabus of paper code '4.5: Database Management System' of PBBTE. This Course comprises of 35 Topics. 71 Outcomes are taught in approx 29 hours.{/ifingroup}{ifingroup RJBTE_CS207}This Course is designed according to the syllabus of paper code 'CS207: Database Management System' of RJBTE. This Course comprises of 33 Topics. 71 Outcomes are taught in approx 30 hours.{/ifingroup}{ifingroup RJBTE_IT207}This Course is designed according to the syllabus of paper code 'IT207: Database Management System' of RJBTE. This Course comprises of 33 Topics. 65 Outcomes are taught in approx 29 hours.{/ifingroup}{ifingroup MPBTE_402}This Course is designed according to the syllabus of paper code '402: Database Management Systems' of MPBTE. This Course comprises of 35 Topics. 84 Outcomes are taught in approx 34 hours.{/ifingroup}{ifingroup WBBTE_3}This Course is designed according to the syllabus of paper code '3: Relational Database Management System' of WBBTE. This Course comprises of 44 Topics. 56 Outcomes are taught in approx 24 hours.{/ifingroup}{ifingroup MHBTE_22318}This Course is designed according to the syllabus of paper code '22318: Database Management Systems' of MHBTE. This Course comprises of 32 Topics. 49 Outcomes are taught in approx 21 hours.{/ifingroup}{ifingroup GJBTE_330703}This Course is designed according to the syllabus of paper code '330703: Database Management System' of GJBTE. This Course comprises of 24 Topics. 51 Outcomes are taught in approx 21 hours.{/ifingroup},{ifingroup UPBTE_4.2}This Course is designed according to the syllabus of paper code '4.2: Database Management System' of UPBTE. This Course comprises of 36 Topics. 65 Outcomes are taught in approx 28 hours.{/ifingroup}{ifingroup DLBTE_4.4}This Course is designed according to the syllabus of paper code '4.4: Database Management System' of DLBTE. This Course comprises of 28 Topics. 52 Outcomes are taught in approx 23 hours.{/ifingroup}{ifingroup HRBTE_4.5}This Course is designed according to the syllabus of paper code '4.5: Database Management System' of HRBTE. This Course comprises of 35 Topics. 71 Outcomes are taught in approx 29 hours.{/ifingroup}{ifingroup PBBTE_4.5}This Course is designed according to the syllabus of paper code '4.5: Database Management System' of PBBTE. This Course comprises of 35 Topics. 71 Outcomes are taught in approx 29 hours.{/ifingroup}{ifingroup RJBTE_CS207}This Course is designed according to the syllabus of paper code 'CS207: Database Management System' of RJBTE. This Course comprises of 33 Topics. 71 Outcomes are taught in approx 30 hours.{/ifingroup}{ifingroup RJBTE_IT207}This Course is designed according to the syllabus of paper code 'IT207: Database Management System' of RJBTE. This Course comprises of 33 Topics. 65 Outcomes are taught in approx 29 hours.{/ifingroup}{ifingroup MPBTE_402}This Course is designed according to the syllabus of paper code '402: Database Management Systems' of MPBTE. This Course comprises of 35 Topics. 84 Outcomes are taught in approx 34 hours.{/ifingroup}{ifingroup WBBTE_3}This Course is designed according to the syllabus of paper code '3: Relational Database Management System' of WBBTE. This Course comprises of 44 Topics. 56 Outcomes are taught in approx 24 hours.{/ifingroup}{ifingroup MHBTE_22318}This Course is designed according to the syllabus of paper code '22318: Database Management Systems' of MHBTE. This Course comprises of 32 Topics. 49 Outcomes are taught in approx 21 hours.{/ifingroup}{ifingroup GJBTE_330703}This Course is designed according to the syllabus of paper code '330703: Database Management System' of GJBTE. This Course comprises of 24 Topics. 51 Outcomes are taught in approx 21 hours.{/ifingroup}
