S.N,Subject Name,Password,University short name,Paper code,Group Name,University Subject Name,# Topics,# CLOs,CLO time,# PLOs,PLO Time,# GPSM,# GLOs,GLO Time,LABEL FORMULA,CLUSTER,VALUE
1,Engineering Mechanics (VEGCCEM201),v2lbt-mechanics,AKTU,KME402,AKTU_KME402,Engineering Mechanics,49,125,34,116,20,15,28,6,"{ifingroup AKTU_KME402}Course for 'KME402: Engineering Mechanics' paper of AKTU. Comprises 125 Outcomes within 49 Topics, taught over 34 hours.{/ifingroup}","{ifingroup AKTU_KME402}Course for 'KME402: Engineering Mechanics' paper of AKTU. Comprises 125 Outcomes within 49 Topics, taught over 34 hours.{/ifingroup}{ifingroup DBATU_ME202}Course for 'ME202: Engineering Mechanics' paper of DBATU. Comprises 78 Outcomes within 32 Topics, taught over 22 hours.{/ifingroup}{ifingroup GGSIPU_ETME-110}Course for 'ETME-110: Engineering Mechanics' paper of GGSIPU. Comprises 68 Outcomes within 27 Topics, taught over 19 hours.{/ifingroup}{ifingroup GTU_3132005}Course for '3132005: Engineering Mechanics' paper of GTU. Comprises 118 Outcomes within 46 Topics, taught over 34 hours.{/ifingroup}{ifingroup JCBUST_ESC-202}Course for 'ESC-202: Engineering Mechanics' paper of JCBUST. Comprises 79 Outcomes within 31 Topics, taught over 22 hours.{/ifingroup}{ifingroup MAKAUT_ES-AUE301}Course for 'ES-AUE301: Engineering Mechanics' paper of MAKAUT. Comprises 79 Outcomes within 31 Topics, taught over 22 hours.{/ifingroup}{ifingroup MAKAUT_ES-ME301}Course for 'ES-ME301: Engineering Mechanics' paper of MAKAUT. Comprises 79 Outcomes within 31 Topics, taught over 22 hours.{/ifingroup}{ifingroup MRSPTU_BMECE0-001}Course for 'BMECE0-001: Engineering Mechanics' paper of MRSPTU. Comprises 80 Outcomes within 32 Topics, taught over 23 hours.{/ifingroup}{ifingroup RTU_3ME3-04}Course for '3ME3-04: Engineering Mechanics' paper of RTU. Comprises 83 Outcomes within 33 Topics, taught over 23 hours.{/ifingroup}{ifingroup DBATU_BTBSC406}Course for 'BTBSC406: Numerical Methods and Computer Programming ' paper of DBATU. Comprises 70 Outcomes within 28 Topics, taught over 21 hours.{/ifingroup}{ifingroup DBATU_BTCOE405-A}Course for 'BTCOE405-A: Numerical Methods' paper of DBATU. Comprises 68 Outcomes within 27 Topics, taught over 21 hours.{/ifingroup}{ifingroup DBATU_BTCVE404A}Course for 'BTCVE404A: Numerical Methods in Engineering' paper of DBATU. Comprises 78 Outcomes within 33 Topics, taught over 25 hours.{/ifingroup}","{ifingroup AKTU_KME402}Course for 'KME402: Engineering Mechanics' paper of AKTU. Comprises 125 Outcomes within 49 Topics, taught over 34 hours.{/ifingroup}{ifingroup DBATU_ME202}Course for 'ME202: Engineering Mechanics' paper of DBATU. Comprises 78 Outcomes within 32 Topics, taught over 22 hours.{/ifingroup}{ifingroup GGSIPU_ETME-110}Course for 'ETME-110: Engineering Mechanics' paper of GGSIPU. Comprises 68 Outcomes within 27 Topics, taught over 19 hours.{/ifingroup}{ifingroup GTU_3132005}Course for '3132005: Engineering Mechanics' paper of GTU. Comprises 118 Outcomes within 46 Topics, taught over 34 hours.{/ifingroup}{ifingroup JCBUST_ESC-202}Course for 'ESC-202: Engineering Mechanics' paper of JCBUST. Comprises 79 Outcomes within 31 Topics, taught over 22 hours.{/ifingroup}{ifingroup MAKAUT_ES-AUE301}Course for 'ES-AUE301: Engineering Mechanics' paper of MAKAUT. Comprises 79 Outcomes within 31 Topics, taught over 22 hours.{/ifingroup}{ifingroup MAKAUT_ES-ME301}Course for 'ES-ME301: Engineering Mechanics' paper of MAKAUT. Comprises 79 Outcomes within 31 Topics, taught over 22 hours.{/ifingroup}{ifingroup MRSPTU_BMECE0-001}Course for 'BMECE0-001: Engineering Mechanics' paper of MRSPTU. Comprises 80 Outcomes within 32 Topics, taught over 23 hours.{/ifingroup}{ifingroup RTU_3ME3-04}Course for '3ME3-04: Engineering Mechanics' paper of RTU. Comprises 83 Outcomes within 33 Topics, taught over 23 hours.{/ifingroup}{ifingroup DBATU_BTBSC406}Course for 'BTBSC406: Numerical Methods and Computer Programming ' paper of DBATU. Comprises 70 Outcomes within 28 Topics, taught over 21 hours.{/ifingroup}{ifingroup DBATU_BTCOE405-A}Course for 'BTCOE405-A: Numerical Methods' paper of DBATU. Comprises 68 Outcomes within 27 Topics, taught over 21 hours.{/ifingroup}{ifingroup DBATU_BTCVE404A}Course for 'BTCVE404A: Numerical Methods in Engineering' paper of DBATU. Comprises 78 Outcomes within 33 Topics, taught over 25 hours.{/ifingroup}"
,,,DBATU,ME202,DBATU_ME202,Engineering Mechanics,32,78,22,81,15,9,13,3,"{ifingroup DBATU_ME202}Course for 'ME202: Engineering Mechanics' paper of DBATU. Comprises 78 Outcomes within 32 Topics, taught over 22 hours.{/ifingroup}",,
,,,GGSIPU,ETME-110,GGSIPU_ETME-110,Engineering Mechanics,27,68,19,67,12,10,15,4,"{ifingroup GGSIPU_ETME-110}Course for 'ETME-110: Engineering Mechanics' paper of GGSIPU. Comprises 68 Outcomes within 27 Topics, taught over 19 hours.{/ifingroup}",,
,,,GTU,3132005,GTU_3132005,Engineering Mechanics,46,118,34,104,20,17,35,6,"{ifingroup GTU_3132005}Course for '3132005: Engineering Mechanics' paper of GTU. Comprises 118 Outcomes within 46 Topics, taught over 34 hours.{/ifingroup}",,
,,,JCBUST,ESC-202,JCBUST_ESC-202,Engineering Mechanics,31,79,22,79,15,9,12,3,"{ifingroup JCBUST_ESC-202}Course for 'ESC-202: Engineering Mechanics' paper of JCBUST. Comprises 79 Outcomes within 31 Topics, taught over 22 hours.{/ifingroup}",,
,,,MAKAUT,ES-AUE301,MAKAUT_ES-AUE301,Engineering Mechanics,31,79,22,79,15,9,12,3,"{ifingroup MAKAUT_ES-AUE301}Course for 'ES-AUE301: Engineering Mechanics' paper of MAKAUT. Comprises 79 Outcomes within 31 Topics, taught over 22 hours.{/ifingroup}",,
,,,MAKAUT,ES-ME301,MAKAUT_ES-ME301,Engineering Mechanics,31,79,22,79,15,9,12,3,"{ifingroup MAKAUT_ES-ME301}Course for 'ES-ME301: Engineering Mechanics' paper of MAKAUT. Comprises 79 Outcomes within 31 Topics, taught over 22 hours.{/ifingroup}",,
,,,MRSPTU,BMECE0-001,MRSPTU_BMECE0-001,Engineering Mechanics,32,80,23,82,14,9,13,3,"{ifingroup MRSPTU_BMECE0-001}Course for 'BMECE0-001: Engineering Mechanics' paper of MRSPTU. Comprises 80 Outcomes within 32 Topics, taught over 23 hours.{/ifingroup}",,
,,,RTU,3AE3-04,RTU_3AE3-04,Engineering Mechanics,33,83,23,85,15,9,12,3,"{ifingroup RTU_3AE3-04}Course for '3AE3-04: Engineering Mechanics' paper of RTU. Comprises 83 Outcomes within 33 Topics, taught over 23 hours.{/ifingroup}",,
,,,RTU,3ME3-04,RTU_3ME3-04,Engineering Mechanics,33,83,23,85,15,9,12,3,"{ifingroup RTU_3ME3-04}Course for '3ME3-04: Engineering Mechanics' paper of RTU. Comprises 83 Outcomes within 33 Topics, taught over 23 hours.{/ifingroup}",,
