S.N,Subject Name,Password,University short name,Paper code,Group Name,University Subject Name,# Topics,# CLOs,CLO time,# PLOs,PLO Time,# GPSM,# GLOs,GLO Time,LABEL FORMULA,CLUSTER,VALUE
1,Surveying (VEGCESU),v2lbt-survey,AKTU,KCE302,AKTU_KCE302,Surveying & Geomatics,49,128,61,124,21,5,11,2,"{ifingroup AKTU_KCE302}Course for 'KCE302: Surveying & Geomatics' paper of AKTU. Comprises 128 Outcomes within 49 Topics, taught over 61 hours.{/ifingroup}","{ifingroup AKTU_KCE302}Course for 'KCE302: Surveying & Geomatics' paper of AKTU. Comprises 128 Outcomes within 49 Topics, taught over 61 hours.{/ifingroup}{ifingroup AKTU_RCE402}Course for 'RCE402: Geoinformatics' paper of AKTU. Comprises 37 Outcomes within 15 Topics, taught over 51 hours.{/ifingroup}{ifingroup DBATU_BTCVC304}Course for 'BTCVC304: Surveying-I' paper of DBATU. Comprises 106 Outcomes within 42 Topics, taught over 62 hours.{/ifingroup}{ifingroup DBATU_BTCVC402}Course for 'BTCVC402: Surveying-II' paper of DBATU. Comprises 90 Outcomes within 37 Topics, taught over 51 hours.{/ifingroup}{ifingroup GGSIPU_ETCE-208}Course for 'ETCE-208: Advance Surveying' paper of GGSIPU. Comprises 74 Outcomes within 34 Topics, taught over 53 hours.{/ifingroup}{ifingroup GGSIPU_ETCE-209}Course for 'ETCE-209: Surveying' paper of GGSIPU. Comprises 130 Outcomes within 50 Topics, taught over 67 hours.{/ifingroup}{ifingroup GGSIPU_ETEN-209}Course for 'ETEN-209: Surveying' paper of GGSIPU. Comprises 130 Outcomes within 50 Topics, taught over 68 hours.{/ifingroup}{ifingroup GTU_3330605}Course for '3330605: Surveying' paper of GTU. Comprises 80 Outcomes within 30 Topics, taught over 59 hours.{/ifingroup}{ifingroup GTU_3340602}Course for '3340602: Advance Surveying' paper of GTU. Comprises 64 Outcomes within 31 Topics, taught over 51 hours.{/ifingroup}{ifingroup IKGPTU_BTCE-401}Course for 'BTCE-401: Geomatics Engineering' paper of IKGPTU. Comprises 43 Outcomes within 17 Topics, taught over 52 hours.{/ifingroup}{ifingroup JCBUST_PCCCE206}Course for 'PCCCE206: Surveying & Geomatics' paper of JCBUST. Comprises 160 Outcomes within 62 Topics, taught over 66 hours.{/ifingroup}{ifingroup MAKAUT_ CE302}Course for 'CE302: Surveying' paper of MAKAUT. Comprises 120 Outcomes within 46 Topics, taught over 64 hours.{/ifingroup}{ifingroup MAKAUT_CE-PC-403}Course for 'CE-PC-403: Surveying & Geomatics' paper of MAKAUT. Comprises 114 Outcomes within 44 Topics, taught over 63 hours.{/ifingroup}{ifingroup MRSPTU_BCIES1-303}Course for 'BCIES1-303: Surveying' paper of MRSPTU. Comprises 117 Outcomes within 45 Topics, taught over 65 hours.{/ifingroup}{ifingroup MRSPTU_BCIES1-406}Course for 'BCIES1-406: Geomatic Engineering' paper of MRSPTU. Comprises 37 Outcomes within 14 Topics, taught over 52 hours.{/ifingroup}{ifingroup RGPV_CE303}Course for 'CE303: Surveying' paper of RGPV. Comprises 101 Outcomes within 37 Topics, taught over 62 hours.{/ifingroup}{ifingroup RTU_3CE4-05}Course for '3CE4-05: Surveying' paper of RTU. Comprises 104 Outcomes within 42 Topics, taught over 60 hours.{/ifingroup}","{ifingroup AKTU_KCE302}Course for 'KCE302: Surveying & Geomatics' paper of AKTU. Comprises 128 Outcomes within 49 Topics, taught over 61 hours.{/ifingroup}{ifingroup AKTU_RCE402}Course for 'RCE402: Geoinformatics' paper of AKTU. Comprises 37 Outcomes within 15 Topics, taught over 51 hours.{/ifingroup}{ifingroup DBATU_BTCVC304}Course for 'BTCVC304: Surveying-I' paper of DBATU. Comprises 106 Outcomes within 42 Topics, taught over 62 hours.{/ifingroup}{ifingroup DBATU_BTCVC402}Course for 'BTCVC402: Surveying-II' paper of DBATU. Comprises 90 Outcomes within 37 Topics, taught over 51 hours.{/ifingroup}{ifingroup GGSIPU_ETCE-208}Course for 'ETCE-208: Advance Surveying' paper of GGSIPU. Comprises 74 Outcomes within 34 Topics, taught over 53 hours.{/ifingroup}{ifingroup GGSIPU_ETCE-209}Course for 'ETCE-209: Surveying' paper of GGSIPU. Comprises 130 Outcomes within 50 Topics, taught over 67 hours.{/ifingroup}{ifingroup GGSIPU_ETEN-209}Course for 'ETEN-209: Surveying' paper of GGSIPU. Comprises 130 Outcomes within 50 Topics, taught over 68 hours.{/ifingroup}{ifingroup GTU_3330605}Course for '3330605: Surveying' paper of GTU. Comprises 80 Outcomes within 30 Topics, taught over 59 hours.{/ifingroup}{ifingroup GTU_3340602}Course for '3340602: Advance Surveying' paper of GTU. Comprises 64 Outcomes within 31 Topics, taught over 51 hours.{/ifingroup}{ifingroup IKGPTU_BTCE-401}Course for 'BTCE-401: Geomatics Engineering' paper of IKGPTU. Comprises 43 Outcomes within 17 Topics, taught over 52 hours.{/ifingroup}{ifingroup JCBUST_PCCCE206}Course for 'PCCCE206: Surveying & Geomatics' paper of JCBUST. Comprises 160 Outcomes within 62 Topics, taught over 66 hours.{/ifingroup}{ifingroup MAKAUT_ CE302}Course for 'CE302: Surveying' paper of MAKAUT. Comprises 120 Outcomes within 46 Topics, taught over 64 hours.{/ifingroup}{ifingroup MAKAUT_CE-PC-403}Course for 'CE-PC-403: Surveying & Geomatics' paper of MAKAUT. Comprises 114 Outcomes within 44 Topics, taught over 63 hours.{/ifingroup}{ifingroup MRSPTU_BCIES1-303}Course for 'BCIES1-303: Surveying' paper of MRSPTU. Comprises 117 Outcomes within 45 Topics, taught over 65 hours.{/ifingroup}{ifingroup MRSPTU_BCIES1-406}Course for 'BCIES1-406: Geomatic Engineering' paper of MRSPTU. Comprises 37 Outcomes within 14 Topics, taught over 52 hours.{/ifingroup}{ifingroup RGPV_CE303}Course for 'CE303: Surveying' paper of RGPV. Comprises 101 Outcomes within 37 Topics, taught over 62 hours.{/ifingroup}{ifingroup RTU_3CE4-05}Course for '3CE4-05: Surveying' paper of RTU. Comprises 104 Outcomes within 42 Topics, taught over 60 hours.{/ifingroup}"
,,,AKTU,RCE402,AKTU_RCE402,Geoinformatics,15,37,51,37,17,0,0,0,"{ifingroup AKTU_RCE402}Course for 'RCE402: Geoinformatics' paper of AKTU. Comprises 37 Outcomes within 15 Topics, taught over 51 hours.{/ifingroup}",,
,,,DBATU,BTCVC304,DBATU_BTCVC304,Surveying-I,42,106,62,102,21,3,7,1,"{ifingroup DBATU_BTCVC304}Course for 'BTCVC304: Surveying-I' paper of DBATU. Comprises 106 Outcomes within 42 Topics, taught over 62 hours.{/ifingroup}",,
,,,DBATU,BTCVC402,DBATU_BTCVC402,Surveying-II,37,90,51,88,17,2,4,1,"{ifingroup DBATU_BTCVC402}Course for 'BTCVC402: Surveying-II' paper of DBATU. Comprises 90 Outcomes within 37 Topics, taught over 51 hours.{/ifingroup}",,
,,,GGSIPU,ETCE-208,GGSIPU_ETCE-208,Advance Surveying,34,74,53,72,18,1,2,1,"{ifingroup GGSIPU_ETCE-208}Course for 'ETCE-208: Advance Surveying' paper of GGSIPU. Comprises 74 Outcomes within 34 Topics, taught over 53 hours.{/ifingroup}",,
,,,GGSIPU,ETCE-209,GGSIPU_ETCE-209,Surveying,50,130,67,124,27,5,11,2,"{ifingroup GGSIPU_ETCE-209}Course for 'ETCE-209: Surveying' paper of GGSIPU. Comprises 130 Outcomes within 50 Topics, taught over 67 hours.{/ifingroup}",,
,,,GGSIPU,ETEN-209,GGSIPU_ETEN-209,Surveying,50,130,68,124,28,5,11,2,"{ifingroup GGSIPU_ETEN-209}Course for 'ETEN-209: Surveying' paper of GGSIPU. Comprises 130 Outcomes within 50 Topics, taught over 68 hours.{/ifingroup}",,
,,,GTU,3330605,GTU_3330605,Surveying,30,80,59,78,19,3,7,1,"{ifingroup GTU_3330605}Course for '3330605: Surveying' paper of GTU. Comprises 80 Outcomes within 30 Topics, taught over 59 hours.{/ifingroup}",,
,,,GTU,3340602,GTU_3340602,Advance Surveying,31,64,51,60,17,3,6,1,"{ifingroup GTU_3340602}Course for '3340602: Advance Surveying' paper of GTU. Comprises 64 Outcomes within 31 Topics, taught over 51 hours.{/ifingroup}",,
,,,IKGPTU,BTCE301-18,IKGPTU_BTCE301-18,Surveying & Geomatics,45,117,64,113,24,5,11,2,"{ifingroup IKGPTU_BTCE301-18}Course for 'BTCE301-18: Surveying & Geomatics' paper of IKGPTU. Comprises 117 Outcomes within 45 Topics, taught over 64 hours.{/ifingroup}",,
