S.N,Subject Name,Password,University short name,Paper code,Group Name,University Subject Name,# Topics,# CLOs,CLO time,# PLOs,PLO Time,# GPSM,# GLOs,GLO Time,LABEL FORMULA,CLUSTER,VALUE
1,Data Structures (VEGCSDS),v2lbt-data,AKTU,KCS301,AKTU_KCS301,Data Structure,59,175,50,151,23,18,42,7,"{ifingroup AKTU_KCS301}Course for 'KCS301: Data Structure' paper of AKTU. Comprises 175 Outcomes within 59 Topics, taught over 50 hours.{/ifingroup}","{ifingroup AKTU_KCS301}Course for 'KCS301: Data Structure' paper of AKTU. Comprises 175 Outcomes within 59 Topics, taught over 50 hours.{/ifingroup}{ifingroup AKTU_RCS305}Course for 'RCS305: Data Structures' paper of AKTU. Comprises 179 Outcomes within 61 Topics, taught over 52 hours.{/ifingroup}{ifingroup DBATU_BTCOC303}Course for 'BTCOC303: Data Structures' paper of DBATU. Comprises 184 Outcomes within 59 Topics, taught over 53 hours.{/ifingroup}{ifingroup DBATU_BTITC402}Course for 'BTITC402: Data Structures and Applications' paper of DBATU. Comprises 163 Outcomes within 50 Topics, taught over 47 hours.{/ifingroup}{ifingroup GGSIPU_ETCS-209}Course for 'ETCS-209: Data Structure' paper of GGSIPU. Comprises 167 Outcomes within 54 Topics, taught over 50 hours.{/ifingroup}{ifingroup GTU_2130702}Course for '2130702: Data Structures' paper of GTU. Comprises 170 Outcomes within 56 Topics, taught over 49 hours.{/ifingroup}{ifingroup IKGPTU_BTCS301-18}Course for 'BTCS301-18: Data Structures and Algorithms' paper of IKGPTU. Comprises 160 Outcomes within 50 Topics, taught over 46 hours.{/ifingroup}{ifingroup IKGPTU_BTIT301-18}Course for 'BTIT301-18: Data Structures and Algorithms' paper of IKGPTU. Comprises 160 Outcomes within 50 Topics, taught over 46 hours.{/ifingroup}{ifingroup JCBUST_PCC-CS-302}Course for 'PCC-CS-302: Data Structures and Algorithms' paper of JCBUST. Comprises 160 Outcomes within 50 Topics, taught over 46 hours.{/ifingroup}{ifingroup MAKAUT_PC-CS301}Course for 'PC-CS301: Data Structures and Algorithms' paper of MAKAUT. Comprises 166 Outcomes within 53 Topics, taught over 50 hours.{/ifingroup}{ifingroup MRSPTU_BCSES1-302}Course for 'BCSES1-302: Data Structures and Algorithms' paper of MRSPTU. Comprises 169 Outcomes within 55 Topics, taught over 50 hours.{/ifingroup}{ifingroup MRSPTU_BITES1-302}Course for 'BITES1-302: Data Structures and Algorithms' paper of MRSPTU. Comprises 169 Outcomes within 55 Topics, taught over 50 hours.{/ifingroup}{ifingroup RGPV_CS302}Course for 'CS302: Data Structures' paper of RGPV. Comprises 183 Outcomes within 63 Topics, taught over 53 hours.{/ifingroup}{ifingroup RGPV_IT302}Course for 'IT302: Data Structures' paper of RGPV. Comprises 145 Outcomes within 50 Topics, taught over 42 hours.{/ifingroup}{ifingroup RTU_3CS4-05}Course for '3CS4-05: Data Structures and Algorithms' paper of RTU. Comprises 153 Outcomes within 49 Topics, taught over 44 hours.{/ifingroup}{ifingroup RTU_3IT4-05}Course for '3IT4-05: Data Structures and Algorithms' paper of RTU. Comprises 153 Outcomes within 49 Topics, taught over 44 hours.{/ifingroup}","{ifingroup AKTU_KCS301}Course for 'KCS301: Data Structure' paper of AKTU. Comprises 175 Outcomes within 59 Topics, taught over 50 hours.{/ifingroup}{ifingroup AKTU_RCS305}Course for 'RCS305: Data Structures' paper of AKTU. Comprises 179 Outcomes within 61 Topics, taught over 52 hours.{/ifingroup}{ifingroup DBATU_BTCOC303}Course for 'BTCOC303: Data Structures' paper of DBATU. Comprises 184 Outcomes within 59 Topics, taught over 53 hours.{/ifingroup}{ifingroup DBATU_BTITC402}Course for 'BTITC402: Data Structures and Applications' paper of DBATU. Comprises 163 Outcomes within 50 Topics, taught over 47 hours.{/ifingroup}{ifingroup GGSIPU_ETCS-209}Course for 'ETCS-209: Data Structure' paper of GGSIPU. Comprises 167 Outcomes within 54 Topics, taught over 50 hours.{/ifingroup}{ifingroup GTU_2130702}Course for '2130702: Data Structures' paper of GTU. Comprises 170 Outcomes within 56 Topics, taught over 49 hours.{/ifingroup}{ifingroup IKGPTU_BTCS301-18}Course for 'BTCS301-18: Data Structures and Algorithms' paper of IKGPTU. Comprises 160 Outcomes within 50 Topics, taught over 46 hours.{/ifingroup}{ifingroup IKGPTU_BTIT301-18}Course for 'BTIT301-18: Data Structures and Algorithms' paper of IKGPTU. Comprises 160 Outcomes within 50 Topics, taught over 46 hours.{/ifingroup}{ifingroup JCBUST_PCC-CS-302}Course for 'PCC-CS-302: Data Structures and Algorithms' paper of JCBUST. Comprises 160 Outcomes within 50 Topics, taught over 46 hours.{/ifingroup}{ifingroup MAKAUT_PC-CS301}Course for 'PC-CS301: Data Structures and Algorithms' paper of MAKAUT. Comprises 166 Outcomes within 53 Topics, taught over 50 hours.{/ifingroup}{ifingroup MRSPTU_BCSES1-302}Course for 'BCSES1-302: Data Structures and Algorithms' paper of MRSPTU. Comprises 169 Outcomes within 55 Topics, taught over 50 hours.{/ifingroup}{ifingroup MRSPTU_BITES1-302}Course for 'BITES1-302: Data Structures and Algorithms' paper of MRSPTU. Comprises 169 Outcomes within 55 Topics, taught over 50 hours.{/ifingroup}{ifingroup RGPV_CS302}Course for 'CS302: Data Structures' paper of RGPV. Comprises 183 Outcomes within 63 Topics, taught over 53 hours.{/ifingroup}{ifingroup RGPV_IT302}Course for 'IT302: Data Structures' paper of RGPV. Comprises 145 Outcomes within 50 Topics, taught over 42 hours.{/ifingroup}{ifingroup RTU_3CS4-05}Course for '3CS4-05: Data Structures and Algorithms' paper of RTU. Comprises 153 Outcomes within 49 Topics, taught over 44 hours.{/ifingroup}{ifingroup RTU_3IT4-05}Course for '3IT4-05: Data Structures and Algorithms' paper of RTU. Comprises 153 Outcomes within 49 Topics, taught over 44 hours.{/ifingroup}"
,,,AKTU,RCS305,AKTU_RCS305,Data Structures,61,179,52,155,24,18,42,7,"{ifingroup AKTU_RCS305}Course for 'RCS305: Data Structures' paper of AKTU. Comprises 179 Outcomes within 61 Topics, taught over 52 hours.{/ifingroup}",,
,,,DBATU,BTCOC303,DBATU_BTCOC303,Data Structures,59,184,53,160,24,17,41,7,"{ifingroup DBATU_BTCOC303}Course for 'BTCOC303: Data Structures' paper of DBATU. Comprises 184 Outcomes within 59 Topics, taught over 53 hours.{/ifingroup}",,
,,,DBATU,BTITC402,DBATU_BTITC402,Data Structures and Applications,50,163,47,140,21,15,37,6,"{ifingroup DBATU_BTITC402}Course for 'BTITC402: Data Structures and Applications' paper of DBATU. Comprises 163 Outcomes within 50 Topics, taught over 47 hours.{/ifingroup}",,
,,,GGSIPU,ETCS-209,GGSIPU_ETCS-209,Data Structure,54,167,50,144,22,16,39,7,"{ifingroup GGSIPU_ETCS-209}Course for 'ETCS-209: Data Structure' paper of GGSIPU. Comprises 167 Outcomes within 54 Topics, taught over 50 hours.{/ifingroup}",,
,,,GTU,2130702,GTU_2130702,Data Structures,56,170,49,150,22,16,38,6,"{ifingroup GTU_2130702}Course for '2130702: Data Structures' paper of GTU. Comprises 170 Outcomes within 56 Topics, taught over 49 hours.{/ifingroup}",,
,,,IKGPTU,BTCS301-18,IKGPTU_BTCS301-18,Data Structures and Algorithms,50,160,46,138,21,15,37,6,"{ifingroup IKGPTU_BTCS301-18}Course for 'BTCS301-18: Data Structures and Algorithms' paper of IKGPTU. Comprises 160 Outcomes within 50 Topics, taught over 46 hours.{/ifingroup}",,
,,,IKGPTU,BTIT301-18,IKGPTU_BTIT301-18,Data Structures and Algorithms,50,160,46,138,21,15,37,6,"{ifingroup IKGPTU_BTIT301-18}Course for 'BTIT301-18: Data Structures and Algorithms' paper of IKGPTU. Comprises 160 Outcomes within 50 Topics, taught over 46 hours.{/ifingroup}",,
,,,JCBUST,PCC-CS-302,JCBUST_PCC-CS-302,Data Structures and Algorithms,50,160,46,138,21,15,37,6,"{ifingroup JCBUST_PCC-CS-302}Course for 'PCC-CS-302: Data Structures and Algorithms' paper of JCBUST. Comprises 160 Outcomes within 50 Topics, taught over 46 hours.{/ifingroup}",,
,,,MAKAUT,PC-CS301,MAKAUT_PC-CS301,Data Structures and Algorithms,53,166,50,144,22,16,38,7,"{ifingroup MAKAUT_PC-CS301}Course for 'PC-CS301: Data Structures and Algorithms' paper of MAKAUT. Comprises 166 Outcomes within 53 Topics, taught over 50 hours.{/ifingroup}",,
