S.N,Subject Name,Password,University short name,Paper code,Group Name,University Subject Name,# Topics,# CLOs,CLO time,# PLOs,PLO Time,# GPSM,# GLOs,GLO Time,LABEL FORMULA,CLUSTER,VALUE
1,Analog Circuits (VEGECAC),v2lbt-analog,AKTU,KEC402,AKTU_KEC402,Analog Circuits,56,131,39,136,20,14,40,6,"{ifingroup AKTU_KEC402}Course for 'KEC402: Analog Circuits' paper of AKTU. Comprises 131 Outcomes within 56 Topics, taught over 39 hours.{/ifingroup}","{ifingroup AKTU_KEC402}Course for 'KEC402: Analog Circuits' paper of AKTU. Comprises 131 Outcomes within 56 Topics, taught over 39 hours.{/ifingroup}{ifingroup DBATU_BTEXC302}Course for 'BTEXC302: Analog Circuits' paper of DBATU. Comprises 80 Outcomes within 31 Topics, taught over 19 hours.{/ifingroup}{ifingroup DBATU_BTINC-304}Course for 'BTINC-304: Analog Electronics' paper of DBATU. Comprises 118 Outcomes within 55 Topics, taught over 31 hours.{/ifingroup}{ifingroup GGSIPU_ETEC-203}Course for 'ETEC-203: Analog Electronics-I' paper of GGSIPU. Comprises 155 Outcomes within 66 Topics, taught over 46 hours.{/ifingroup}{ifingroup GGSIPU_ETEC-204}Course for 'ETEC-204: Analog Electronics-II' paper of GGSIPU. Comprises 63 Outcomes within 30 Topics, taught over 16 hours.{/ifingroup}{ifingroup GGSIPU_ETEL-203}Course for 'ETEL-203: Analog Electronics' paper of GGSIPU. Comprises 172 Outcomes within 73 Topics, taught over 50 hours.{/ifingroup}{ifingroup GTU_3141002}Course for '3141002: Analog Circuit Design' paper of GTU. Comprises 125 Outcomes within 52 Topics, taught over 29 hours.{/ifingroup}{ifingroup GTU_3141002}Course for '3141002: Analog Circuit Design' paper of GTU. Comprises 125 Outcomes within 52 Topics, taught over 29 hours.{/ifingroup}{ifingroup IKGPTU_BTEC-401-18}Course for 'BTEC-401-18: Analog Circuits' paper of IKGPTU. Comprises 118 Outcomes within 51 Topics, taught over 34 hours.{/ifingroup}{ifingroup IKGPTU_BTEEE-302-18}Course for 'BTEEE-302-18: Analog Electronics' paper of IKGPTU. Comprises 139 Outcomes within 61 Topics, taught over 45 hours.{/ifingroup}{ifingroup JCBUST_EC-402}Course for 'EC-402: Analog Circuits' paper of JCBUST. Comprises 149 Outcomes within 61 Topics, taught over 46 hours.{/ifingroup}{ifingroup JCBUST_ELPC302}Course for 'ELPC302: Analog Electronic Circuit' paper of JCBUST. Comprises 156 Outcomes within 69 Topics, taught over 51 hours.{/ifingroup}{ifingroup JCBUST_ESC-301}Course for 'ESC-301: Analog Electronic Circuit' paper of JCBUST. Comprises 156 Outcomes within 69 Topics, taught over 51 hours.{/ifingroup}{ifingroup MAKAUT_EC402}Course for 'EC402: Analog circuits' paper of MAKAUT. Comprises 152 Outcomes within 62 Topics, taught over 46 hours.{/ifingroup}{ifingroup MAKAUT_PC-EI303}Course for 'PC-EI303: Analog Integrated Circuits' paper of MAKAUT. Comprises 195 Outcomes within 78 Topics, taught over 53 hours.{/ifingroup}{ifingroup MAKAUT_PC-IC302}Course for 'PC-IC302: Analog Integrated Circuits' paper of MAKAUT. Comprises 180 Outcomes within 77 Topics, taught over 58 hours.{/ifingroup}{ifingroup MAKAUT_PC-EE-302}Course for 'PC-EE-302: Analog Electronics' paper of MAKAUT. Comprises 186 Outcomes within 75 Topics, taught over 51 hours.{/ifingroup}{ifingroup MRSPTU_BECE2-516}Course for 'BECE2-516: Linear Integrated Circuits' paper of MRSPTU. Comprises 78 Outcomes within 37 Topics, taught over 17 hours.{/ifingroup}{ifingroup MRSPTU_BECE3-517}Course for 'BECE3-517: Linear Integrated Circuits' paper of MRSPTU. Comprises 78 Outcomes within 37 Topics, taught over 17 hours.{/ifingroup}{ifingroup MRSPTU_BEEES1-402}Course for 'BEEES1-402: Analog Electronic Circuits' paper of MRSPTU. Comprises 107 Outcomes within 39 Topics, taught over 28 hours.{/ifingroup}{ifingroup MRSPTU_BECES1-402}Course for 'BECES1-402: Analog Electronic Circuits' paper of MRSPTU. Comprises 107 Outcomes within 39 Topics, taught over 28 hours.{/ifingroup}{ifingroup MRSPTU_BELES1-302}Course for 'BELES1-302: Analog Electronic Circuits' paper of MRSPTU. Comprises 190 Outcomes within 83 Topics, taught over 60 hours.{/ifingroup}{ifingroup RGPV_EC405}Course for 'EC405: Analog Circuits' paper of RGPV. Comprises 82 Outcomes within 40 Topics, taught over 19 hours.{/ifingroup}{ifingroup RGPV_EI402}Course for 'EI402: Analog Electronics' paper of RGPV. Comprises 146 Outcomes within 62 Topics, taught over 36 hours.{/ifingroup}{ifingroup RGPV_EE304}Course for 'EE304: Analog Electronics' paper of RGPV. Comprises 213 Outcomes within 85 Topics, taught over 60 hours.{/ifingroup}{ifingroup RTU_4EC4-04}Course for '4EC4-04: Analog Circuits' paper of RTU. Comprises 151 Outcomes within 63 Topics, taught over 47 hours.{/ifingroup}{ifingroup RTU_4EI4-04}Course for '4EI4-04: Analog Circuits' paper of RTU. Comprises 151 Outcomes within 63 Topics, taught over 47 hours.{/ifingroup}{ifingroup RTU_3EE4-06}Course for '3EE4-06: Analog Electronics' paper of RTU. Comprises 156 Outcomes within 69 Topics, taught over 51 hours.{/ifingroup}{ifingroup RTU_3EX4-06}Course for '3EX4-06: Analog Electronics' paper of RTU. Comprises 156 Outcomes within 69 Topics, taught over 51 hours.{/ifingroup}","{ifingroup AKTU_KEC402}Course for 'KEC402: Analog Circuits' paper of AKTU. Comprises 131 Outcomes within 56 Topics, taught over 39 hours.{/ifingroup}{ifingroup DBATU_BTEXC302}Course for 'BTEXC302: Analog Circuits' paper of DBATU. Comprises 80 Outcomes within 31 Topics, taught over 19 hours.{/ifingroup}{ifingroup DBATU_BTINC-304}Course for 'BTINC-304: Analog Electronics' paper of DBATU. Comprises 118 Outcomes within 55 Topics, taught over 31 hours.{/ifingroup}{ifingroup GGSIPU_ETEC-203}Course for 'ETEC-203: Analog Electronics-I' paper of GGSIPU. Comprises 155 Outcomes within 66 Topics, taught over 46 hours.{/ifingroup}{ifingroup GGSIPU_ETEC-204}Course for 'ETEC-204: Analog Electronics-II' paper of GGSIPU. Comprises 63 Outcomes within 30 Topics, taught over 16 hours.{/ifingroup}{ifingroup GGSIPU_ETEL-203}Course for 'ETEL-203: Analog Electronics' paper of GGSIPU. Comprises 172 Outcomes within 73 Topics, taught over 50 hours.{/ifingroup}{ifingroup GTU_3141002}Course for '3141002: Analog Circuit Design' paper of GTU. Comprises 125 Outcomes within 52 Topics, taught over 29 hours.{/ifingroup}{ifingroup GTU_3141002}Course for '3141002: Analog Circuit Design' paper of GTU. Comprises 125 Outcomes within 52 Topics, taught over 29 hours.{/ifingroup}{ifingroup IKGPTU_BTEC-401-18}Course for 'BTEC-401-18: Analog Circuits' paper of IKGPTU. Comprises 118 Outcomes within 51 Topics, taught over 34 hours.{/ifingroup}{ifingroup IKGPTU_BTEEE-302-18}Course for 'BTEEE-302-18: Analog Electronics' paper of IKGPTU. Comprises 139 Outcomes within 61 Topics, taught over 45 hours.{/ifingroup}{ifingroup JCBUST_EC-402}Course for 'EC-402: Analog Circuits' paper of JCBUST. Comprises 149 Outcomes within 61 Topics, taught over 46 hours.{/ifingroup}{ifingroup JCBUST_ELPC302}Course for 'ELPC302: Analog Electronic Circuit' paper of JCBUST. Comprises 156 Outcomes within 69 Topics, taught over 51 hours.{/ifingroup}{ifingroup JCBUST_ESC-301}Course for 'ESC-301: Analog Electronic Circuit' paper of JCBUST. Comprises 156 Outcomes within 69 Topics, taught over 51 hours.{/ifingroup}{ifingroup MAKAUT_EC402}Course for 'EC402: Analog circuits' paper of MAKAUT. Comprises 152 Outcomes within 62 Topics, taught over 46 hours.{/ifingroup}{ifingroup MAKAUT_PC-EI303}Course for 'PC-EI303: Analog Integrated Circuits' paper of MAKAUT. Comprises 195 Outcomes within 78 Topics, taught over 53 hours.{/ifingroup}{ifingroup MAKAUT_PC-IC302}Course for 'PC-IC302: Analog Integrated Circuits' paper of MAKAUT. Comprises 180 Outcomes within 77 Topics, taught over 58 hours.{/ifingroup}{ifingroup MAKAUT_PC-EE-302}Course for 'PC-EE-302: Analog Electronics' paper of MAKAUT. Comprises 186 Outcomes within 75 Topics, taught over 51 hours.{/ifingroup}{ifingroup MRSPTU_BECE2-516}Course for 'BECE2-516: Linear Integrated Circuits' paper of MRSPTU. Comprises 78 Outcomes within 37 Topics, taught over 17 hours.{/ifingroup}{ifingroup MRSPTU_BECE3-517}Course for 'BECE3-517: Linear Integrated Circuits' paper of MRSPTU. Comprises 78 Outcomes within 37 Topics, taught over 17 hours.{/ifingroup}{ifingroup MRSPTU_BEEES1-402}Course for 'BEEES1-402: Analog Electronic Circuits' paper of MRSPTU. Comprises 107 Outcomes within 39 Topics, taught over 28 hours.{/ifingroup}{ifingroup MRSPTU_BECES1-402}Course for 'BECES1-402: Analog Electronic Circuits' paper of MRSPTU. Comprises 107 Outcomes within 39 Topics, taught over 28 hours.{/ifingroup}{ifingroup MRSPTU_BELES1-302}Course for 'BELES1-302: Analog Electronic Circuits' paper of MRSPTU. Comprises 190 Outcomes within 83 Topics, taught over 60 hours.{/ifingroup}{ifingroup RGPV_EC405}Course for 'EC405: Analog Circuits' paper of RGPV. Comprises 82 Outcomes within 40 Topics, taught over 19 hours.{/ifingroup}{ifingroup RGPV_EI402}Course for 'EI402: Analog Electronics' paper of RGPV. Comprises 146 Outcomes within 62 Topics, taught over 36 hours.{/ifingroup}{ifingroup RGPV_EE304}Course for 'EE304: Analog Electronics' paper of RGPV. Comprises 213 Outcomes within 85 Topics, taught over 60 hours.{/ifingroup}{ifingroup RTU_4EC4-04}Course for '4EC4-04: Analog Circuits' paper of RTU. Comprises 151 Outcomes within 63 Topics, taught over 47 hours.{/ifingroup}{ifingroup RTU_4EI4-04}Course for '4EI4-04: Analog Circuits' paper of RTU. Comprises 151 Outcomes within 63 Topics, taught over 47 hours.{/ifingroup}{ifingroup RTU_3EE4-06}Course for '3EE4-06: Analog Electronics' paper of RTU. Comprises 156 Outcomes within 69 Topics, taught over 51 hours.{/ifingroup}{ifingroup RTU_3EX4-06}Course for '3EX4-06: Analog Electronics' paper of RTU. Comprises 156 Outcomes within 69 Topics, taught over 51 hours.{/ifingroup}"
,,,DBATU,BTEXC302,DBATU_BTEXC302,Analog Circuits,31,80,19,77,7,9,26,3,"{ifingroup DBATU_BTEXC302}Course for 'BTEXC302: Analog Circuits' paper of DBATU. Comprises 80 Outcomes within 31 Topics, taught over 19 hours.{/ifingroup}",,
,,,DBATU,BTINC-304,DBATU_BTINC-304,Analog Electronics,55,118,31,116,13,13,40,6,"{ifingroup DBATU_BTINC-304}Course for 'BTINC-304: Analog Electronics' paper of DBATU. Comprises 118 Outcomes within 55 Topics, taught over 31 hours.{/ifingroup}",,
,,,GGSIPU,ETEC-203,GGSIPU_ETEC-203,Analog Electronics-I,66,155,46,160,19,14,40,7,"{ifingroup GGSIPU_ETEC-203}Course for 'ETEC-203: Analog Electronics-I' paper of GGSIPU. Comprises 155 Outcomes within 66 Topics, taught over 46 hours.{/ifingroup}",,
,,,GGSIPU,ETEC-204,GGSIPU_ETEC-204,Analog Electronics-II,30,63,16,60,7,7,21,2,"{ifingroup GGSIPU_ETEC-204}Course for 'ETEC-204: Analog Electronics-II' paper of GGSIPU. Comprises 63 Outcomes within 30 Topics, taught over 16 hours.{/ifingroup}",,
,,,GGSIPU,ETEL-203,GGSIPU_ETEL-203,Analog Electronics,73,172,50,177,21,17,49,7,"{ifingroup GGSIPU_ETEL-203}Course for 'ETEL-203: Analog Electronics' paper of GGSIPU. Comprises 172 Outcomes within 73 Topics, taught over 50 hours.{/ifingroup}",,
,,,GTU,3141002,GTU_3141002,Analog Circuit Design,52,125,29,116,13,13,36,5,"{ifingroup GTU_3141002}Course for '3141002: Analog Circuit Design' paper of GTU. Comprises 125 Outcomes within 52 Topics, taught over 29 hours.{/ifingroup}",,
,,,IKGPTU,BTEC-401-18,IKGPTU_BTEC-401-18,Analog Circuits,51,118,34,125,18,12,31,5,"{ifingroup IKGPTU_BTEC-401-18}Course for 'BTEC-401-18: Analog Circuits' paper of IKGPTU. Comprises 118 Outcomes within 51 Topics, taught over 34 hours.{/ifingroup}",,
,,,IKGPTU,BTEEE-302-18,IKGPTU_BTEEE-302-18,Analog Electronics,61,139,45,148,21,15,49,7,"{ifingroup IKGPTU_BTEEE-302-18}Course for 'BTEEE-302-18: Analog Electronics' paper of IKGPTU. Comprises 139 Outcomes within 61 Topics, taught over 45 hours.{/ifingroup}",,
,,,JCBUST,EC-402,JCBUST_EC-402,Analog Circuits,61,149,46,150,21,17,47,7,"{ifingroup JCBUST_EC-402}Course for 'EC-402: Analog Circuits' paper of JCBUST. Comprises 149 Outcomes within 61 Topics, taught over 46 hours.{/ifingroup}",,
,,,JCBUST,ELPC302,JCBUST_ELPC302,Analog Electronic Circuit,69,156,51,169,24,17,56,8,"{ifingroup JCBUST_ELPC302}Course for 'ELPC302: Analog Electronic Circuit' paper of JCBUST. Comprises 156 Outcomes within 69 Topics, taught over 51 hours.{/ifingroup}",,
,,,JCBUST,ESC-301,JCBUST_ESC-301,Analog Electronic Circuit,69,156,51,169,24,17,56,8,"{ifingroup JCBUST_ESC-301}Course for 'ESC-301: Analog Electronic Circuit' paper of JCBUST. Comprises 156 Outcomes within 69 Topics, taught over 51 hours.{/ifingroup}",,
,,,MAKAUT,EC402,MAKAUT_EC402,Analog circuits,62,152,46,153,21,16,45,6,"{ifingroup MAKAUT_EC402}Course for 'EC402: Analog circuits' paper of MAKAUT. Comprises 152 Outcomes within 62 Topics, taught over 46 hours.{/ifingroup}",,
