S.N,Subject Name,Password,University short name,Paper code,Group Name,University Subject Name,# Topics,# CLOs,CLO time,# PLOs,PLO Time,# GPSM,# GLOs,GLO Time,LABEL FORMULA,CLUSTER,VALUE
1,Fluid Mechanics (VEGMEFM),v2lbt-fluid,AKTU,KCE303,AKTU_KCE303,Fluid Mechanics ,53,160,59,122,24,20,64,6,"{ifingroup AKTU_KCE303}Course for 'KCE303: Fluid Mechanics ' paper of AKTU. Comprises 160 Outcomes within 53 Topics, taught over 59 hours.{/ifingroup}","{ifingroup AKTU_KCE303}Course for 'KCE303: Fluid Mechanics ' paper of AKTU. Comprises 160 Outcomes within 53 Topics, taught over 59 hours.{/ifingroup}{ifingroup AKTU_KME302}Course for 'KME302: Fluid Mechanics & Fluid Machines' paper of AKTU. Comprises 167 Outcomes within 54 Topics, taught over 56 hours.{/ifingroup}{ifingroup DBATU_BTAMC303}Course for 'BTAMC303: Fluid Mechanics and Machines' paper of DBATU. Comprises 156 Outcomes within 57 Topics, taught over 58 hours.{/ifingroup}{ifingroup DBATU_BTCVC303}Course for 'BTCVC303: Hydraulics-I' paper of DBATU. Comprises 149 Outcomes within 56 Topics, taught over 60 hours.{/ifingroup}{ifingroup DBATU_BTMEC303}Course for 'BTMEC303: Fluid Mechanics ' paper of DBATU. Comprises 153 Outcomes within 51 Topics, taught over 57 hours.{/ifingroup}{ifingroup GGSIPU_ETCE-205}Course for 'ETCE-205: Fluid Mechanics ' paper of GGSIPU. Comprises 118 Outcomes within 39 Topics, taught over 64 hours.{/ifingroup}{ifingroup GGSIPU_ETME-201}Course for 'ETME-201: Fluid Mechanics ' paper of GGSIPU. Comprises 150 Outcomes within 53 Topics, taught over 67 hours.{/ifingroup}{ifingroup GGSIPU_ETME-212}Course for 'ETME-212: Fluid Mechanics ' paper of GGSIPU. Comprises 150 Outcomes within 53 Topics, taught over 67 hours.{/ifingroup}{ifingroup GTU_2130101}Course for '2130101: Fundamentals of Fluid Mechanics ' paper of GTU. Comprises 131 Outcomes within 47 Topics, taught over 49 hours.{/ifingroup}{ifingroup GTU_2130602}Course for '2130602: Fluid Mechanics ' paper of GTU. Comprises 100 Outcomes within 33 Topics, taught over 58 hours.{/ifingroup}{ifingroup GTU_2141906}Course for '2141906: Fluid Mechanics ' paper of GTU. Comprises 141 Outcomes within 50 Topics, taught over 51 hours.{/ifingroup}{ifingroup GTU_2152003}Course for '2152003: Fluid Mechanics and Machines' paper of GTU. Comprises 161 Outcomes within 56 Topics, taught over 52 hours.{/ifingroup}{ifingroup GTU_2152003}Course for '2152003: Fluid Mechanics and Machines' paper of GTU. Comprises 161 Outcomes within 56 Topics, taught over 52 hours.{/ifingroup}{ifingroup GTU_3331903}Course for '3331903: Fluid Mechanics and Hydraulic Machines' paper of GTU. Comprises 106 Outcomes within 36 Topics, taught over 50 hours.{/ifingroup}{ifingroup IKGPTU_BTAE303-18}Course for 'BTAE303-18: Fluid Mechanics ' paper of IKGPTU. Comprises 110 Outcomes within 39 Topics, taught over 62 hours.{/ifingroup}{ifingroup IKGPTU_BTANE302-18}Course for 'BTANE302-18: Fluid Mechanics ' paper of IKGPTU. Comprises 134 Outcomes within 45 Topics, taught over 61 hours.{/ifingroup}{ifingroup IKGPTU_BTASE304-18}Course for 'BTASE304-18: Fluid Mechanics ' paper of IKGPTU. Comprises 134 Outcomes within 45 Topics, taught over 61 hours.{/ifingroup}{ifingroup IKGPTU_BTCE303-18}Course for 'BTCE303-18: Fluid Mechanics ' paper of IKGPTU. Comprises 127 Outcomes within 41 Topics, taught over 62 hours.{/ifingroup}{ifingroup IKGPTU_BTME301-18}Course for 'BTME301-18: Fluid Mechanics ' paper of IKGPTU. Comprises 134 Outcomes within 45 Topics, taught over 61 hours.{/ifingroup}{ifingroup IKGPTU_BTME-403}Course for 'BTME-403: Fluid Mechanics ' paper of IKGPTU. Comprises 134 Outcomes within 45 Topics, taught over 61 hours.{/ifingroup}{ifingroup JCBUST_PCC-AE-205}Course for 'PCC-AE-205: Fluid Mechanics and Fluid Machines ' paper of JCBUST. Comprises 144 Outcomes within 49 Topics, taught over 66 hours.{/ifingroup}{ifingroup JCBUST_PCCCE204}Course for 'PCCCE204: Introduction to Fluid Mechanics' paper of JCBUST. Comprises 109 Outcomes within 36 Topics, taught over 63 hours.{/ifingroup}{ifingroup JCBUST_PCC-MAE-205}Course for 'PCC-MAE-205: Fluid Mechanics and Fluid Machines ' paper of JCBUST. Comprises 144 Outcomes within 49 Topics, taught over 66 hours.{/ifingroup}{ifingroup MAKAUT_CE-ES-401}Course for 'CE-ES-401: Introduction to Fluid Mechanics' paper of MAKAUT. Comprises 121 Outcomes within 46 Topics, taught over 61 hours.{/ifingroup}{ifingroup MAKAUT_ME-401}Course for 'ME-401: Fluid Mechanics & Hydraulic Machines ' paper of MAKAUT. Comprises 162 Outcomes within 56 Topics, taught over 60 hours.{/ifingroup}{ifingroup MAKAUT_PC-AUE402}Course for 'PC-AUE402: Fluid Mechanics & Hydraulic Machines ' paper of MAKAUT. Comprises 142 Outcomes within 46 Topics, taught over 59 hours.{/ifingroup}{ifingroup MAKAUT_PC-ME402}Course for 'PC-ME402: Fluid Mechanics & Hydraulic Machines ' paper of MAKAUT. Comprises 142 Outcomes within 46 Topics, taught over 59 hours.{/ifingroup}{ifingroup MRSPTU_BAEE2-301}Course for 'BAEE2-301: Fluid Mechanics ' paper of MRSPTU. Comprises 160 Outcomes within 53 Topics, taught over 64 hours.{/ifingroup}{ifingroup MRSPTU_BCIE3-413}Course for 'BCIE3-413: Fluid Mechanics ' paper of MRSPTU. Comprises 132 Outcomes within 46 Topics, taught over 63 hours.{/ifingroup}{ifingroup MRSPTU_BCIES1-404}Course for 'BCIES1-404: Introduction to Fluid Mechanics' paper of MRSPTU. Comprises 130 Outcomes within 47 Topics, taught over 63 hours.{/ifingroup}{ifingroup MRSPTU_BMECS1-302}Course for 'BMECS1-302: Fluid Mechanics ' paper of MRSPTU. Comprises 132 Outcomes within 46 Topics, taught over 63 hours.{/ifingroup}{ifingroup MRSPTU_BMEE3-413}Course for 'BMEE3-413: Fluid Mecahnics and Machinery' paper of MRSPTU. Comprises 132 Outcomes within 46 Topics, taught over 63 hours.{/ifingroup}{ifingroup MRSPTU_BMEE4-413}Course for 'BMEE4-413: Fluid Mechanics ' paper of MRSPTU. Comprises 135 Outcomes within 46 Topics, taught over 65 hours.{/ifingroup}{ifingroup RGPV_AU404}Course for 'AU404: Fluid Mechanics ' paper of RGPV. Comprises 142 Outcomes within 48 Topics, taught over 58 hours.{/ifingroup}{ifingroup RGPV_CE501}Course for 'CE501: Fluid Mechanics-I' paper of RGPV. Comprises 122 Outcomes within 41 Topics, taught over 61 hours.{/ifingroup}{ifingroup RGPV_IP404}Course for 'IP404: Fluid Mechanics ' paper of RGPV. Comprises 142 Outcomes within 48 Topics, taught over 58 hours.{/ifingroup}{ifingroup RGPV_ME404}Course for 'ME404: Fluid Mechanics ' paper of RGPV. Comprises 142 Outcomes within 48 Topics, taught over 58 hours.{/ifingroup}{ifingroup RTU_3AN4-04}Course for '3AN4-04: Incompressible Fluid Mechanics ' paper of RTU. Comprises 140 Outcomes within 46 Topics, taught over 52 hours.{/ifingroup}{ifingroup RTU_3CE4-06}Course for '3CE4-06: Fluid Mechanics ' paper of RTU. Comprises 105 Outcomes within 34 Topics, taught over 58 hours.{/ifingroup}{ifingroup RTU_4AE4-05}Course for '4AE4-05: Fluid Mechanics and Fluid Machines' paper of RTU. Comprises 159 Outcomes within 56 Topics, taught over 53 hours.{/ifingroup}{ifingroup RTU_4ME4-05}Course for '4ME4-05: Fluid Mechanics and Fluid Machines' paper of RTU. Comprises 159 Outcomes within 56 Topics, taught over 53 hours.{/ifingroup}{ifingroup RTU_4MH4-05}Course for '4MH4-05: Fluid Mechanics ' paper of RTU. Comprises 160 Outcomes within 53 Topics, taught over 55 hours.{/ifingroup}{ifingroup RTU_4MI3-04}Course for '4MI3-04: Fluid Mechanics ' paper of RTU. Comprises 159 Outcomes within 56 Topics, taught over 53 hours.{/ifingroup}","{ifingroup AKTU_KCE303}Course for 'KCE303: Fluid Mechanics ' paper of AKTU. Comprises 160 Outcomes within 53 Topics, taught over 59 hours.{/ifingroup}{ifingroup AKTU_KME302}Course for 'KME302: Fluid Mechanics & Fluid Machines' paper of AKTU. Comprises 167 Outcomes within 54 Topics, taught over 56 hours.{/ifingroup}{ifingroup DBATU_BTAMC303}Course for 'BTAMC303: Fluid Mechanics and Machines' paper of DBATU. Comprises 156 Outcomes within 57 Topics, taught over 58 hours.{/ifingroup}{ifingroup DBATU_BTCVC303}Course for 'BTCVC303: Hydraulics-I' paper of DBATU. Comprises 149 Outcomes within 56 Topics, taught over 60 hours.{/ifingroup}{ifingroup DBATU_BTMEC303}Course for 'BTMEC303: Fluid Mechanics ' paper of DBATU. Comprises 153 Outcomes within 51 Topics, taught over 57 hours.{/ifingroup}{ifingroup GGSIPU_ETCE-205}Course for 'ETCE-205: Fluid Mechanics ' paper of GGSIPU. Comprises 118 Outcomes within 39 Topics, taught over 64 hours.{/ifingroup}{ifingroup GGSIPU_ETME-201}Course for 'ETME-201: Fluid Mechanics ' paper of GGSIPU. Comprises 150 Outcomes within 53 Topics, taught over 67 hours.{/ifingroup}{ifingroup GGSIPU_ETME-212}Course for 'ETME-212: Fluid Mechanics ' paper of GGSIPU. Comprises 150 Outcomes within 53 Topics, taught over 67 hours.{/ifingroup}{ifingroup GTU_2130101}Course for '2130101: Fundamentals of Fluid Mechanics ' paper of GTU. Comprises 131 Outcomes within 47 Topics, taught over 49 hours.{/ifingroup}{ifingroup GTU_2130602}Course for '2130602: Fluid Mechanics ' paper of GTU. Comprises 100 Outcomes within 33 Topics, taught over 58 hours.{/ifingroup}{ifingroup GTU_2141906}Course for '2141906: Fluid Mechanics ' paper of GTU. Comprises 141 Outcomes within 50 Topics, taught over 51 hours.{/ifingroup}{ifingroup GTU_2152003}Course for '2152003: Fluid Mechanics and Machines' paper of GTU. Comprises 161 Outcomes within 56 Topics, taught over 52 hours.{/ifingroup}{ifingroup GTU_2152003}Course for '2152003: Fluid Mechanics and Machines' paper of GTU. Comprises 161 Outcomes within 56 Topics, taught over 52 hours.{/ifingroup}{ifingroup GTU_3331903}Course for '3331903: Fluid Mechanics and Hydraulic Machines' paper of GTU. Comprises 106 Outcomes within 36 Topics, taught over 50 hours.{/ifingroup}{ifingroup IKGPTU_BTAE303-18}Course for 'BTAE303-18: Fluid Mechanics ' paper of IKGPTU. Comprises 110 Outcomes within 39 Topics, taught over 62 hours.{/ifingroup}{ifingroup IKGPTU_BTANE302-18}Course for 'BTANE302-18: Fluid Mechanics ' paper of IKGPTU. Comprises 134 Outcomes within 45 Topics, taught over 61 hours.{/ifingroup}{ifingroup IKGPTU_BTASE304-18}Course for 'BTASE304-18: Fluid Mechanics ' paper of IKGPTU. Comprises 134 Outcomes within 45 Topics, taught over 61 hours.{/ifingroup}{ifingroup IKGPTU_BTCE303-18}Course for 'BTCE303-18: Fluid Mechanics ' paper of IKGPTU. Comprises 127 Outcomes within 41 Topics, taught over 62 hours.{/ifingroup}{ifingroup IKGPTU_BTME301-18}Course for 'BTME301-18: Fluid Mechanics ' paper of IKGPTU. Comprises 134 Outcomes within 45 Topics, taught over 61 hours.{/ifingroup}{ifingroup IKGPTU_BTME-403}Course for 'BTME-403: Fluid Mechanics ' paper of IKGPTU. Comprises 134 Outcomes within 45 Topics, taught over 61 hours.{/ifingroup}{ifingroup JCBUST_PCC-AE-205}Course for 'PCC-AE-205: Fluid Mechanics and Fluid Machines ' paper of JCBUST. Comprises 144 Outcomes within 49 Topics, taught over 66 hours.{/ifingroup}{ifingroup JCBUST_PCCCE204}Course for 'PCCCE204: Introduction to Fluid Mechanics' paper of JCBUST. Comprises 109 Outcomes within 36 Topics, taught over 63 hours.{/ifingroup}{ifingroup JCBUST_PCC-MAE-205}Course for 'PCC-MAE-205: Fluid Mechanics and Fluid Machines ' paper of JCBUST. Comprises 144 Outcomes within 49 Topics, taught over 66 hours.{/ifingroup}{ifingroup MAKAUT_CE-ES-401}Course for 'CE-ES-401: Introduction to Fluid Mechanics' paper of MAKAUT. Comprises 121 Outcomes within 46 Topics, taught over 61 hours.{/ifingroup}{ifingroup MAKAUT_ME-401}Course for 'ME-401: Fluid Mechanics & Hydraulic Machines ' paper of MAKAUT. Comprises 162 Outcomes within 56 Topics, taught over 60 hours.{/ifingroup}{ifingroup MAKAUT_PC-AUE402}Course for 'PC-AUE402: Fluid Mechanics & Hydraulic Machines ' paper of MAKAUT. Comprises 142 Outcomes within 46 Topics, taught over 59 hours.{/ifingroup}{ifingroup MAKAUT_PC-ME402}Course for 'PC-ME402: Fluid Mechanics & Hydraulic Machines ' paper of MAKAUT. Comprises 142 Outcomes within 46 Topics, taught over 59 hours.{/ifingroup}{ifingroup MRSPTU_BAEE2-301}Course for 'BAEE2-301: Fluid Mechanics ' paper of MRSPTU. Comprises 160 Outcomes within 53 Topics, taught over 64 hours.{/ifingroup}{ifingroup MRSPTU_BCIE3-413}Course for 'BCIE3-413: Fluid Mechanics ' paper of MRSPTU. Comprises 132 Outcomes within 46 Topics, taught over 63 hours.{/ifingroup}{ifingroup MRSPTU_BCIES1-404}Course for 'BCIES1-404: Introduction to Fluid Mechanics' paper of MRSPTU. Comprises 130 Outcomes within 47 Topics, taught over 63 hours.{/ifingroup}{ifingroup MRSPTU_BMECS1-302}Course for 'BMECS1-302: Fluid Mechanics ' paper of MRSPTU. Comprises 132 Outcomes within 46 Topics, taught over 63 hours.{/ifingroup}{ifingroup MRSPTU_BMEE3-413}Course for 'BMEE3-413: Fluid Mecahnics and Machinery' paper of MRSPTU. Comprises 132 Outcomes within 46 Topics, taught over 63 hours.{/ifingroup}{ifingroup MRSPTU_BMEE4-413}Course for 'BMEE4-413: Fluid Mechanics ' paper of MRSPTU. Comprises 135 Outcomes within 46 Topics, taught over 65 hours.{/ifingroup}{ifingroup RGPV_AU404}Course for 'AU404: Fluid Mechanics ' paper of RGPV. Comprises 142 Outcomes within 48 Topics, taught over 58 hours.{/ifingroup}{ifingroup RGPV_CE501}Course for 'CE501: Fluid Mechanics-I' paper of RGPV. Comprises 122 Outcomes within 41 Topics, taught over 61 hours.{/ifingroup}{ifingroup RGPV_IP404}Course for 'IP404: Fluid Mechanics ' paper of RGPV. Comprises 142 Outcomes within 48 Topics, taught over 58 hours.{/ifingroup}{ifingroup RGPV_ME404}Course for 'ME404: Fluid Mechanics ' paper of RGPV. Comprises 142 Outcomes within 48 Topics, taught over 58 hours.{/ifingroup}{ifingroup RTU_3AN4-04}Course for '3AN4-04: Incompressible Fluid Mechanics ' paper of RTU. Comprises 140 Outcomes within 46 Topics, taught over 52 hours.{/ifingroup}{ifingroup RTU_3CE4-06}Course for '3CE4-06: Fluid Mechanics ' paper of RTU. Comprises 105 Outcomes within 34 Topics, taught over 58 hours.{/ifingroup}{ifingroup RTU_4AE4-05}Course for '4AE4-05: Fluid Mechanics and Fluid Machines' paper of RTU. Comprises 159 Outcomes within 56 Topics, taught over 53 hours.{/ifingroup}{ifingroup RTU_4ME4-05}Course for '4ME4-05: Fluid Mechanics and Fluid Machines' paper of RTU. Comprises 159 Outcomes within 56 Topics, taught over 53 hours.{/ifingroup}{ifingroup RTU_4MH4-05}Course for '4MH4-05: Fluid Mechanics ' paper of RTU. Comprises 160 Outcomes within 53 Topics, taught over 55 hours.{/ifingroup}{ifingroup RTU_4MI3-04}Course for '4MI3-04: Fluid Mechanics ' paper of RTU. Comprises 159 Outcomes within 56 Topics, taught over 53 hours.{/ifingroup}"
,,,AKTU,KME302,AKTU_KME302,Fluid Mechanics & Fluid Machines,54,167,56,126,26,18,59,6,"{ifingroup AKTU_KME302}Course for 'KME302: Fluid Mechanics & Fluid Machines' paper of AKTU. Comprises 167 Outcomes within 54 Topics, taught over 56 hours.{/ifingroup}",,
,,,DBATU,BTAMC303,DBATU_BTAMC303,Fluid Mechanics and Machines,57,156,58,119,28,19,60,6,"{ifingroup DBATU_BTAMC303}Course for 'BTAMC303: Fluid Mechanics and Machines' paper of DBATU. Comprises 156 Outcomes within 57 Topics, taught over 58 hours.{/ifingroup}",,
,,,DBATU,BTCVC303,DBATU_BTCVC303,Hydraulics-I,56,149,60,115,25,18,56,6,"{ifingroup DBATU_BTCVC303}Course for 'BTCVC303: Hydraulics-I' paper of DBATU. Comprises 149 Outcomes within 56 Topics, taught over 60 hours.{/ifingroup}",,
,,,DBATU,BTMEC303,DBATU_BTMEC303,Fluid Mechanics ,51,153,57,117,27,18,57,6,"{ifingroup DBATU_BTMEC303}Course for 'BTMEC303: Fluid Mechanics ' paper of DBATU. Comprises 153 Outcomes within 51 Topics, taught over 57 hours.{/ifingroup}",,
,,,GGSIPU,ETCE-205,GGSIPU_ETCE-205,Fluid Mechanics ,39,118,64,90,29,13,38,4,"{ifingroup GGSIPU_ETCE-205}Course for 'ETCE-205: Fluid Mechanics ' paper of GGSIPU. Comprises 118 Outcomes within 39 Topics, taught over 64 hours.{/ifingroup}",,
,,,GGSIPU,ETME-201,GGSIPU_ETME-201,Fluid Mechanics ,53,150,67,115,38,19,59,6,"{ifingroup GGSIPU_ETME-201}Course for 'ETME-201: Fluid Mechanics ' paper of GGSIPU. Comprises 150 Outcomes within 53 Topics, taught over 67 hours.{/ifingroup}",,
,,,GGSIPU,ETME-212,GGSIPU_ETME-212,Fluid Mechanics ,53,150,67,115,38,19,59,6,"{ifingroup GGSIPU_ETME-212}Course for 'ETME-212: Fluid Mechanics ' paper of GGSIPU. Comprises 150 Outcomes within 53 Topics, taught over 67 hours.{/ifingroup}",,
,,,GTU,2130101,GTU_2130101,Fundamentals of Fluid Mechanics ,47,131,49,101,20,15,47,5,"{ifingroup GTU_2130101}Course for '2130101: Fundamentals of Fluid Mechanics ' paper of GTU. Comprises 131 Outcomes within 47 Topics, taught over 49 hours.{/ifingroup}",,
,,,GTU,2130602,GTU_2130602,Fluid Mechanics ,33,100,58,73,23,11,32,3,"{ifingroup GTU_2130602}Course for '2130602: Fluid Mechanics ' paper of GTU. Comprises 100 Outcomes within 33 Topics, taught over 58 hours.{/ifingroup}",,
