S.N,Subject Name_ES,Password,BTE short name,Paper code,Group Name,Subject NameBTE,# Topics,# CLOs,CLO time,# PLOs,PLO Time,LABEL FORMULA,CONTENTS,CONTENTS
1,RCC,v2ldt-rcc,UPBTE,4.5,UPBTE_4.5,Reinforced cement concrete structures,25,62,18,59,9,{ifingroup UPBTE_4.5}This Course is designed according to the syllabus of '1: Reinforced cement concrete structures' paper of UPBTE. This Course comprises of 25 Topics. 62 Outcomes are taught in approx 18 hours.{/ifingroup},{ifingroup UPBTE_4.5}This Course is designed according to the syllabus of '1: Reinforced cement concrete structures' paper of UPBTE. This Course comprises of 25 Topics. 62 Outcomes are taught in approx 18 hours.{/ifingroup}{ifingroup PBBTE_5.1}This Course is designed according to the syllabus of ': Reinforced concrete design' paper of PBBTE. This Course comprises of 28 Topics. 67 Outcomes are taught in approx 19 hours.{/ifingroup}{ifingroup HRBTE_5.2}This Course is designed according to the syllabus of ': Reinforced cement concrete design and drawings' paper of HRBTE. This Course comprises of 25 Topics. 62 Outcomes are taught in approx 18 hours.{/ifingroup}{ifingroup DLBTE_CE530}This Course is designed according to the syllabus of ': Elements of RCC design' paper of DLBTE. This Course comprises of 33 Topics. 69 Outcomes are taught in approx 21 hours.{/ifingroup}{ifingroup RJBTE_CE303}This Course is designed according to the syllabus of ': Design of RCC Structures' paper of RJBTE. This Course comprises of 31 Topics. 71 Outcomes are taught in approx 21 hours.{/ifingroup}{ifingroup RJBTE_CC303}This Course is designed according to the syllabus of ': Design of RCC Structures' paper of RJBTE. This Course comprises of 31 Topics. 71 Outcomes are taught in approx 21 hours.{/ifingroup}{ifingroup WBBTE_CE}This Course is designed according to the syllabus of ': Design of RCC Structures' paper of WBBTE. This Course comprises of 30 Topics. 69 Outcomes are taught in approx 20 hours.{/ifingroup}{ifingroup MPBTE_505}This Course is designed according to the syllabus of ': Structural design and drafting-I(RCC)' paper of MPBTE. This Course comprises of 31 Topics. 69 Outcomes are taught in approx 20 hours.{/ifingroup},{ifingroup UPBTE_4.5}This Course is designed according to the syllabus of '1: Reinforced cement concrete structures' paper of UPBTE. This Course comprises of 25 Topics. 62 Outcomes are taught in approx 18 hours.{/ifingroup}{ifingroup PBBTE_5.1}This Course is designed according to the syllabus of ': Reinforced concrete design' paper of PBBTE. This Course comprises of 28 Topics. 67 Outcomes are taught in approx 19 hours.{/ifingroup}{ifingroup HRBTE_5.2}This Course is designed according to the syllabus of ': Reinforced cement concrete design and drawings' paper of HRBTE. This Course comprises of 25 Topics. 62 Outcomes are taught in approx 18 hours.{/ifingroup}{ifingroup DLBTE_CE530}This Course is designed according to the syllabus of ': Elements of RCC design' paper of DLBTE. This Course comprises of 33 Topics. 69 Outcomes are taught in approx 21 hours.{/ifingroup}{ifingroup RJBTE_CE303}This Course is designed according to the syllabus of ': Design of RCC Structures' paper of RJBTE. This Course comprises of 31 Topics. 71 Outcomes are taught in approx 21 hours.{/ifingroup}{ifingroup RJBTE_CC303}This Course is designed according to the syllabus of ': Design of RCC Structures' paper of RJBTE. This Course comprises of 31 Topics. 71 Outcomes are taught in approx 21 hours.{/ifingroup}{ifingroup WBBTE_CE}This Course is designed according to the syllabus of ': Design of RCC Structures' paper of WBBTE. This Course comprises of 30 Topics. 69 Outcomes are taught in approx 20 hours.{/ifingroup}{ifingroup MPBTE_505}This Course is designed according to the syllabus of ': Structural design and drafting-I(RCC)' paper of MPBTE. This Course comprises of 31 Topics. 69 Outcomes are taught in approx 20 hours.{/ifingroup}
,,,PBBTE,5.1,PBBTE_5.1,Reinforced concrete design,28,67,19,64,9,{ifingroup PBBTE_5.1}This Course is designed according to the syllabus of ': Reinforced concrete design' paper of PBBTE. This Course comprises of 28 Topics. 67 Outcomes are taught in approx 19 hours.{/ifingroup},,
,,,HRBTE,5.2,HRBTE_5.2,Reinforced cement concrete design and drawings,25,62,18,59,9,{ifingroup HRBTE_5.2}This Course is designed according to the syllabus of ': Reinforced cement concrete design and drawings' paper of HRBTE. This Course comprises of 25 Topics. 62 Outcomes are taught in approx 18 hours.{/ifingroup},,
,,,DLBTE,CE530,DLBTE_CE530,Elements of RCC design,33,69,21,66,10,{ifingroup DLBTE_CE530}This Course is designed according to the syllabus of ': Elements of RCC design' paper of DLBTE. This Course comprises of 33 Topics. 69 Outcomes are taught in approx 21 hours.{/ifingroup},,
,,,RJBTE,CE303,RJBTE_CE303,Design of RCC Structures,31,71,21,68,10,{ifingroup RJBTE_CE303}This Course is designed according to the syllabus of ': Design of RCC Structures' paper of RJBTE. This Course comprises of 31 Topics. 71 Outcomes are taught in approx 21 hours.{/ifingroup},,
,,,RJBTE,CC303,RJBTE_CC303,Design of RCC Structures,31,71,21,68,10,{ifingroup RJBTE_CC303}This Course is designed according to the syllabus of ': Design of RCC Structures' paper of RJBTE. This Course comprises of 31 Topics. 71 Outcomes are taught in approx 21 hours.{/ifingroup},,
,,,WBBTE,CE,WBBTE_CE,Design of RCC Structures,30,69,20,66,10,{ifingroup WBBTE_CE}This Course is designed according to the syllabus of ': Design of RCC Structures' paper of WBBTE. This Course comprises of 30 Topics. 69 Outcomes are taught in approx 20 hours.{/ifingroup},,
,,,MPBTE,505,MPBTE_505,Structural design and drafting-I(RCC),31,69,20,66,10,{ifingroup MPBTE_505}This Course is designed according to the syllabus of ': Structural design and drafting-I(RCC)' paper of MPBTE. This Course comprises of 31 Topics. 69 Outcomes are taught in approx 20 hours.{/ifingroup},,
2,Soil Mechanics,v2ldt-soil,UPBTE,5.4,UPBTE_5.4,Soil Mechanics and Foundation,37,107,20,81,7,{ifingroup UPBTE_5.4}This Course is designed according to the syllabus of '2: Soil Mechanics and Foundation' paper of UPBTE. This Course comprises of 37 Topics. 107 Outcomes are taught in approx 20 hours.{/ifingroup},{ifingroup UPBTE_5.4}This Course is designed according to the syllabus of '2: Soil Mechanics and Foundation' paper of UPBTE. This Course comprises of 37 Topics. 107 Outcomes are taught in approx 20 hours.{/ifingroup}{ifingroup HRBTE_4.5}This Course is designed according to the syllabus of ': Soil Mechanics and Foundation Engineering' paper of HRBTE. This Course comprises of 37 Topics. 107 Outcomes are taught in approx 20 hours.{/ifingroup}{ifingroup PBBTE_5.7}This Course is designed according to the syllabus of ': Soil Mechanics and Foundation Engineering' paper of PBBTE. This Course comprises of 37 Topics. 107 Outcomes are taught in approx 20 hours.{/ifingroup}{ifingroup DLBTE_CE433}This Course is designed according to the syllabus of ': Soil Mechanics and Foundation Engineering' paper of DLBTE. This Course comprises of 37 Topics. 107 Outcomes are taught in approx 20 hours.{/ifingroup}{ifingroup RJBTE_CE206}This Course is designed according to the syllabus of ': Soil and Foundation Engineering' paper of RJBTE. This Course comprises of 32 Topics. 107 Outcomes are taught in approx 19 hours.{/ifingroup}{ifingroup RJBTE_CC206}This Course is designed according to the syllabus of ': Soil and Foundation Engineering' paper of RJBTE. This Course comprises of 32 Topics. 107 Outcomes are taught in approx 19 hours.{/ifingroup}{ifingroup MPBTE_402}This Course is designed according to the syllabus of ': Soil Mechanics' paper of MPBTE. This Course comprises of 36 Topics. 119 Outcomes are taught in approx 21 hours.{/ifingroup}{ifingroup WBBTE_CE}This Course is designed according to the syllabus of ': Geo-technical enginerring-I' paper of WBBTE. This Course comprises of 35 Topics. 115 Outcomes are taught in approx 21 hours.{/ifingroup}{ifingroup GJBTE_3340605}This Course is designed according to the syllabus of ': Soil Mechanics' paper of GJBTE. This Course comprises of 27 Topics. 84 Outcomes are taught in approx 16 hours.{/ifingroup}{ifingroup MHBTE_22404}This Course is designed according to the syllabus of ': Geo-technical Engineering' paper of MHBTE. This Course comprises of 35 Topics. 112 Outcomes are taught in approx 20 hours.{/ifingroup},{ifingroup UPBTE_5.4}This Course is designed according to the syllabus of '2: Soil Mechanics and Foundation' paper of UPBTE. This Course comprises of 37 Topics. 107 Outcomes are taught in approx 20 hours.{/ifingroup}{ifingroup HRBTE_4.5}This Course is designed according to the syllabus of ': Soil Mechanics and Foundation Engineering' paper of HRBTE. This Course comprises of 37 Topics. 107 Outcomes are taught in approx 20 hours.{/ifingroup}{ifingroup PBBTE_5.7}This Course is designed according to the syllabus of ': Soil Mechanics and Foundation Engineering' paper of PBBTE. This Course comprises of 37 Topics. 107 Outcomes are taught in approx 20 hours.{/ifingroup}{ifingroup DLBTE_CE433}This Course is designed according to the syllabus of ': Soil Mechanics and Foundation Engineering' paper of DLBTE. This Course comprises of 37 Topics. 107 Outcomes are taught in approx 20 hours.{/ifingroup}{ifingroup RJBTE_CE206}This Course is designed according to the syllabus of ': Soil and Foundation Engineering' paper of RJBTE. This Course comprises of 32 Topics. 107 Outcomes are taught in approx 19 hours.{/ifingroup}{ifingroup RJBTE_CC206}This Course is designed according to the syllabus of ': Soil and Foundation Engineering' paper of RJBTE. This Course comprises of 32 Topics. 107 Outcomes are taught in approx 19 hours.{/ifingroup}{ifingroup MPBTE_402}This Course is designed according to the syllabus of ': Soil Mechanics' paper of MPBTE. This Course comprises of 36 Topics. 119 Outcomes are taught in approx 21 hours.{/ifingroup}{ifingroup WBBTE_CE}This Course is designed according to the syllabus of ': Geo-technical enginerring-I' paper of WBBTE. This Course comprises of 35 Topics. 115 Outcomes are taught in approx 21 hours.{/ifingroup}{ifingroup GJBTE_3340605}This Course is designed according to the syllabus of ': Soil Mechanics' paper of GJBTE. This Course comprises of 27 Topics. 84 Outcomes are taught in approx 16 hours.{/ifingroup}{ifingroup MHBTE_22404}This Course is designed according to the syllabus of ': Geo-technical Engineering' paper of MHBTE. This Course comprises of 35 Topics. 112 Outcomes are taught in approx 20 hours.{/ifingroup}
,,,HRBTE,4.5,HRBTE_4.5,Soil Mechanics and Foundation Engineering,37,107,20,81,7,{ifingroup HRBTE_4.5}This Course is designed according to the syllabus of ': Soil Mechanics and Foundation Engineering' paper of HRBTE. This Course comprises of 37 Topics. 107 Outcomes are taught in approx 20 hours.{/ifingroup},,
