S.N,Subject Name_ES,Password,BTE short name,Paper code,Group Name,Subject NameBTE,# Topics,# CLOs,CLO time,# PLOs,PLO Time,LABEL FORMULA,CLUSTER,CLUSTER
1,Analog Circuits,v2ldt-ac,DLBTE,EX-333,DLBTE_EX-333,Electronic Devices and Circuits - II,50,130,29,123,12,{ifingroup DLBTE_EX-333}This Course is designed according to the syllabus of 'EX-333: Electronic Devices and Circuits - II' paper of DLBTE. This Course comprises of 50 Topics. 130 Outcomes are taught in approx 29 hours.{/ifingroup},{ifingroup DLBTE_EX-333}This Course is designed according to the syllabus of 'EX-333: Electronic Devices and Circuits - II' paper of DLBTE. This Course comprises of 50 Topics. 130 Outcomes are taught in approx 29 hours.{/ifingroup}{ifingroup DLBTE_EE-431}This Course is designed according to the syllabus of 'EE-431: Electronic Devices and Circuits' paper of DLBTE. This Course comprises of 48 Topics. 116 Outcomes are taught in approx 30 hours.{/ifingroup}{ifingroup GJBTE_3331102}This Course is designed according to the syllabus of '3331102: Analog Electronics' paper of GJBTE. This Course comprises of 56 Topics. 125 Outcomes are taught in approx 35 hours.{/ifingroup}{ifingroup HRBTE_3.4-EDC}This Course is designed according to the syllabus of '3.4-EDC: Electronic Devices and Circuits' paper of HRBTE. This Course comprises of 42 Topics. 110 Outcomes are taught in approx 26 hours.{/ifingroup}{ifingroup HRBTE_3.4-EII}This Course is designed according to the syllabus of '3.4-EII: Electronics II' paper of HRBTE. This Course comprises of 51 Topics. 117 Outcomes are taught in approx 28 hours.{/ifingroup}{ifingroup MHBTE_22329}This Course is designed according to the syllabus of '22329: Applied Electronics' paper of MHBTE. This Course comprises of 36 Topics. 85 Outcomes are taught in approx 20 hours.{/ifingroup}{ifingroup MPBTE_401}This Course is designed according to the syllabus of '401: Linear Integrated Circuits' paper of MPBTE. This Course comprises of 26 Topics. 60 Outcomes are taught in approx 13 hours.{/ifingroup}{ifingroup PBBTE_3.4}This Course is designed according to the syllabus of '3.4: Electronic Devices and Circuits' paper of PBBTE. This Course comprises of 47 Topics. 107 Outcomes are taught in approx 25 hours.{/ifingroup}{ifingroup UPBTE_3.4}This Course is designed according to the syllabus of '3.4: Electronic Devices and Circuits' paper of UPBTE. This Course comprises of 53 Topics. 131 Outcomes are taught in approx 31 hours.{/ifingroup}{ifingroup WBBTE_ETCE-AE1I-S4}This Course is designed according to the syllabus of 'ETCE-AE1I-S4: Analog Electronics-II' paper of WBBTE. This Course comprises of 43 Topics. 107 Outcomes are taught in approx 23 hours.{/ifingroup}{ifingroup WBBTE_EEE-AE1I-S4}This Course is designed according to the syllabus of 'EEE-AE1I-S4: Analog Electronics-II' paper of WBBTE. This Course comprises of 43 Topics. 107 Outcomes are taught in approx 23 hours.{/ifingroup}{ifingroup WBBTE_1}This Course is designed according to the syllabus of '1: Analog Electronics' paper of WBBTE. This Course comprises of 44 Topics. 111 Outcomes are taught in approx 31 hours.{/ifingroup}{ifingroup WBBTE_EE-S4-ADE}This Course is designed according to the syllabus of 'EE-S4-ADE: Applied and Digital Electronics' paper of WBBTE. This Course comprises of 83 Topics. 208 Outcomes are taught in approx 57 hours.{/ifingroup},{ifingroup DLBTE_EX-333}This Course is designed according to the syllabus of 'EX-333: Electronic Devices and Circuits - II' paper of DLBTE. This Course comprises of 50 Topics. 130 Outcomes are taught in approx 29 hours.{/ifingroup}{ifingroup DLBTE_EE-431}This Course is designed according to the syllabus of 'EE-431: Electronic Devices and Circuits' paper of DLBTE. This Course comprises of 48 Topics. 116 Outcomes are taught in approx 30 hours.{/ifingroup}{ifingroup GJBTE_3331102}This Course is designed according to the syllabus of '3331102: Analog Electronics' paper of GJBTE. This Course comprises of 56 Topics. 125 Outcomes are taught in approx 35 hours.{/ifingroup}{ifingroup HRBTE_3.4}This Course is designed according to the syllabus of '3.4: Electronic Devices and Circuits' paper of HRBTE. This Course comprises of 42 Topics. 110 Outcomes are taught in approx 26 hours.{/ifingroup}{ifingroup HRBTE_3.4}This Course is designed according to the syllabus of '3.4: Electronics II' paper of HRBTE. This Course comprises of 51 Topics. 117 Outcomes are taught in approx 28 hours.{/ifingroup}{ifingroup MHBTE_22329}This Course is designed according to the syllabus of '22329: Applied Electronics' paper of MHBTE. This Course comprises of 36 Topics. 85 Outcomes are taught in approx 20 hours.{/ifingroup}{ifingroup MPBTE_401}This Course is designed according to the syllabus of '401: Linear Integrated Circuits' paper of MPBTE. This Course comprises of 26 Topics. 60 Outcomes are taught in approx 13 hours.{/ifingroup}{ifingroup PBBTE_3.4}This Course is designed according to the syllabus of '3.4: Electronic Devices and Circuits' paper of PBBTE. This Course comprises of 47 Topics. 107 Outcomes are taught in approx 25 hours.{/ifingroup}{ifingroup UPBTE_3.4}This Course is designed according to the syllabus of '3.4: Electronic Devices and Circuits' paper of UPBTE. This Course comprises of 53 Topics. 131 Outcomes are taught in approx 31 hours.{/ifingroup}{ifingroup WBBTE_ETCE\AE1I\S4}This Course is designed according to the syllabus of 'ETCE\AE1I\S4: Analog Electronics-II' paper of WBBTE. This Course comprises of 43 Topics. 107 Outcomes are taught in approx 23 hours.{/ifingroup}{ifingroup WBBTE_EEE\AE1I\S4}This Course is designed according to the syllabus of 'EEE\AE1I\S4: Analog Electronics-II' paper of WBBTE. This Course comprises of 43 Topics. 107 Outcomes are taught in approx 23 hours.{/ifingroup}{ifingroup WBBTE_1}This Course is designed according to the syllabus of '1: Analog Electronics' paper of WBBTE. This Course comprises of 44 Topics. 111 Outcomes are taught in approx 31 hours.{/ifingroup}{ifingroup WBBTE_EE\S4\ADE}This Course is designed according to the syllabus of 'EE\S4\ADE: Applied and Digital Electronics' paper of WBBTE. This Course comprises of 83 Topics. 208 Outcomes are taught in approx 57 hours.{/ifingroup}
,,,DLBTE,EE-431,DLBTE_EE-431,Electronic Devices and Circuits,48,116,30,109,14,{ifingroup DLBTE_EE-431}This Course is designed according to the syllabus of 'EE-431: Electronic Devices and Circuits' paper of DLBTE. This Course comprises of 48 Topics. 116 Outcomes are taught in approx 30 hours.{/ifingroup},,
,,,GJBTE,3331102,GJBTE_3331102,Analog Electronics,56,125,35,129,16,{ifingroup GJBTE_3331102}This Course is designed according to the syllabus of '3331102: Analog Electronics' paper of GJBTE. This Course comprises of 56 Topics. 125 Outcomes are taught in approx 35 hours.{/ifingroup},,
,,,HRBTE,3.4-EDC,HRBTE_3.4-EDC,Electronic Devices and Circuits,42,110,26,101,11,{ifingroup HRBTE_3.4-EDC}This Course is designed according to the syllabus of '3.4-EDC: Electronic Devices and Circuits' paper of HRBTE. This Course comprises of 42 Topics. 110 Outcomes are taught in approx 26 hours.{/ifingroup},,
,,,HRBTE,3.4-EII,HRBTE_3.4-EII,Electronics II,51,117,28,112,13,{ifingroup HRBTE_3.4-EII}This Course is designed according to the syllabus of '3.4-EII: Electronics II' paper of HRBTE. This Course comprises of 51 Topics. 117 Outcomes are taught in approx 28 hours.{/ifingroup},,
,,,MHBTE,22329,MHBTE_22329,Applied Electronics,36,85,20,83,9,{ifingroup MHBTE_22329}This Course is designed according to the syllabus of '22329: Applied Electronics' paper of MHBTE. This Course comprises of 36 Topics. 85 Outcomes are taught in approx 20 hours.{/ifingroup},,
,,,MPBTE,401,MPBTE_401,Linear Integrated Circuits,26,60,13,59,6,{ifingroup MPBTE_401}This Course is designed according to the syllabus of '401: Linear Integrated Circuits' paper of MPBTE. This Course comprises of 26 Topics. 60 Outcomes are taught in approx 13 hours.{/ifingroup},,
,,,PBBTE,3.4,PBBTE_3.4,Electronic Devices and Circuits,47,107,25,101,10,{ifingroup PBBTE_3.4}This Course is designed according to the syllabus of '3.4: Electronic Devices and Circuits' paper of PBBTE. This Course comprises of 47 Topics. 107 Outcomes are taught in approx 25 hours.{/ifingroup},,
,,,UPBTE,3.4,UPBTE_3.4,Electronic Devices and Circuits,53,131,31,125,15,{ifingroup UPBTE_3.4}This Course is designed according to the syllabus of '3.4: Electronic Devices and Circuits' paper of UPBTE. This Course comprises of 53 Topics. 131 Outcomes are taught in approx 31 hours.{/ifingroup},,
,,,WBBTE,ETCE-AE1I-S4,WBBTE_ETCE-AE1I-S4,Analog Electronics-II,43,107,23,103,10,{ifingroup WBBTE_ETCE-AE1I-S4}This Course is designed according to the syllabus of 'ETCE-AE1I-S4: Analog Electronics-II' paper of WBBTE. This Course comprises of 43 Topics. 107 Outcomes are taught in approx 23 hours.{/ifingroup},,
