S.N,Subject Name_ES,Password,BTE short name,Paper code,Group Name,Subject NameBTE,# Topics,# CLOs,CLO time,# PLOs,PLO Time,LABEL FORMULA,CLUSTER,CLUSTER
1,Strength of Materials (SOM),v2ldt-som,UPBTE,3.3,UPBTE_3.3,Mechanics of Soild,39,105,26,87,15,{ifingroup UPBTE_3.3}This Course is designed according to the syllabus of paper code '3.3: Mechanics of Soild' of UPBTE. This Course comprises of 39 Topics. 105 Outcomes are taught in approx 26 hours.{/ifingroup},{ifingroup UPBTE_3.3}This Course is designed according to the syllabus of paper code '3.3: Mechanics of Soild' of UPBTE. This Course comprises of 39 Topics. 105 Outcomes are taught in approx 26 hours.{/ifingroup}{ifingroup GJBTE_3331904}This Course is designed according to the syllabus of paper code '3331904: Strength of materials' of GJBTE. This Course comprises of 39 Topics. 103 Outcomes are taught in approx 28 hours.{/ifingroup}{ifingroup DLBTE_ES421}This Course is designed according to the syllabus of paper code 'ES-421: Strength of materials' of DLBTE. This Course comprises of 40 Topics. 106 Outcomes are taught in approx 25 hours.{/ifingroup}{ifingroup MPBTE_305}This Course is designed according to the syllabus of paper code '305: Strength of materials' of MPBTE. This Course comprises of 51 Topics. 126 Outcomes are taught in approx 34 hours.{/ifingroup}{ifingroup MHBTE_22306}This Course is designed according to the syllabus of paper code '22306: Strength of materials' of MHBTE. This Course comprises of 32 Topics. 84 Outcomes are taught in approx 23 hours.{/ifingroup}{ifingroup WBBTE_ME}This Course is designed according to the syllabus of paper code 'ME: Advance Strength of materials' of WBBTE. This Course comprises of 28 Topics. 74 Outcomes are taught in approx 17 hours.{/ifingroup}{ifingroup RJBTE_ME-201}This Course is designed according to the syllabus of paper code 'ME-201: Strength of materials' of RJBTE. This Course comprises of 56 Topics. 142 Outcomes are taught in approx 37 hours.{/ifingroup}{ifingroup RJBTE_MA-201}This Course is designed according to the syllabus of paper code 'MA201: Strength of materials' of RJBTE. This Course comprises of 56 Topics. 142 Outcomes are taught in approx 37 hours.{/ifingroup}{ifingroup RJBTE_MP201}This Course is designed according to the syllabus of paper code 'MP201: Strength of materials' of RJBTE. This Course comprises of 56 Topics. 142 Outcomes are taught in approx 37 hours.{/ifingroup}{ifingroup HRBTE_3.1}This Course is designed according to the syllabus of paper code '3.1: Strength of materials' of HRBTE. This Course comprises of 42 Topics. 110 Outcomes are taught in approx 27 hours.{/ifingroup}{ifingroup PBBTE_4.3}This Course is designed according to the syllabus of paper code '4.3: Strength of materials' of PBBTE. This Course comprises of 38 Topics. 100 Outcomes are taught in approx 24 hours.{/ifingroup}{ifingroup UPBTE_3.4}This Course is designed according to the syllabus of paper code '3.4: Structural Mechanics' of UPBTE. This Course comprises of 40 Topics. 94 Outcomes are taught in approx 28 hours.{/ifingroup}{ifingroup HRBTE_3.2}This Course is designed according to the syllabus of paper code '3.2: Structural Mechanics' of HRBTE. This Course comprises of 39 Topics. 93 Outcomes are taught in approx 27 hours.{/ifingroup}{ifingroup PBBTE_4.5}This Course is designed according to the syllabus of paper code '4.5: Structural Mechanics' of PBBTE. This Course comprises of 37 Topics. 89 Outcomes are taught in approx 26 hours.{/ifingroup}{ifingroup DLBTE_CE-330}This Course is designed according to the syllabus of paper code 'CE-330: Structural Mechanics' of DLBTE. This Course comprises of 45 Topics. 110 Outcomes are taught in approx 31 hours.{/ifingroup}{ifingroup RJBTE_CE201}This Course is designed according to the syllabus of paper code 'CE201: Strength of Materials' of RJBTE. This Course comprises of 51 Topics. 123 Outcomes are taught in approx 34 hours.{/ifingroup}{ifingroup RJBTE_CC201}This Course is designed according to the syllabus of paper code 'CC201: Strength of Materials' of RJBTE. This Course comprises of 51 Topics. 123 Outcomes are taught in approx 34 hours.{/ifingroup}{ifingroup MPBTE_403}This Course is designed according to the syllabus of paper code '403: Mechanics of Structure' of MPBTE. This Course comprises of 37 Topics. 92 Outcomes are taught in approx 27 hours.{/ifingroup}{ifingroup MHBTE_22303}This Course is designed according to the syllabus of paper code '22303: Mechanics of Structure' of MHBTE. This Course comprises of 31 Topics. 79 Outcomes are taught in approx 22 hours.{/ifingroup}{ifingroup WBBTE_CE}This Course is designed according to the syllabus of paper code 'CE: Mechanics of Structure' of WBBTE. This Course comprises of 22 Topics. 54 Outcomes are taught in approx 13 hours.{/ifingroup}{ifingroup GJBTE_3330604}This Course is designed according to the syllabus of paper code '3330604: Structural Mechanics' of GJBTE. This Course comprises of 30 Topics. 76 Outcomes are taught in approx 22 hours.{/ifingroup},{ifingroup UPBTE_3.3}This Course is designed according to the syllabus of paper code '3.3: Mechanics of Soild' of UPBTE. This Course comprises of 39 Topics. 105 Outcomes are taught in approx 26 hours.{/ifingroup}{ifingroup GJBTE_3331904}This Course is designed according to the syllabus of paper code '3331904: Strength of materials' of GJBTE. This Course comprises of 39 Topics. 103 Outcomes are taught in approx 28 hours.{/ifingroup}{ifingroup DLBTE_ES421}This Course is designed according to the syllabus of paper code 'ES-421: Strength of materials' of DLBTE. This Course comprises of 40 Topics. 106 Outcomes are taught in approx 25 hours.{/ifingroup}{ifingroup MPBTE_305}This Course is designed according to the syllabus of paper code '305: Strength of materials' of MPBTE. This Course comprises of 51 Topics. 126 Outcomes are taught in approx 34 hours.{/ifingroup}{ifingroup MHBTE_22306}This Course is designed according to the syllabus of paper code '22306: Strength of materials' of MHBTE. This Course comprises of 32 Topics. 84 Outcomes are taught in approx 23 hours.{/ifingroup}{ifingroup WBBTE_ME}This Course is designed according to the syllabus of paper code 'ME: Advance Strength of materials' of WBBTE. This Course comprises of 28 Topics. 74 Outcomes are taught in approx 17 hours.{/ifingroup}{ifingroup RJBTE_ME-201}This Course is designed according to the syllabus of paper code 'ME-201: Strength of materials' of RJBTE. This Course comprises of 56 Topics. 142 Outcomes are taught in approx 37 hours.{/ifingroup}{ifingroup RJBTE_MA-201}This Course is designed according to the syllabus of paper code 'MA201: Strength of materials' of RJBTE. This Course comprises of 56 Topics. 142 Outcomes are taught in approx 37 hours.{/ifingroup}{ifingroup RJBTE_MP201}This Course is designed according to the syllabus of paper code 'MP201: Strength of materials' of RJBTE. This Course comprises of 56 Topics. 142 Outcomes are taught in approx 37 hours.{/ifingroup}{ifingroup HRBTE_3.1}This Course is designed according to the syllabus of paper code '3.1: Strength of materials' of HRBTE. This Course comprises of 42 Topics. 110 Outcomes are taught in approx 27 hours.{/ifingroup}{ifingroup PBBTE_4.3}This Course is designed according to the syllabus of paper code '4.3: Strength of materials' of PBBTE. This Course comprises of 38 Topics. 100 Outcomes are taught in approx 24 hours.{/ifingroup}{ifingroup UPBTE_3.4}This Course is designed according to the syllabus of paper code '3.4: Structural Mechanics' of UPBTE. This Course comprises of 40 Topics. 94 Outcomes are taught in approx 28 hours.{/ifingroup}{ifingroup HRBTE_3.2}This Course is designed according to the syllabus of paper code '3.2: Structural Mechanics' of HRBTE. This Course comprises of 39 Topics. 93 Outcomes are taught in approx 27 hours.{/ifingroup}{ifingroup PBBTE_4.5}This Course is designed according to the syllabus of paper code '4.5: Structural Mechanics' of PBBTE. This Course comprises of 37 Topics. 89 Outcomes are taught in approx 26 hours.{/ifingroup}{ifingroup DLBTE_CE-330}This Course is designed according to the syllabus of paper code 'CE-330: Structural Mechanics' of DLBTE. This Course comprises of 45 Topics. 110 Outcomes are taught in approx 31 hours.{/ifingroup}{ifingroup RJBTE_CE201}This Course is designed according to the syllabus of paper code 'CE201: Strength of Materials' of RJBTE. This Course comprises of 51 Topics. 123 Outcomes are taught in approx 34 hours.{/ifingroup}{ifingroup RJBTE_CC201}This Course is designed according to the syllabus of paper code 'CC201: Strength of Materials' of RJBTE. This Course comprises of 51 Topics. 123 Outcomes are taught in approx 34 hours.{/ifingroup}{ifingroup MPBTE_403}This Course is designed according to the syllabus of paper code '403: Mechanics of Structure' of MPBTE. This Course comprises of 37 Topics. 92 Outcomes are taught in approx 27 hours.{/ifingroup}{ifingroup MHBTE_22303}This Course is designed according to the syllabus of paper code '22303: Mechanics of Structure' of MHBTE. This Course comprises of 31 Topics. 79 Outcomes are taught in approx 22 hours.{/ifingroup}{ifingroup WBBTE_CE}This Course is designed according to the syllabus of paper code 'CE: Mechanics of Structure' of WBBTE. This Course comprises of 22 Topics. 54 Outcomes are taught in approx 13 hours.{/ifingroup}{ifingroup GJBTE_3330604}This Course is designed according to the syllabus of paper code '3330604: Structural Mechanics' of GJBTE. This Course comprises of 30 Topics. 76 Outcomes are taught in approx 22 hours.{/ifingroup}
,,,GJBTE,3331904,GJBTE_3331904,Strength of materials,39,103,28,84,14,{ifingroup GJBTE_3331904}This Course is designed according to the syllabus of paper code '3331904: Strength of materials' of GJBTE. This Course comprises of 39 Topics. 103 Outcomes are taught in approx 28 hours.{/ifingroup},,
,,,DLBTE,ES-421,DLBTE_ES421,Strength of materials,40,106,25,83,14,{ifingroup DLBTE_ES421}This Course is designed according to the syllabus of paper code 'ES-421: Strength of materials' of DLBTE. This Course comprises of 40 Topics. 106 Outcomes are taught in approx 25 hours.{/ifingroup},,
,,,MPBTE,305,MPBTE_305,Strength of materials,51,126,34,103,20,{ifingroup MPBTE_305}This Course is designed according to the syllabus of paper code '305: Strength of materials' of MPBTE. This Course comprises of 51 Topics. 126 Outcomes are taught in approx 34 hours.{/ifingroup},,
,,,MHBTE,22306,MHBTE_22306,Strength of materials,32,84,23,69,12,{ifingroup MHBTE_22306}This Course is designed according to the syllabus of paper code '22306: Strength of materials' of MHBTE. This Course comprises of 32 Topics. 84 Outcomes are taught in approx 23 hours.{/ifingroup},,
,,,WBBTE,ME,WBBTE_ME,Advance Strength of materials,28,74,17,57,10,{ifingroup WBBTE_ME}This Course is designed according to the syllabus of paper code 'ME: Advance Strength of materials' of WBBTE. This Course comprises of 28 Topics. 74 Outcomes are taught in approx 17 hours.{/ifingroup},,
,,,RJBTE,ME-201,RJBTE_ME-201,Strength of materials,56,142,37,118,21,{ifingroup RJBTE_ME-201}This Course is designed according to the syllabus of paper code 'ME-201: Strength of materials' of RJBTE. This Course comprises of 56 Topics. 142 Outcomes are taught in approx 37 hours.{/ifingroup},,
,,,RJBTE,MA201,RJBTE_MA-201,Strength of materials,56,142,37,118,21,{ifingroup RJBTE_MA-201}This Course is designed according to the syllabus of paper code 'MA201: Strength of materials' of RJBTE. This Course comprises of 56 Topics. 142 Outcomes are taught in approx 37 hours.{/ifingroup},,
,,,RJBTE,MP201,RJBTE_MP201,Strength of materials,56,142,37,118,21,{ifingroup RJBTE_MP201}This Course is designed according to the syllabus of paper code 'MP201: Strength of materials' of RJBTE. This Course comprises of 56 Topics. 142 Outcomes are taught in approx 37 hours.{/ifingroup},,
,,,HRBTE,3.1,HRBTE_3.1,Strength of materials,42,110,27,91,15,{ifingroup HRBTE_3.1}This Course is designed according to the syllabus of paper code '3.1: Strength of materials' of HRBTE. This Course comprises of 42 Topics. 110 Outcomes are taught in approx 27 hours.{/ifingroup},,
